"","Median","low-CI","high-CI","p-value"
"Encephalitozoon intestinalis",0.1051034022283,0.0550274048121998,0.162501329007916,2.8691893649573e-05
"Encephalitozoon cuniculi",-0.0705930698056846,-0.0874347283452611,-0.0547482248395003,2.25922447425819e-20
"Encephalitozoon hellem",-1.43135212863168,-1.74666897940216,-1.18127534648307,1.02580655027844e-77
"Encephalitozoon romaleae",-0.808385765597549,-0.959280079705904,-0.671255829202352,5.96142039937064e-32
"Vittaforma corneae",-0.693375027512974,-0.859473167295628,-0.539349976991375,1.63609912451576e-21
"Nosema apis",-1.17935423002583,-1.25919958018246,-1.10053794226955,2.47315392594939e-169
"Nosema ceranae",-0.820076470472255,-0.906823710597064,-0.732700123551319,4.05137651111e-72
"Nosema bombycis",-0.853451987818187,-0.933452170676296,-0.774426186187848,2.3126185992625e-95
"Enterospora canceri",-1.16166150571903,-1.30973963145935,-1.02056083458945,2.36321811179038e-69
"Hepatospora eriocheir",-0.563275400783381,-0.642098466068082,-0.484788279338214,1.15286087105894e-43
"Enterocytozoon hepatopenaei",-1.07559792683463,-1.18695748670058,-0.966618323773218,1.03901629396982e-87
"Enterocytozoon bieneusi",-0.530524040924805,-0.579363758891712,-0.481930621955994,3.88353282730258e-95
"Wallemia mellicola",-0.0429069572641567,-0.111996658222261,0.0261422987246347,0.224924171365887
"Wallemia ichthyophaga",-0.604917980924744,-0.669354211235608,-0.540746896244699,2.33142984230135e-72
"Mixia osmundae",0.396975200269479,0.328757339739238,0.465024077360642,9.21171821479559e-30
"Microbotryum intermedium",0.494354170930884,0.428658773936204,0.560706894442093,2.52311574858717e-48
"Leucosporidium creatinivorum",0.348339697609525,0.281360998659376,0.415331892522928,7.79186489686966e-24
"Rhodotorula taiwanensis",0.798936749680606,0.732016354549917,0.86554581111617,6.00621079288898e-111
"Rhodotorula graminis",0.651862679129252,0.592750056944461,0.711534165234772,1.60240310621792e-99
"Rhodotorula toruloides",0.38118120550371,0.328613491570459,0.434386922207074,3.59333998088692e-43
"Rhodotorula sp. JG-1b",0.310458786818716,0.247827527213352,0.373060791322655,5.2165774134501e-22
"Puccinia coronata",-0.304021551553914,-0.336121231314225,-0.271973206184302,1.66365764130563e-71
"Puccinia striiformis",-0.0405578512563176,-0.086601718177302,0.00527004635629652,0.0821532376384013
