"","2014_ZellerG_Mean","2015_FengQ_Mean","2016_VogtmannE_Mean","2019_Thom_Mean","2019_WirbelJ_Mean","2019_Yachida_Mean","2021_JunY_1_Mean","2021_JunY_2_Mean","2014_ZellerG_Rank","2015_FengQ_Rank","2016_VogtmannE_Rank","2019_Thom_Rank","2019_WirbelJ_Rank","2019_Yachida_Rank","2021_JunY_1_Rank","2021_JunY_2_Rank","Rank3","Rank5","Rank10"
"Hyaloscypha_variabilis",33.2811532454339,19.0845682082016,64.0566879281329,32.1063287257474,15.4819402255317,19.6179500604623,23.7826281845472,20.6101910730666,35,46,16,28,44,30,55,20,"Ign","Ign","Ign"
"Schizosaccharomyces_pombe",41.1879410071503,11.493783773823,30.7175140218367,37.3039534030409,13.629743086431,18.8585389116252,23.7140586443653,11.9810776290492,25,60,48,21,53,33,56,47,"Ign","Ign","Ign"
"Tuber_magnatum",21.4785478078354,60.1197343071429,14.6925166304163,20.5080898128109,41.2529186012446,9.32742104741829,17.4522071455455,1.05204800744016,54,9,60,45,6,61,58,64,"Ign","Ign","Sel"
"Thielaviopsis_punctulata",30.6030590555582,23.2070537426031,55.4273717193062,18.1567886103802,9.99108532789751,15.867399097922,81.0646578623702,12.2290792254996,42,41,24,52,61,41,6,46,"Ign","Ign","Sel"
"Edhazardia_aedis",49.3577602149391,34.1058339975346,18.1318285714184,28.182049404474,16.847157085654,19.7808290285598,56.2206839931054,22.9279214068305,19,30,59,33,40,28,18,14,"Ign","Ign","Ign"
"Choanephora_cucurbitarum",32.6092118073253,17.0645471397873,13.9042869345513,13.8996396916991,20.5768487499045,16.1718263722326,50.0752030895772,17.0090850576437,37,53,62,59,29,40,26,30,"Ign","Ign","Ign"
"Fusobacterium_nucleatum",82.5917765216617,88.6336451476652,78.6530381017109,48.0799748478526,75.8482689355583,81.8173248713685,59.0365860489165,100,4,3,9,11,2,2,13,1,"Sel","Sel","Sel"
"Parvimonas_micra",79.498953743643,84.6058897683915,47.4287096315234,88.8314918568235,99.7539902587208,78.2201189811338,81.5969711270817,62.9866755459367,6,5,32,4,1,3,4,2,"Sel","Sel","Sel"
"Gemella_morbillorum",49.3805999897657,95.6008948865058,28.3661459098898,99.5481134702588,57.7766109283975,96.8483466422139,99.53561346486,33.9454727948466,18,2,52,1,3,1,1,6,"Sel","Sel","Sel"
"Anaerostipes_hadrus",90.7764930820481,22.5457584480243,37.3825654264275,44.9808002952529,18.1261335506936,18.1415421327147,77.3299500864039,30.7002254762479,2,43,42,16,35,34,7,9,"Sel","Sel","Sel"
"Pseudobutyrivibrio_xylanivorans",30.3492219297653,66.1658208777928,35.7645372257616,34.4896259711668,31.8737426569543,26.3736537715366,73.0439379275356,20.2660045837966,43,8,44,26,9,18,10,22,"Ign","Ign","Sel"
"Butyrivibrio_proteoclasticus",22.8554838041338,40.4181310850869,77.2186936781664,19.0279128583843,28.4057362548231,28.4234102298326,56.6546293107216,20.5558286253895,52,20,11,49,15,13,17,21,"Ign","Ign","Ign"
"Roseburia_intestinalis",42.7524443754132,17.584717538234,59.8344807033387,27.7371612582335,41.2184272856207,22.4052364990161,60.638337489494,22.7963045075101,24,49,19,34,7,23,12,15,"Ign","Ign","Sel"
"Dialister_pneumosintes",78.0426560306894,66.6654635708875,43.4829065460581,97.0593248547731,4.23548458873877,27.7680368508152,51.5389117965202,21.1142240741475,7,7,36,2,64,15,23,19,"Sel","Sel","Sel"
"Lactococcus_garvieae",34.1022369765619,38.475131941222,54.585663462407,27.5047578867296,18.9545427413504,31.3783581661271,61.5150583602811,3.92132666964173,34,25,25,35,31,8,11,61,"Ign","Ign","Sel"
"Brachyspira_pilosicoli",70.8502316309854,38.6262209081382,98.3138336665549,36.4133035275481,18.7479621504965,13.0262348300562,81.7738472890848,8.71938467877661,10,24,2,23,33,50,3,55,"Sel","Sel","Sel"
