"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Mean",17.9884617518182,21.3739953817752,9.75431634350065,21.7710364377491,14.0871663970639,14.1640945693325,25.1174039759385,8.05401573167751,14.85115294973,31.8390386634403,40.7292218205947,3.14542377073742,27.6408685656018,11.1476896228068,39.2051373076257,16.0920877843006,10.475776294124,12.4929069383655,6.45979205724012,11.3318582212901,18.3132019092079,17.8501476755427,22.736488151248,17.4633832507729,10.242602586493,13.5556541569383,14.2695727840089,20.6101910730666,11.9810776290492,1.05204800744016,12.2290792254996,22.9279214068305,17.0090850576437,100,62.9866755459367,33.9454727948466,30.7002254762479,20.2660045837966,20.5558286253895,22.7963045075101,21.1142240741475,3.92132666964173,8.71938467877661,37.3910219825289,19.342413194896,15.5263784801181,9.78195036148357,32.0829507793939,19.9615482392415,16.3592208628767,17.8643942360465,11.3819993113677,23.737858028374,8.67795910821969,15.6649182603433,14.7409636972863,8.61588072421023,7.81746276677226,16.2743249819907,29.1452307063384,16.9526994887211,2.76655589553509,16.7778676879656,15.7189707827817
"CRC.1",6.48093093983478,7.6756915763152,5.4830352400813,16.3977166677785,0,4.30612566684424,14.6360769150621,5.82915643061716,6.67593496976094,10.8561235227579,24.9206946219602,4.53839231242475,18.8653455140067,3.96029377326826,20.659689205979,2.75642800876863,1.5430611884586,4.84004109839955,4.28008189452596,9.92844699224554,10.5776584237755,9.48123092029402,12.8586870143641,5.5428356701629,9.38946514902259,9.99913914630866,9.61584921821063,10.8642939547487,5.45316970041102,2.10409601488033,8.92750088788205,13.5554699896255,6.03770569267305,100,37.9344329141559,11.3511254318024,22.9772574570794,9.74173600278568,4.15774459553504,17.2087016666826,7.00199724496155,7.76121798119195,3.43599312451415,31.0506086581703,6.82424579014459,6.84743157983328,9.79340957307968,9.58937849710913,7.7801204086277,12.2934013102191,8.42851690258603,5.54890457938322,17.1840951738491,4.84803492412187,12.9328606715137,6.86743308612719,7.55494757183669,6.10482011800827,8.48248477186322,18.1224939181753,11.7187540849591,4.39603045365468,7.34902958739536,0.500581289450216
"CRC.2",29.4959925638017,35.0722991872352,14.02559744692,27.1443562077196,28.1743327941279,24.0220634718208,35.5987310368149,10.2788750327379,23.0263709296991,52.8219538041227,56.5377490192293,1.75245522905008,36.4163916171968,18.3350854723453,57.7505854092724,29.4277475598325,19.4084913997893,20.1457727783314,8.63950221995427,12.7352694503346,26.0487453946402,26.2190644307914,32.6142892881319,29.383930831383,11.0957400239634,17.1121691675679,18.9232963498073,30.3560881913845,18.5089855576874,0,15.5306575631171,32.3003728240355,27.9804644226143,100,88.0389181777176,56.5398201578908,38.4231934954165,30.7902731648074,36.9539126552439,28.3839073483376,35.2264509033334,0.0814353580915014,14.0027762330391,43.7314353068876,31.8605805996474,24.205325380403,9.77049114988746,54.5765230616788,32.1429760698553,20.4250404155342,27.300271569507,17.2150940433523,30.2916208828989,12.5078832923175,18.3969758491729,22.6144943084454,9.67681387658377,9.53010541553624,24.0661651921181,40.1679674945014,22.1866448924831,1.1370813374155,26.2067057885358,30.9373602761132
"CRC.3",6.48093093983478,7.6756915763152,5.4830352400813,16.3977166677785,0,4.30612566684424,14.6360769150621,5.82915643061716,6.67593496976094,10.8561235227579,24.9206946219602,4.53839231242475,18.8653455140067,3.96029377326826,20.659689205979,2.75642800876863,1.5430611884586,4.84004109839955,4.28008189452596,9.92844699224554,10.5776584237755,9.48123092029402,12.8586870143641,5.5428356701629,9.38946514902259,9.99913914630866,9.61584921821063,10.8642939547487,5.45316970041102,2.10409601488033,8.92750088788205,13.5554699896255,6.03770569267305,100,37.9344329141559,11.3511254318024,22.9772574570794,9.74173600278568,4.15774459553504,17.2087016666826,7.00199724496155,7.76121798119195,3.43599312451415,31.0506086581703,6.82424579014459,6.84743157983328,9.79340957307968,9.58937849710913,7.7801204086277,12.2934013102191,8.42851690258603,5.54890457938322,17.1840951738491,4.84803492412187,12.9328606715137,6.86743308612719,7.55494757183669,6.10482011800827,8.48248477186322,18.1224939181753,11.7187540849591,4.39603045365468,7.34902958739536,0.500581289450216
"CRC.4",29.4959925638017,35.0722991872352,14.02559744692,27.1443562077196,28.1743327941279,24.0220634718208,35.5987310368149,10.2788750327379,23.0263709296991,52.8219538041227,56.5377490192293,1.75245522905008,36.4163916171968,18.3350854723453,57.7505854092724,29.4277475598325,19.4084913997893,20.1457727783314,8.63950221995427,12.7352694503346,26.0487453946402,26.2190644307914,32.6142892881319,29.383930831383,11.0957400239634,17.1121691675679,18.9232963498073,30.3560881913845,18.5089855576874,0,15.5306575631171,32.3003728240355,27.9804644226143,100,88.0389181777176,56.5398201578908,38.4231934954165,30.7902731648074,36.9539126552439,28.3839073483376,35.2264509033334,0.0814353580915014,14.0027762330391,43.7314353068876,31.8605805996474,24.205325380403,9.77049114988746,54.5765230616788,32.1429760698553,20.4250404155342,27.300271569507,17.2150940433523,30.2916208828989,12.5078832923175,18.3969758491729,22.6144943084454,9.67681387658377,9.53010541553624,24.0661651921181,40.1679674945014,22.1866448924831,1.1370813374155,26.2067057885358,30.9373602761132
"CRC.5",6.48093093983478,7.6756915763152,5.4830352400813,16.3977166677785,0,4.30612566684424,14.6360769150621,5.82915643061716,6.67593496976094,10.8561235227579,24.9206946219602,4.53839231242475,18.8653455140067,3.96029377326826,20.659689205979,2.75642800876863,1.5430611884586,4.84004109839955,4.28008189452596,9.92844699224554,10.5776584237755,9.48123092029402,12.8586870143641,5.5428356701629,9.38946514902259,9.99913914630866,9.61584921821063,10.8642939547487,5.45316970041102,2.10409601488033,8.92750088788205,13.5554699896255,6.03770569267305,100,37.9344329141559,11.3511254318024,22.9772574570794,9.74173600278568,4.15774459553504,17.2087016666826,7.00199724496155,7.76121798119195,3.43599312451415,31.0506086581703,6.82424579014459,6.84743157983328,9.79340957307968,9.58937849710913,7.7801204086277,12.2934013102191,8.42851690258603,5.54890457938322,17.1840951738491,4.84803492412187,12.9328606715137,6.86743308612719,7.55494757183669,6.10482011800827,8.48248477186322,18.1224939181753,11.7187540849591,4.39603045365468,7.34902958739536,0.500581289450216
"CRC.6",29.4959925638017,35.0722991872352,14.02559744692,27.1443562077196,28.1743327941279,24.0220634718208,35.5987310368149,10.2788750327379,23.0263709296991,52.8219538041227,56.5377490192293,1.75245522905008,36.4163916171968,18.3350854723453,57.7505854092724,29.4277475598325,19.4084913997893,20.1457727783314,8.63950221995427,12.7352694503346,26.0487453946402,26.2190644307914,32.6142892881319,29.383930831383,11.0957400239634,17.1121691675679,18.9232963498073,30.3560881913845,18.5089855576874,0,15.5306575631171,32.3003728240355,27.9804644226143,100,88.0389181777176,56.5398201578908,38.4231934954165,30.7902731648074,36.9539126552439,28.3839073483376,35.2264509033334,0.0814353580915014,14.0027762330391,43.7314353068876,31.8605805996474,24.205325380403,9.77049114988746,54.5765230616788,32.1429760698553,20.4250404155342,27.300271569507,17.2150940433523,30.2916208828989,12.5078832923175,18.3969758491729,22.6144943084454,9.67681387658377,9.53010541553624,24.0661651921181,40.1679674945014,22.1866448924831,1.1370813374155,26.2067057885358,30.9373602761132
"CRC.7",6.48093093983478,7.6756915763152,5.4830352400813,16.3977166677785,0,4.30612566684424,14.6360769150621,5.82915643061716,6.67593496976094,10.8561235227579,24.9206946219602,4.53839231242475,18.8653455140067,3.96029377326826,20.659689205979,2.75642800876863,1.5430611884586,4.84004109839955,4.28008189452596,9.92844699224554,10.5776584237755,9.48123092029402,12.8586870143641,5.5428356701629,9.38946514902259,9.99913914630866,9.61584921821063,10.8642939547487,5.45316970041102,2.10409601488033,8.92750088788205,13.5554699896255,6.03770569267305,100,37.9344329141559,11.3511254318024,22.9772574570794,9.74173600278568,4.15774459553504,17.2087016666826,7.00199724496155,7.76121798119195,3.43599312451415,31.0506086581703,6.82424579014459,6.84743157983328,9.79340957307968,9.58937849710913,7.7801204086277,12.2934013102191,8.42851690258603,5.54890457938322,17.1840951738491,4.84803492412187,12.9328606715137,6.86743308612719,7.55494757183669,6.10482011800827,8.48248477186322,18.1224939181753,11.7187540849591,4.39603045365468,7.34902958739536,0.500581289450216
"CRC.8",29.4959925638017,35.0722991872352,14.02559744692,27.1443562077196,28.1743327941279,24.0220634718208,35.5987310368149,10.2788750327379,23.0263709296991,52.8219538041227,56.5377490192293,1.75245522905008,36.4163916171968,18.3350854723453,57.7505854092724,29.4277475598325,19.4084913997893,20.1457727783314,8.63950221995427,12.7352694503346,26.0487453946402,26.2190644307914,32.6142892881319,29.383930831383,11.0957400239634,17.1121691675679,18.9232963498073,30.3560881913845,18.5089855576874,0,15.5306575631171,32.3003728240355,27.9804644226143,100,88.0389181777176,56.5398201578908,38.4231934954165,30.7902731648074,36.9539126552439,28.3839073483376,35.2264509033334,0.0814353580915014,14.0027762330391,43.7314353068876,31.8605805996474,24.205325380403,9.77049114988746,54.5765230616788,32.1429760698553,20.4250404155342,27.300271569507,17.2150940433523,30.2916208828989,12.5078832923175,18.3969758491729,22.6144943084454,9.67681387658377,9.53010541553624,24.0661651921181,40.1679674945014,22.1866448924831,1.1370813374155,26.2067057885358,30.9373602761132
"CRC.9",6.48093093983478,7.6756915763152,5.4830352400813,16.3977166677785,0,4.30612566684424,14.6360769150621,5.82915643061716,6.67593496976094,10.8561235227579,24.9206946219602,4.53839231242475,18.8653455140067,3.96029377326826,20.659689205979,2.75642800876863,1.5430611884586,4.84004109839955,4.28008189452596,9.92844699224554,10.5776584237755,9.48123092029402,12.8586870143641,5.5428356701629,9.38946514902259,9.99913914630866,9.61584921821063,10.8642939547487,5.45316970041102,2.10409601488033,8.92750088788205,13.5554699896255,6.03770569267305,100,37.9344329141559,11.3511254318024,22.9772574570794,9.74173600278568,4.15774459553504,17.2087016666826,7.00199724496155,7.76121798119195,3.43599312451415,31.0506086581703,6.82424579014459,6.84743157983328,9.79340957307968,9.58937849710913,7.7801204086277,12.2934013102191,8.42851690258603,5.54890457938322,17.1840951738491,4.84803492412187,12.9328606715137,6.86743308612719,7.55494757183669,6.10482011800827,8.48248477186322,18.1224939181753,11.7187540849591,4.39603045365468,7.34902958739536,0.500581289450216
