"","Median","low-CI","high-CI","p-value"
"Rhodotorula toruloides",-0.142143065190492,-0.199738765279502,-0.0844943560782471,1.35721639498106e-06
"Rhodotorula sp. JG-1b",-0.482545085409966,-0.546481058147658,-0.41865966350765,7.29495571144377e-49
"Puccinia coronata",-0.343037198948472,-0.387165764693854,-0.298733717106894,3.86939181860364e-51
"Puccinia striiformis",0.392610667789703,0.364322231114497,0.420922067577843,9.95945797589219e-151
"Puccinia graminis",-0.270906808707114,-0.321624238584461,-0.219580354131817,5.33317511074861e-25
"Puccinia sorghi",-0.734600677846268,-0.781237579297371,-0.68782037892587,8.26217754225863e-181
"Malassezia globosa",1.15019750762664,1.06517836865054,1.23545505402075,1.53006460697705e-146
"Malassezia restricta",-0.391484048073068,-0.490937670679646,-0.293035250803817,3.27558468882711e-15
"Malassezia sympodialis",-0.698405694730835,-0.794439043575156,-0.603661809100216,3.32006129788936e-49
"Malassezia vespertilionis",0.190890093953993,0.119761357356384,0.262392463985836,1.46698481063195e-07
"Tilletiaria anomala",-0.262411721658726,-0.322410839447092,-0.202178007355743,2.7600006181578e-17
"Ceraceosorus bombacis",-0.573602110070009,-0.631621893051783,-0.515809766361765,4.33046909652554e-81
"Tilletia controversa",1.9140326408294,1.82643843935858,2.00221872632962,0
"Tilletia walkeri",-0.304905507417393,-0.392715092268101,-0.217745871230497,7.8820172539511e-12
"Tilletia indica",-0.583939720604314,-0.656884179903914,-0.512173787035752,7.97795019002154e-59
"Tilletia caries",-2.10913434760222,-2.30231585081203,-1.92800268441468,6.48954414564252e-119
"Violaceomyces palustris",-0.716561865228871,-0.77544538587012,-0.657158421431159,1.81285127197384e-116
"Testicularia cyperi",-0.239030043618417,-0.29732667202753,-0.180902898003814,6.96167826529433e-16
"Pseudozyma hubeiensis",-0.259315791215653,-0.324590825440452,-0.194154866992342,4.29846575970876e-15
"Kalmanozyma brasiliensis",-0.407395126605459,-0.46511604070756,-0.349909434085254,2.07203153721892e-43
"Moesziomyces aphidis",0.237265122239449,0.0947878492845917,0.386568361778025,0.00120143874379704
"Moesziomyces antarcticus",-0.460922113596676,-0.552665610805926,-0.369722330699359,2.67449439241166e-24
"Ustilago hordei",-0.10151427586464,-0.193384501211625,-0.00852123392347557,0.032216721941454
"Ustilago bromivora",0.296555200323894,0.19851095511713,0.394895867789791,2.86681866186432e-09
"Ustilago maydis",0.351059807055173,0.282154667320305,0.420335746650107,3.27586912291706e-23
"Anthracocystis flocculosa",-0.278941025733018,-0.339812340840973,-0.218349081566422,2.20728462210878e-19
"Sporisorium graminicola",0.771711513931042,0.699411989487432,0.844830625161094,4.39560006432377e-97
