"","2014_ZellerG","2015_FengQ","2016_VogtmannE","2019_Thom","2019_WirbelJ","2019_Yachida","2021_JunY_1","2021_JunY_2","Mean"
"Seed_72",74.7,65.2,75.27,47.78,91.89,66.64,83.15,73.69,72.29
"Seed_73",74.68,65.26,75.67,47.59,92.34,65.74,82.34,75.19,72.35125
"Seed_74",75.63,65.13,78.74,45.83,89.48,66.04,82.93,75.99,72.47125
"Seed_75",74.92,66.73,74.33,47.69,90.91,66.01,83.06,75.57,72.4025
"Seed_76",74.89,64.02,76.52,46.48,91.62,66.44,83.59,73.95,72.18875
"Seed_77",74.34,64.15,77.23,47.04,90.73,65.2,82.49,74.91,72.01125
"Seed_78",74.4,64.48,72.95,46.94,90.37,66.37,82.47,75.49,71.68375
"Seed_79",74.32,64.8,76.87,46.48,91.89,65.77,82.97,75.09,72.27375
"Seed_80",74.62,65.36,76.11,47.41,92.34,65.74,82.6,75.44,72.4525
"Seed_81",73.92,65.29,75.85,47.5,89.75,65.64,81.92,74.12,71.74875
"Seed_82",73.21,65.88,75.36,48.52,90.46,65.36,81.44,74.12,71.79375
"Seed_83",74.82,66.05,75.67,47.87,90.91,66.33,83.59,75.33,72.57125
"Seed_84",74.28,65.13,74.02,47.13,89.48,66.23,82.56,75.5,71.79125
"Seed_85",75.53,65.82,75.76,47.59,89.04,66.01,81.83,75.55,72.14125
"Seed_86",75.57,64.67,75.27,46.76,90.55,65.79,82.14,75.73,72.06
"Seed_87",74.8,64.8,76.56,48.15,91.09,66,82.19,73.98,72.19625
"Seed_88",75.12,65.72,76.78,45.83,88.59,65.94,82.51,75.47,71.995
"Seed_89",73.72,65.42,76.69,46.57,90.11,66.04,82.23,75.8,72.0725
"Seed_90",74.4,65.82,76.25,47.87,87.34,65.7,83.19,74.96,71.94125
"Seed_91",75.08,64.38,75.31,47.22,91.09,66.48,82.54,75.49,72.19875
"Seed_92",75.9,65.62,76.74,48.15,91.8,66.17,83.04,75.13,72.81875
"Seed_93",75.69,67.32,77.27,49.44,93.23,65.1,83.33,75.44,73.3525
"Seed_94",74.41,65.65,75.89,45.74,90.2,66.06,82.71,75.12,71.9725
"Seed_95",74.41,65.16,77.58,46.67,91.18,66.36,81.31,75.03,72.2125
"Seed_96",75.08,65.39,77.32,46.48,90.73,66.08,82.78,74.72,72.3225
"Seed_97",74.95,67.25,77.5,47.5,92.25,66.27,81.81,75.75,72.91
"Seed_98",75.5,64.31,75.94,47.59,90.55,65.49,82.91,74.7,72.12375
"Seed_99",72.85,65.92,76.47,47.31,90.02,66.69,83,75.45,72.21375
"Seed_100",75.02,65.69,75.22,46.2,90.29,65.96,83.41,75.62,72.17625
