"","2014_ZellerG","2015_FengQ","2016_VogtmannE","2019_Thom","2019_WirbelJ","2019_Yachida","2021_JunY_1","2021_JunY_2","Mean"
"Seed_72",81.56,90.78,70.59,66.94,87.43,75.7,85.67,83.78,80.30625
"Seed_73",82.16,90.13,70.1,67.22,88.41,75.51,86.18,83.08,80.34875
"Seed_74",81.39,90.16,71.52,66.2,87.43,75.62,86.38,83.56,80.2825
"Seed_75",81.8,90.56,70.19,65,86.63,75.49,87.03,82.98,79.96
"Seed_76",82.07,91.86,70.9,67.04,87.52,75.7,87.23,83.79,80.76375
"Seed_77",81.36,90.52,70.63,67.04,86.99,75.13,86.86,82.88,80.17625
"Seed_78",81.74,90.36,71.35,66.11,87.79,76.08,85.85,83.21,80.31125
"Seed_79",81.65,90.88,69.74,66.2,86.99,75.85,86.81,83.32,80.18
"Seed_80",81.24,90.78,71.21,67.5,86.99,75.33,86.62,83.02,80.33625
"Seed_81",81.69,90.88,71.03,65.93,88.68,75.49,85.98,83.44,80.39
"Seed_82",81.41,90.78,70.28,67.69,88.41,75.43,86.22,83.86,80.51
"Seed_83",82.64,91.9,70.63,66.76,89.39,75.51,86.18,83.54,80.81875
"Seed_84",80.99,90.16,70.81,64.63,87.08,75.53,86.73,83.17,79.8875
"Seed_85",81.39,90.78,70.86,67.96,87.97,76.17,86.86,83.25,80.655
"Seed_86",81.27,90.95,71.66,65.74,87.43,75.4,87.38,83.45,80.41
"Seed_87",81.29,90.2,70.68,65.93,86.9,75.72,86.38,83.69,80.09875
"Seed_88",81.08,91.18,70.05,66.85,85.56,75.4,86.16,83.79,80.00875
"Seed_89",81.35,90.65,71.03,65.83,85.03,75.99,86.13,83.27,79.91
"Seed_90",81.99,91.08,71.66,65.65,87.7,75.89,86.46,83.24,80.45875
"Seed_91",82.13,91.6,71.08,66.67,87.25,75.5,87.25,83.59,80.63375
"Seed_92",80.49,90.13,70.45,66.3,88.77,75.31,85.63,83.42,80.0625
"Seed_93",81.23,90.29,71.79,67.96,87.17,76.01,86.44,83.01,80.4875
"Seed_94",81.32,90.92,70.54,66.67,87.34,76,86.31,83.02,80.265
"Seed_95",81.06,90.56,71.61,66.85,88.32,75.75,85.74,83.51,80.425
"Seed_96",81.6,90.52,71.48,67.04,87.88,75.69,86.59,83.69,80.56125
"Seed_97",81.02,91.18,71.17,67.41,85.74,75.64,86.24,83.59,80.24875
"Seed_98",81.18,90.1,70.32,68.24,87.08,75.98,87.03,83.41,80.4175
"Seed_99",81.23,90.16,71.3,68.8,86.19,75.7,86.88,83.3,80.445
"Seed_100",81.36,90.23,70.37,67.5,85.56,75.49,86.68,83.78,80.12125
