"","Bacteroidetes","Firmicutes","Actinobacteria","Proteobacteria","Verrucomicrobia","Cohort","Stage","SampleName"
"CCMD19168690ST",77.1896220531884,20.308160077856,1.21326545620104,1.16283415025649,0.0136449080665748,"2019_WirbelJ","CRC","CCMD19168690ST"
"CCMD52117727ST",81.8334150114974,15.6630618371143,0.446544763880167,1.84676327170254,0.124253219293631,"2019_WirbelJ","CRC","CCMD52117727ST"
"CCMD79349503ST",51.8743942761073,43.5922376413116,2.96150357519173,1.33820356420985,0.0299360073818672,"2019_WirbelJ","CRC","CCMD79349503ST"
"CCMD71242853ST",55.9147640237108,35.1830592691638,3.67828973311751,1.34912835756917,3.63236994705496,"2019_WirbelJ","CRC","CCMD71242853ST"
"CCMD49461418ST",49.5368248541501,40.8893442153639,7.24454662363494,1.93917059625428,0.0276693388838897,"2019_WirbelJ","CRC","CCMD49461418ST"
"CCMD27463710ST",51.2462666763931,37.9726030873066,4.71722948006762,4.09824574757922,1.33478807408606,"2019_WirbelJ","CRC","CCMD27463710ST"
"CCMD98531134ST",60.7136442502101,26.9892155944024,9.87425174356528,1.5468107521752,0.567244400145392,"2019_WirbelJ","CRC","CCMD98531134ST"
"CCMD65406197ST",41.4055947825434,42.4104894509907,9.1174165536186,6.80101021898119,0.0408769816880634,"2019_WirbelJ","CRC","CCMD65406197ST"
"CCMD21703880ST",51.069366257903,32.4624932915813,6.51018793242104,4.48742846367945,4.17486853111014,"2019_WirbelJ","CRC","CCMD21703880ST"
"CCMD72690923ST",22.0431374846007,55.4393298465621,8.36896535467493,11.2674332610931,1.56471360807491,"2019_WirbelJ","CRC","CCMD72690923ST"
"CCMD35633353ST",29.4093441078814,41.7265619707448,4.47861460268802,2.20566567734285,21.6220212533686,"2019_WirbelJ","CRC","CCMD35633353ST"
"CCMD75147712ST",87.1265058032429,11.5444744930842,0.119579745475316,0.441425618440849,0.00211247555831707,"2019_WirbelJ","CTRL","CCMD75147712ST"
"CCMD18829815ST",65.1154609759387,32.8988313055141,0.902233260187644,0.695561180637902,0.262839824994458,"2019_WirbelJ","CTRL","CCMD18829815ST"
"CCMD99440714ST",56.583369915895,39.9259150866484,2.5589885095916,0.681034903247835,0.128728808244664,"2019_WirbelJ","CTRL","CCMD99440714ST"
"CCMD26625622ST",62.5157532118934,33.6412229768104,1.3780158101795,1.61204278658987,0.659246325880048,"2019_WirbelJ","CTRL","CCMD26625622ST"
"CCMD45812507ST",32.537129532055,63.1573302449299,2.71230282142915,1.26320616430556,0.0241494782910033,"2019_WirbelJ","CTRL","CCMD45812507ST"
"CCMD98702133ST",53.7605043820504,41.3849362750067,3.11780195385126,1.56658957142108,0.0129232459144411,"2019_WirbelJ","CTRL","CCMD98702133ST"
"CCMD53522274ST",36.0353841455598,58.2732288905727,0.742346324578583,2.44294594456564,2.20745725896642,"2019_WirbelJ","CTRL","CCMD53522274ST"
"CCMD32965613ST",37.4501167327927,56.730646694045,1.05840825057172,4.29880317669557,0.0461186087302961,"2019_WirbelJ","CTRL","CCMD32965613ST"
"CCMD50300306ST",37.1778222631213,56.7325951219148,2.75554170304929,1.89918690286748,1.16627195694183,"2019_WirbelJ","CTRL","CCMD50300306ST"
"CCMD54057834ST",47.3386044805912,46.4361874355903,3.09206983631823,1.66246553212823,1.23328540326249,"2019_WirbelJ","CTRL","CCMD54057834ST"
"CCMD68973846ST",62.3918288779683,30.9438207223849,2.92040246410149,1.77639164807844,1.75511684441656,"2019_WirbelJ","CTRL","CCMD68973846ST"
"CCMD46727384ST",56.8876962668967,36.2556374089305,2.4271025737218,4.02923782374629,0.0817015094420775,"2019_WirbelJ","CTRL","CCMD46727384ST"
"CCMD10032470ST",42.0597317459342,51.0206314885929,5.00880902309938,1.7142992770814,0.0202946664674239,"2019_WirbelJ","CTRL","CCMD10032470ST"
"CCMD93755960ST",45.9489057776793,46.9088488630651,3.85180258255253,2.38648415399803,0.654339890153728,"2019_WirbelJ","CTRL","CCMD93755960ST"
"CCMD73128545ST",54.8104686292927,37.9762605550016,1.22358464522174,1.90249300169319,3.82563400263807,"2019_WirbelJ","CTRL","CCMD73128545ST"
"CCMD74592084ST",27.9671223955221,64.7133699652965,6.28162751690153,0.882967883887986,0.0230838360171719,"2019_WirbelJ","CTRL","CCMD74592084ST"
"CCMD39157124ST",42.6783342932538,49.7288610628441,4.48371069344951,2.65576925233978,0.0537059678120201,"2019_WirbelJ","CTRL","CCMD39157124ST"
"CCMD66848156ST",49.2180069115461,42.7325975350325,5.78534554802571,1.9429207681838,0.0853277295880595,"2019_WirbelJ","CTRL","CCMD66848156ST"
"CCMD30627121ST",35.1556928580309,56.6567172287559,3.13381175607753,4.23783370404305,0.0945492612098335,"2019_WirbelJ","CTRL","CCMD30627121ST"
"CCMD23541216ST",58.4139066809747,33.0128383180079,1.27413018006112,1.85557104363984,5.06211678798229,"2019_WirbelJ","CTRL","CCMD23541216ST"
"CCMD17410933ST",36.4405330684355,54.9774747016899,7.62961793991338,0.74740494586103,0.0380091047648754,"2019_WirbelJ","CTRL","CCMD17410933ST"
"CCMD35081859ST",33.1496128731041,57.5814376868357,4.69939304727876,2.08652967000188,2.27747498589613,"2019_WirbelJ","CTRL","CCMD35081859ST"
"CCMD53508245ST",60.4741260078046,30.1339888319986,6.33493506251255,2.83355102795095,0.0202656264753673,"2019_WirbelJ","CTRL","CCMD53508245ST"
"CCMD59540613ST",65.0579824636916,25.3293104801141,5.06771074969255,3.58746734701185,0.779253230255655,"2019_WirbelJ","CTRL","CCMD59540613ST"
