"","Aspergillus_rambellii","Erysiphe_pulchra","Blumeria_graminis","Rosellinia_necatrix","Pseudocercospora_eumusae","Thielaviopsis_punctulata","Colletotrichum_incanum","Cryptococcus_neoformans","Moniliophthora_perniciosa","Sphaerulina_musiva","Grosmannia_clavigera","Aspergillus_ochraceoroseus","Peniophora_sp_CONT","Lentinula_edodes","Gemella_morbillorum","Parvimonas_micra","Fusobacterium_nucleatum","Streptococcus_anginosus","Pseudobutyrivibrio_xylanivorans","Streptococcus_milleri","Roseburia_intestinalis","Dialister_pneumosintes","Eubacterium_eligens","Erysipelatoclostridium_ramosum","Adlercreutzia_equolifaciens","Citrobacter_braakii","Fusobacterium_periodonticum","Porphyromonas_asaccharolytica","Prevotella_ruminicola"
"Mean",6.15125728814519,100,23.9182531487471,9.80082253707584,8.69961616486398,6.57279825554572,8.47677495794824,3.40369661484197,29.5727081514065,7.74429761222326,10.3391748688469,8.19809862857537,10.174315398094,5.51332633020268,41.0064695686109,16.6761644620146,12.6423962166578,33.3684011094969,20.8052196423258,25.61549825728,24.0346240430264,6.26558381631737,13.2639647194915,12.2157502505972,5.60799299944431,11.7496206106056,15.4236036538125,7.29472881529713,21.1321817083327
"CRC.1",5.55929689529533,100,29.0297891449883,9.65971899852819,3.5288853106561,6.45877747237308,10.3072464005396,0,31.0723193328822,9.56942061704193,9.56942061704193,7.55720425771466,11.7248997100923,6.58284779918305,40.2932435188099,15.7740678412231,17.2075058824652,37.2311627257321,18.8915659280232,28.8930423776679,27.0927590327799,5.2136629164569,12.1739782898675,15.2054970776783,9.72823593359262,12.0115962057702,21.0234645417596,9.56942061704193,26.5498711545598
"CRC.2",7.66380228964538,100,26.076090116131,12.6025225521509,13.5652411814332,0.808554400376831,0,10.0684947871004,34.7414214001424,7.47179200281098,11.148666124283,17.7588850910554,9.08248476427605,9.85250387134947,41.4888574966116,19.3676438364856,8.38586250963076,36.3097816923936,23.4040014734839,19.4923068336937,22.180731577552,3.99896466151683,15.7810843897935,14.6528069617798,6.86738500331856,9.21101718485662,13.2552494355021,4.22372813878635,18.8084988808058
"CRC.3",5.55929689529533,100,29.0297891449883,9.65971899852819,3.5288853106561,6.45877747237308,10.3072464005396,0,31.0723193328822,9.56942061704193,9.56942061704193,7.55720425771466,11.7248997100923,6.58284779918305,40.2932435188099,15.7740678412231,17.2075058824652,37.2311627257321,18.8915659280232,28.8930423776679,27.0927590327799,5.2136629164569,12.1739782898675,15.2054970776783,9.72823593359262,12.0115962057702,21.0234645417596,9.56942061704193,26.5498711545598
"CRC.4",8.51247361186845,100,23.6638572772122,11.4506907483379,13.0152090389682,7.67120229083208,5.64481980615717,0,21.4198641441243,13.7433045299937,15.2901208473995,11.3790067377914,12.6827532830915,6.17748749466491,42.241594348152,19.4844022626712,8.77060353947501,28.509258798108,17.1081888976342,25.1839400031105,26.5177597713847,4.89429564426184,14.6564471695957,12.1811280733426,2.85315194556449,11.8031420104804,13.296484472993,10.7072534104129,26.2580428353712
"CRC.5",4.37817020151169,100,18.8842906314693,9.15980209256084,13.0888369593851,10.5886623651705,12.2260681840609,2.61896446829723,27.8268796454289,2.32454900376171,7.33318546961232,3.49066003833383,12.4089240786424,2.35140277196448,39.3968273185198,17.1624055371032,11.5773988710181,28.9504649259807,24.4497309785853,24.4317246155203,22.6279738103874,9.32718533450415,16.3298216652466,10.4760003164846,0,14.0583814187982,13.2074981348736,3.16559438507962,14.2216284704476
"CRC.6",11.8011720981362,100,20.0550631390559,14.6996362523296,12.5444291322942,10.2357912444149,8.06531929969457,13.6173589871215,32.4236404508719,2.00656593091382,13.8514902114612,4.89216842746165,1.47446527848428,3.8892824163566,43.8484696607889,19.7393090171363,8.81785806636354,29.9801105196494,17.3010346696767,26.8193110901513,19.3521037653133,0,13.6397968142683,4.19995881241679,2.62289035476582,11.8011720981362,6.78490530805309,8.03094686209468,14.5926399250393
"CRC.7",5.55929689529533,100,29.0297891449883,9.65971899852819,3.5288853106561,6.45877747237308,10.3072464005396,0,31.0723193328822,9.56942061704193,9.56942061704193,7.55720425771466,11.7248997100923,6.58284779918305,40.2932435188099,15.7740678412231,17.2075058824652,37.2311627257321,18.8915659280232,28.8930423776679,27.0927590327799,5.2136629164569,12.1739782898675,15.2054970776783,9.72823593359262,12.0115962057702,21.0234645417596,9.56942061704193,26.5498711545598
"CRC.8",2.54159689759717,100,15.4997831121801,2.29689563870557,7.57806713454961,0,5.37648850335047,5.11318343760329,27.1991188965396,11.2945331828229,10.1574180979333,10.7407889219189,6.78600365743357,4.17979277899468,42.5191454682778,10.7492070647541,8.4648167792117,32.0592793299283,25.7732457132,20.2238059041321,18.6686615641197,14.2535555225591,7.20676233129447,9.3496197147506,4.82355895642373,8.51772715190537,10.3905428847914,5.37648850335047,17.019893882976
"CRC.9",5.55929689529533,100,29.0297891449883,9.65971899852819,3.5288853106561,6.45877747237308,10.3072464005396,0,31.0723193328822,9.56942061704193,9.56942061704193,7.55720425771466,11.7248997100923,6.58284779918305,40.2932435188099,15.7740678412231,17.2075058824652,37.2311627257321,18.8915659280232,28.8930423776679,27.0927590327799,5.2136629164569,12.1739782898675,15.2054970776783,9.72823593359262,12.0115962057702,21.0234645417596,9.56942061704193,26.5498711545598
