"","Cohort","Fungi","observed value","low CI","high CI"
"Torulaspora globosa1","2015_FengQ","Torulaspora globosa",-0.119656546209264,-0.218905951883219,-0.0204086582552631
"Hanseniaspora opuntiae1","2015_FengQ","Hanseniaspora opuntiae",-0.0761435556441774,-0.164370862481887,0.0132752598677455
"Debaryomyces hansenii1","2015_FengQ","Debaryomyces hansenii",-0.0488932195916269,-0.162223535366978,0.0658656653946725
"Edhazardia aedis1","2015_FengQ","Edhazardia aedis",-0.0329031307413142,-0.0787985108169154,0.0127954487024047
"Mucor circinelloides1","2015_FengQ","Mucor circinelloides",-0.024967084410672,-0.0729651491889563,0.0226694710866927
"Piromyces sp. E21","2015_FengQ","Piromyces sp. E2",-0.0177944340451724,-0.0687035074912602,0.0325480099374421
"Aspergillus rambellii2","2016_VogtmannE","Aspergillus rambellii",1.59957108300694,1.4941812565161,1.70528869818974
"Thielaviopsis punctulata2","2016_VogtmannE","Thielaviopsis punctulata",0.40299424507183,0.349408137478982,0.456958351279914
"Tilletia controversa2","2016_VogtmannE","Tilletia controversa",0.370163961349613,0.230903036721978,0.538623183375129
"Coccidioides immitis2","2016_VogtmannE","Coccidioides immitis",0.365075114454111,0.177830636160466,0.654291640710891
"Rutstroemia sp. NJR-2017a WRK42","2016_VogtmannE","Rutstroemia sp. NJR-2017a WRK4",0.171999787046037,0.109725939795164,0.234312888323205
"Brettanomyces bruxellensis2","2016_VogtmannE","Brettanomyces bruxellensis",0.0813685683531654,-0.0220234234750309,0.187174491270297
"Tuber magnatum2","2016_VogtmannE","Tuber magnatum",0.0256333362613565,-0.0249809725779548,0.0763141496773047
"Aspergillus kawachii2","2016_VogtmannE","Aspergillus kawachii",-1.01020644991412,-1.39114524716151,-0.6287082783152
"Debaryomyces hansenii2","2016_VogtmannE","Debaryomyces hansenii",-0.675846362971722,-0.769869858892893,-0.581962747459923
"Kwoniella pini2","2016_VogtmannE","Kwoniella pini",-0.502812503698585,-0.587049502860251,-0.418114604192991
"Encephalitozoon hellem2","2016_VogtmannE","Encephalitozoon hellem",-0.437107400074933,-0.743672641412127,-0.227276721461803
"Hanseniaspora opuntiae2","2016_VogtmannE","Hanseniaspora opuntiae",-0.372992204466639,-0.478665783058817,-0.266586407402428
"Eremothecium sinecaudum2","2016_VogtmannE","Eremothecium sinecaudum",-0.368185837027737,-0.475553336973941,-0.261401608228319
"Rutstroemia sp. NJR-2017a BVV22","2016_VogtmannE","Rutstroemia sp. NJR-2017a BVV2",-0.344457603728198,-0.394575837064424,-0.294290487639884
"Colletotrichum fioriniae2","2016_VogtmannE","Colletotrichum fioriniae",-0.341682141319065,-0.395516011017684,-0.287974968039721
"Rhizophagus irregularis2","2016_VogtmannE","Rhizophagus irregularis",-0.32873898714181,-0.374810504205505,-0.282844197080615
"Piromyces sp. E22","2016_VogtmannE","Piromyces sp. E2",-0.327087442010447,-0.379205271347475,-0.27502326390746
"Emmonsia sp. CAC-2015a2","2016_VogtmannE","Emmonsia sp. CAC-2015a",-0.275747466481416,-0.333126258596026,-0.217682173828682
"Torulaspora delbrueckii2","2016_VogtmannE","Torulaspora delbrueckii",-0.271128643334096,-0.336326063380453,-0.20603713063762
"Leucoagaricus sp. SymC.cos2","2016_VogtmannE","Leucoagaricus sp. SymC.cos",-0.25826165500805,-0.304425283418786,-0.212996061946995
"Torulaspora globosa2","2016_VogtmannE","Torulaspora globosa",-0.194576501023135,-0.286873561233305,-0.104520728203501
"Trichoderma atroviride2","2016_VogtmannE","Trichoderma atroviride",-0.185229653762043,-0.240322707465718,-0.130893957941101
"Hyphopichia burtonii2","2016_VogtmannE","Hyphopichia burtonii",-0.173603575810962,-0.250102290038733,-0.0978002534335419
"Mucor circinelloides2","2016_VogtmannE","Mucor circinelloides",-0.169080907552331,-0.211462385995547,-0.127112055932255
"Komagataella pastoris2","2016_VogtmannE","Komagataella pastoris",-0.149944964430086,-0.262830035870094,-0.034820928732758
"Edhazardia aedis2","2016_VogtmannE","Edhazardia aedis",-0.118028786406475,-0.166293087923844,-0.0705973600967828
"Batrachochytrium salamandrivorans2","2016_VogtmannE","Batrachochytrium salamandrivorans",-0.0634188078307336,-0.118306962396188,-0.00813329901678094
"Pseudocercospora fijiensis2","2016_VogtmannE","Pseudocercospora fijiensis",-0.0158272040834983,-0.0568020762543009,0.0250810796359834
"Aspergillus rambellii3","2019_Thom","Aspergillus rambellii",5.89059009322659,5.64445511477158,6.1273140485535
"Hanseniaspora opuntiae3","2019_Thom","Hanseniaspora opuntiae",1.96164983733874,1.67215208264983,2.30818845702809
"Piromyces sp. E23","2019_Thom","Piromyces sp. E2",0.659167066101275,0.594271772744765,0.72441985733375
"Kwoniella pini3","2019_Thom","Kwoniella pini",0.438986540228557,0.350256118436021,0.528045832246149
"Eremothecium sinecaudum3","2019_Thom","Eremothecium sinecaudum",0.433325381342445,0.249941272967111,0.613411931185801
"Debaryomyces hansenii3","2019_Thom","Debaryomyces hansenii",0.352223430903614,0.239950476420202,0.464681169339108
"Rhizophagus irregularis3","2019_Thom","Rhizophagus irregularis",0.301752434332803,0.243177502628334,0.360301221592712
"Pseudocercospora fijiensis3","2019_Thom","Pseudocercospora fijiensis",0.292367325065469,0.230272447428265,0.354500055530966
"Thielaviopsis punctulata3","2019_Thom","Thielaviopsis punctulata",0.232755329421024,0.169296101849886,0.296937447370942
"Colletotrichum fioriniae3","2019_Thom","Colletotrichum fioriniae",0.128625999488794,0.0719311900910735,0.185402793508642
