,p_values,adj_pvalue,mFC,AbsLog2FC
Dialister sp. Marseille-P5638,0.031433127,0.06309738,0.782640166,0.353578942
Alistipes indistinctus,0.025331084,0.052389288,1.27700582,0.3527651
Bacteroides fragilis,2.92E-05,0.000169564,1.276283867,0.351949244
Lachnoanaerobaculum umeaense,4.06E-07,3.83E-06,0.787053798,0.345465843
Citrobacter portucalensis,0.081235393,0.143079112,0.788900242,0.342085214
Staphylococcus aureus,3.76E-05,0.000209371,0.790778537,0.33865438
Klebsiella pneumoniae,0.017173906,0.037507811,1.263626336,0.33756991
Bifidobacterium animalis,0.002781942,0.007594703,0.792060707,0.336317086
Streptococcus sp. HSISM1,0.074475523,0.134914516,0.793375301,0.333924609
Desulfovibrio piger,0.01336647,0.030407179,1.259800715,0.333195536
Ruminococcus albus,0.000204276,0.000899472,0.795375343,0.330292256
Blautia hansenii,7.85E-07,6.92E-06,0.797242452,0.326909561
Lactobacillus plantarum,0.00021554,0.000920235,0.79971087,0.322449596
Cloacibacillus porcorum,0.010793015,0.025599616,1.245845905,0.317125636
Lactobacillus delbrueckii,0.000257672,0.001082222,0.804104984,0.314544222
Lactobacillus reuteri,0.001243881,0.003948597,0.804561198,0.313725934
Desulfovibrio desulfuricans,0.000534666,0.001946185,1.240451659,0.310865514
Parabacteroides distasonis,0.002565016,0.007073225,1.236819562,0.306635043
Clostridium sp. SY8519,0.000192006,0.000859305,0.811360293,0.301585395
Blautia sp. YL58,0.004039806,0.01060449,0.815613541,0.294042367
Enterococcus durans,0.001113621,0.003576687,0.816042604,0.293283621
Monoglobus pectinilyticus,0.002300408,0.006474344,0.816759401,0.29201694
Streptococcus vestibularis,0.108577116,0.182972547,0.817586091,0.290557441
Roseburia hominis,0.000345764,0.001329486,0.822873133,0.281258076
Campylobacter coli,0.001102106,0.003576687,0.823045498,0.280955909
Flavonifractor plautii,0.000138332,0.000662537,1.214966324,0.280916327
[Clostridium] sphenoides,2.44E-06,1.96E-05,0.823234521,0.280624614
Campylobacter jejuni,0.001469852,0.004361625,0.824131716,0.279053162
Bacillus cereus,0.000178486,0.000812113,0.824366111,0.278642897
Fusobacterium necrophorum,0.000591329,0.002105317,1.211515276,0.276812596
Porphyromonas gingivalis,0.005333211,0.013607163,1.210421158,0.275509111
Akkermansia muciniphila,0.170889552,0.272823671,1.208115993,0.272758977
Bifidobacterium dentium,0.083920741,0.146861296,0.830409473,0.268105194
Intestinimonas butyriciproducens,0.007018246,0.017740565,1.202563145,0.26611265
Eubacterium callanderi,0.000593807,0.002105317,1.2024276,0.26595003
Enterococcus faecalis,0.012240581,0.028561357,0.83299733,0.263616224
Desulfovibrio fairfieldensis,0.003838601,0.010174156,1.198572628,0.261317332
Turicibacter sanguinis,0.061952215,0.116641067,0.834373166,0.261235334
Enterococcus faecium,0.000114083,0.000566269,0.834590803,0.260859073
Bacteroides dorei,0.015437543,0.033987494,1.196451643,0.258762088
Paenibacillus polymyxa,0.00031176,0.001251625,0.838572464,0.253992638
Enterobacter asburiae,0.021563682,0.045634768,0.83925761,0.252814381
Bacteroides cellulosilyticus,0.088188678,0.153095006,1.191247305,0.25247295
Oscillibacter sp. PEA192,0.000827175,0.002787885,1.190303682,0.251329695
Megasphaera elsdenii,0.064562089,0.119901022,0.843766718,0.245083913
Bacteroides thetaiotaomicron,0.010091575,0.024166666,1.180802965,0.239768249
Bacteroides salanitronis,0.029434962,0.059968244,0.847280143,0.239089036
Enterobacter ludwigii,0.047707313,0.09171899,0.847722991,0.238335181
Alloprevotella sp. E39,0.081195848,0.143079112,0.848482885,0.237042536
Lactobacillus crispatus,0.020789101,0.044339255,0.849824447,0.234763248
Lactobacillus animalis,0.00221345,0.006294499,0.850250075,0.234040867
Lactobacillus vaginalis,0.030238001,0.061147957,0.856617736,0.223276547
Oscillibacter valericigenes,0.042860058,0.082984368,1.164159972,0.219289319
Blautia producta,0.00062796,0.002197861,0.859143389,0.219029161
Streptococcus gordonii,0.126509726,0.206809312,0.859608581,0.21824821
Klebsiella quasipneumoniae,0.104836001,0.178876426,1.162475752,0.217200623
[Clostridium] hiranonis,0.007449966,0.01832289,0.862184676,0.213931174
Megamonas funiformis,0.08865464,0.153095006,0.863210207,0.212216172
Clostridioides difficile,0.000215733,0.000920235,0.863324529,0.212025116
Enterococcus saigonensis,0.004250538,0.0110514,0.863759322,0.211298719
Clostridium perfringens,0.033754926,0.066776049,0.865136849,0.208999735
Veillonella parvula,0.198068344,0.308986617,0.866534535,0.206670848
Blautia sp. N6H1-15,0.005156892,0.013281429,0.870027815,0.200866569
Selenomonas ruminantium,0.010877493,0.025599616,0.874024827,0.194253835
Hafnia alvei,0.024816389,0.051716598,0.87422532,0.193922931
Ralstonia pickettii,0.054499062,0.103321138,0.875995164,0.19100519
Dysosmobacter welbionis,0.020172399,0.043362716,1.135111864,0.182834481
Anaerostipes rhamnosivorans,0.007354788,0.01826561,0.881387306,0.182151976
Streptococcus sanguinis,0.125388131,0.206210601,0.881584202,0.181829724
Citrobacter freundii,0.07712976,0.138529109,0.882861132,0.179741565
