"","Median","low-CI","high-CI","p-value"
"Rhodotorula toruloides",0.240175896717446,0.201189056932489,0.279264374714603,2.47341541520777e-33
"Rhodotorula sp. JG-1b",0.100912434886849,0.0654031979586334,0.136331375542596,2.45279910729771e-08
"Puccinia coronata",-0.251403009500758,-0.278987310466325,-0.223857043120277,6.80562449733019e-71
"Puccinia striiformis",-0.111760381564158,-0.1315551261246,-0.0919780970486662,1.97007223091151e-28
"Puccinia graminis",-0.327854448469846,-0.356793642781529,-0.298934377701145,2.46601478563014e-106
"Puccinia sorghi",-0.620365999011813,-0.648611376486693,-0.59216908319378,0
"Malassezia globosa",0.0370673101513295,-0.030079212914921,0.104357762242163,0.27977702206023
"Malassezia restricta",0.173527916473435,0.0955287787311535,0.252140248175929,1.40007464251857e-05
"Malassezia sympodialis",-0.210498584057854,-0.255176206161859,-0.165810736265204,3.11590054168806e-20
"Malassezia vespertilionis",-0.337591689271461,-0.383295549653021,-0.292045583032068,3.99537788976655e-48
"Tilletiaria anomala",-0.462811994405759,-0.500867299658873,-0.4246882949471,3.00839223468881e-125
"Ceraceosorus bombacis",-0.69234378181256,-0.727521449920605,-0.657007441711533,3.49339440703843e-304
"Tilletia controversa",1.81208379998933,1.68657020911428,1.93890456578398,4.39978312500387e-212
"Tilletia walkeri",-0.455073630790312,-0.523135581155973,-0.38660971157676,7.39826089328419e-39
"Tilletia indica",-0.353270649881793,-0.4127031668127,-0.293489796392647,1.16953481838725e-30
"Tilletia caries",-0.230739697672359,-0.343302873506689,-0.117722918630965,7.39421466914781e-05
"Violaceomyces palustris",-0.294996426577607,-0.330988576154309,-0.259094120901407,1.07995278852648e-57
"Testicularia cyperi",0.0488535024415098,0.00734802863050956,0.0904738296395791,0.0211049819607185
"Pseudozyma hubeiensis",-0.199133178667616,-0.238954544198888,-0.159159104169092,2.11013101307308e-22
"Kalmanozyma brasiliensis",-0.16216178886641,-0.199009886781825,-0.125437733196638,4.84966922022552e-18
