log2mFC	p_values	adj_pvalue	Group
Arthrobotrys oligospora	-0.13076197	0.05742399	0.176004806	other
Botrytis cinerea	0.112284876	0.058306932	0.176110734	other
Stemphylium lycopersici	0.14894021	0.059369088	0.177507576	other
Gymnopus luxurians	-0.119074213	0.061352833	0.181604385	other
Tolypocladium ophioglossoides	0.112699738	0.062748251	0.183895865	other
Verticillium alfalfae	0.152362542	0.0731585	0.212303098	other
Hypoxylon sp. CO27-5	-0.162893936	0.07407106	0.212864404	other
Phytophthora ramorum	-0.15771109	0.076562675	0.213797658	other
Saccharomyces eubayanus	-0.196100172	0.076224059	0.213797658	other
Fusarium verticillioides	-0.200799608	0.075961535	0.213797658	other
Phytophthora sojae	0.119732055	0.079083501	0.215390174	other
Allomyces macrogynus	0.105038758	0.079315976	0.215390174	other
Aspergillus wentii	-0.136445969	0.078697274	0.215390174	other
Rhodotorula toruloides	0.152754471	0.083152024	0.223754537	other
Mucor ambiguus	-0.112273115	0.085023014	0.226728036	other
Aspergillus calidoustus	-0.133172927	0.085971195	0.227209586	other
Aspergillus sydowii	0.174718745	0.090624748	0.229272866	other
Rosellinia necatrix	0.096083538	0.089378664	0.229272866	other
Hyaloperonospora arabidopsidis	-0.103921586	0.089935536	0.229272866	other
Cadophora sp. DSE1049	-0.105915567	0.087598494	0.229272866	other
Candida tropicalis	-0.114716683	0.088569773	0.229272866	other
Paxillus rubicundulus	0.093801252	0.092982255	0.233243624	other
Pyricularia grisea	-0.106377078	0.095388737	0.235172838	other
Enterocytozoon bieneusi	-0.125080024	0.096929345	0.235172838	other
Ceratocystis platani	-0.137147976	0.096883751	0.235172838	other
Penicillium roqueforti	-0.162768417	0.096383345	0.235172838	other
Thielavia terrestris	0.122113888	0.098628432	0.237349722	other
[Candida] glabrata	-0.123758521	0.105224918	0.251182062	other
Coniella lustricola	-0.097909015	0.112782648	0.265554373	other
Punctularia strigosozonata	-0.127153863	0.113040037	0.265554373	other
Elaphomyces granulatus	0.074360283	0.115220422	0.268545235	other
Pythium arrhenomanes	0.098492924	0.123554461	0.28350481	other
Trichoderma reesei	-0.1344752	0.12283788	0.28350481	other
Metarhizium acridum	0.104496218	0.128206745	0.291916895	other
Cenococcum geophilum	-0.085580968	0.131016535	0.296037362	other
Puccinia sorghi	-0.111469394	0.134050338	0.298458716	other
Penicillium nalgiovense	-0.126812383	0.135113067	0.298458716	other
Naumovozyma castellii	-0.130179832	0.134935495	0.298458716	other
Emmonsia crescens	-0.100700359	0.141013605	0.308179456	other
Basidiobolus meristosporus	-0.11378799	0.141595966	0.308179456	other
Kluyveromyces dobzhanskii	-0.173616299	0.149367787	0.322721641	other
Colletotrichum higginsianum	0.110375136	0.153406428	0.329045672	other
Phytophthora parasitica	0.071971166	0.160782974	0.335153241	other
Pseudomassariella vexata	-0.092163397	0.159434435	0.335153241	other
Paracoccidioides lutzii	-0.095447356	0.158763382	0.335153241	other
Chaetomium thermophilum	-0.129048067	0.160613935	0.335153241	other
Ophiocordyceps australis	0.087385271	0.162480745	0.33632378	other
Hypsizygus marmoreus	-0.081739187	0.170394377	0.347839557	other
Phlebia centrifuga	-0.107674086	0.169688851	0.347839557	other
Globisporangium ultimum	0.066527342	0.181538667	0.368050996	other
Trichosporon asahii	0.088656939	0.184070402	0.368140804	other
Spraguea lophii	-0.131148621	0.183211169	0.368140804	other
Lachancea fermentati	-0.11290668	0.187840895	0.371948681	other
Hanseniaspora uvarum	-0.159545689	0.188487507	0.371948681	other
Clohesyomyces aquaticus	-0.091020386	0.191205819	0.374814056	other
Pachysolen tannophilus	-0.110355949	0.19461489	0.378986891	other
Zymoseptoria tritici	0.093640258	0.201246557	0.384774054	other
Aspergillus fumigatus	0.062762202	0.200607956	0.384774054	other
Puccinia coronata	-0.06108476	0.201486414	0.384774054	other
Lachancea thermotolerans	-0.140210814	0.214456926	0.406918269	other
Mortierella verticillata	0.078719409	0.222041681	0.418626354	other
Ophiocordyceps sinensis	-0.061637086	0.229948596	0.421762631	other
Macrophomina phaseolina	-0.063618668	0.230036583	0.421762631	other
Aspergillus nomius	-0.088016046	0.230565011	0.421762631	other
Penicillium subrubescens	-0.089139018	0.227931485	0.421762631	other
Tilletia walkeri	-0.16089487	0.230829548	0.421762631	other
Aureobasidium subglaciale	-0.080537756	0.23250996	0.422226677	other
Epicoccum nigrum	0.060588677	0.241133185	0.435215993	other
Colletotrichum chlorophyti	-0.069812687	0.243323736	0.436508035	other
Mortierella elongata	-0.067161102	0.251568972	0.448580817	other
Hortaea werneckii	-0.080091956	0.254675164	0.451400291	other
Corynespora cassiicola	-0.074786155	0.259145028	0.456588859	other
[Candida] intermedia	-0.122800581	0.262315739	0.459440584	other
Pythium iwayamai	0.088357384	0.265707785	0.462644143	other
Penicillium decumbens	0.106317676	0.27456844	0.467759743	other
Endocarpon pusillum	-0.052650948	0.274767609	0.467759743	other
Protomyces lactucaedebilis	-0.128989317	0.274966876	0.467759743	other
Encephalitozoon romaleae	-0.298248848	0.273276245	0.467759743	other
Grosmannia clavigera	0.059670506	0.279627667	0.472970225	other
Conidiobolus coronatus	0.070408163	0.285976336	0.480960201	other
Chaetomium globosum	0.055491398	0.293826599	0.487606568	other
Encephalitozoon cuniculi	-0.024669248	0.294452419	0.487606568	other
Puccinia graminis	-0.071455282	0.294870188	0.487606568	other
Emergomyces pasteurianus	-0.080065696	0.297069799	0.48851478	other
