"","2014_ZellerG","2015_FengQ","2019_Thom","2019_Yachida","2021_JunY_2","Mean"
"Seed_1",80.34,80.96,68.98,69.46,78.67,75.682
"Seed_2",81.83,80.31,71.53,69.68,79.24,76.518
"Seed_3",81.24,80.72,69.21,69.26,79.02,75.89
"Seed_4",82.16,80.64,71.99,69.41,78.89,76.618
"Seed_5",81.62,81.13,69.91,69.54,78.85,76.21
"Seed_6",80.74,79.04,71.76,69.55,78.95,76.008
"Seed_7",81.05,81.21,71.3,69.63,79.11,76.46
"Seed_8",81.26,79.98,70.83,70.08,79.05,76.24
"Seed_9",80.98,81.21,71.76,69.42,78.58,76.39
"Seed_10",80.05,80.6,70.37,69.7,79.98,76.14
"Seed_11",81.45,80.51,69.91,69.75,78.83,76.09
"Seed_12",82.78,79.9,72.45,69.35,77.4,76.376
"Seed_13",81.38,79.94,70.14,69.43,79.06,75.99
"Seed_14",81,79.82,68.52,70.03,78.38,75.55
"Seed_15",80.34,81.5,70.83,69.47,78.09,76.046
"Seed_16",80.67,79.82,70.83,69.37,78.77,75.892
"Seed_17",80.74,82.56,74.07,69.94,79.4,77.342
"Seed_18",80.17,79.53,72.69,69.49,78.8,76.136
"Seed_19",81.5,79.29,71.06,69.05,79.3,76.04
"Seed_20",80.76,80.51,72.69,70.02,79.04,76.604
"Seed_21",81.48,80.39,74.07,69.87,79.93,77.148
"Seed_22",81.78,80.76,71.76,68.91,78.87,76.416
"Seed_23",81.55,80.88,71.76,69.63,78.71,76.506
"Seed_24",82.04,80.47,71.3,69.19,78.73,76.346
"Seed_25",80.91,79.86,73.15,69.56,78.79,76.454
"Seed_26",80.79,81.66,70.6,68.76,79.05,76.172
"Seed_27",81.78,79.17,73.61,69.67,78.76,76.598
"Seed_28",81.74,80.84,71.3,69.3,79.2,76.476
"Seed_29",80.72,80.56,71.3,69.29,79.06,76.186
"Seed_30",81.48,81.41,69.91,69.39,78.52,76.142
"Seed_31",81.64,80.68,72.92,69.35,78.93,76.704
"Seed_32",81.95,81.37,71.76,69.93,78.84,76.77
"Seed_33",81.33,80.35,68.98,69.55,79.02,75.846
"Seed_34",80.76,80.07,71.76,69.55,79.23,76.274
"Seed_35",81.74,80.68,70.6,69.61,79.09,76.344
"Seed_36",80.93,81.13,72.45,69.4,78.42,76.466
"Seed_37",81.12,82.03,71.76,69.17,78.42,76.5
"Seed_38",81.31,80.92,70.14,68.96,78.31,75.928
"Seed_39",80.15,81.66,69.44,69.44,79.09,75.956
"Seed_40",80.93,79.74,72.22,69.52,79.71,76.424
"Seed_41",80.86,79.37,74.07,69.84,78.27,76.482
"Seed_42",80.15,80.11,70.37,69.35,78.93,75.782
"Seed_43",81.5,80.92,72.22,69.39,79.08,76.622
"Seed_44",81.17,80.76,71.99,69.43,79.75,76.62
"Seed_45",81.62,82.03,71.3,69.25,78.71,76.582
"Seed_46",82.26,81.29,68.98,69.14,78.76,76.086
"Seed_47",80.86,80.92,71.53,70.02,78.95,76.456
"Seed_48",80.91,80.23,71.3,69.92,79,76.272
"Seed_49",81.48,81.37,71.3,69.87,78.78,76.56
"Seed_50",80.53,81.41,68.98,69.57,78.52,75.802
"Seed_51",82.28,80.11,68.75,69.41,79.75,76.06
"Seed_52",82.16,80.43,69.68,69.67,78.48,76.084
"Seed_53",82.02,80.88,72.92,69.74,79,76.912
"Seed_54",81.9,82.84,68.98,69.37,78.91,76.4
"Seed_55",81.55,80.8,72.92,69.71,79,76.796
"Seed_56",80.36,80.72,69.91,69.67,79.44,76.02
"Seed_57",81.59,80.35,68.75,69.94,78.8,75.886
"Seed_58",80.43,79.7,72.22,69.59,79.91,76.37
"Seed_59",80.98,80.64,72.69,68.94,79.05,76.46
"Seed_60",80.5,81,72.69,69.55,79.03,76.554
"Seed_61",81.59,80.6,69.91,69.65,79.09,76.168
"Seed_62",81.1,79.33,70.6,69.61,78.49,75.826
"Seed_63",81.76,82.19,69.91,69.74,79.81,76.682
"Seed_64",81.78,79.82,69.91,69.3,78.76,75.914
"Seed_65",81.21,81,72.45,70.25,78.38,76.658
"Seed_66",81.12,80.27,69.91,69.17,78.5,75.794
"Seed_67",81.36,80.76,71.3,69.56,79.16,76.428
"Seed_68",81.12,80.96,69.91,70.19,79.92,76.42
"Seed_69",80.6,79.08,69.44,69.51,79.47,75.62
"Seed_70",81.4,79.82,70.37,69.71,79.4,76.14
"Seed_71",81.1,79.33,72.22,69.56,80.03,76.448
"Seed_72",81.71,80.47,69.68,69.52,78.19,75.914
"Seed_73",82.09,80.6,68.75,69.58,78.95,75.994
"Seed_74",80.74,82.27,71.53,69.5,79,76.608
"Seed_75",81.76,80.47,72.69,70.03,78.51,76.692
"Seed_76",80.93,80.39,69.91,69.44,79.04,75.942
"Seed_77",82.28,81,70.83,69.64,79.17,76.584
"Seed_78",80.62,81.62,72.69,69.8,77.92,76.53
"Seed_79",81.88,80.72,72.22,70,79.27,76.818
"Seed_80",82.26,80.56,73.38,69.68,79.54,77.084
"Seed_81",80.86,80.84,73.15,70.08,78.97,76.78
"Seed_82",81.07,81.99,70.37,69.95,78.87,76.45
"Seed_83",81.07,79.58,68.52,70.12,79.26,75.71
"Seed_84",82.33,80.39,70.14,69.48,79.23,76.314
"Seed_85",81.76,80.47,69.44,69.36,78.96,75.998
"Seed_86",80.46,80.6,71.3,69.74,79.34,76.288
"Seed_87",80.88,80.72,70.37,69.39,79.06,76.084
"Seed_88",80.34,79.78,72.22,69.44,78.68,76.092
"Seed_89",82.07,80.88,71.3,70.16,78.76,76.634
"Seed_90",81.17,80.02,70.14,69.53,79.79,76.13
"Seed_91",81.26,79.58,69.44,69.46,78.47,75.642
"Seed_92",80.91,79.86,70.6,69.48,78.96,75.962
"Seed_93",80.76,81.33,73.15,69.91,79.12,76.854
"Seed_94",80.36,79.98,70.37,69.64,79.27,75.924
"Seed_95",82.28,79.9,72.22,69.84,78.82,76.612
"Seed_96",81.45,80.19,71.53,70.22,78.81,76.44
"Seed_97",81,81.62,69.68,69.35,78.95,76.12
"Seed_98",81,80.43,72.69,69.34,79.42,76.576
"Seed_99",80.81,80.84,72.22,69.7,78.89,76.492
"Seed_100",81.9,81.13,70.83,69.18,79.12,76.432
