"","2014_ZellerG","2015_FengQ","2019_Thom","2019_Yachida","2021_JunY_2","Mean"
"Seed_1",74.86,62.3,59.03,63.74,64.7,64.926
"Seed_2",74.76,60.66,54.63,62.9,65.01,63.592
"Seed_3",73.81,60.21,55.79,63.39,65.5,63.74
"Seed_4",74,61.68,58.33,62.81,65.6,64.484
"Seed_5",73.84,61.97,56.02,63.07,66.22,64.224
"Seed_6",75.47,61.93,48.61,63.3,66.08,63.078
"Seed_7",75.57,61.23,57.18,63.45,65.44,64.574
"Seed_8",74.31,61.36,53.7,62.82,66.13,63.664
"Seed_9",73.51,60.09,52.31,63.36,65.28,62.91
"Seed_10",74.19,59.76,57.18,62.79,64.69,63.722
"Seed_11",74.6,60.01,51.62,63,65.15,62.876
"Seed_12",75.71,61.07,54.86,63.58,64.81,64.006
"Seed_13",74.05,60.13,56.94,62.46,64.83,63.682
"Seed_14",74.64,61.56,51.85,62.6,63.99,62.928
"Seed_15",74.81,60.58,56.71,63.59,64.27,63.992
"Seed_16",75.36,61.44,55.32,62.92,66.18,64.244
"Seed_17",75.28,59.27,52.08,62.18,63.83,62.528
"Seed_18",73.7,62.05,54.17,63.4,66.21,63.906
"Seed_19",75.78,60.46,59.95,62.72,65.1,64.802
"Seed_20",74.43,61.11,56.02,63.53,65.63,64.144
"Seed_21",75.69,62.58,59.03,62.53,64.74,64.914
"Seed_22",74.38,61.89,54.86,63.27,65.17,63.914
"Seed_23",74.19,61.64,54.4,62.93,65.16,63.664
"Seed_24",75.74,61.72,60.42,62.58,63.97,64.886
"Seed_25",74.91,61.6,53.94,63.02,64.75,63.644
"Seed_26",75.52,62.21,52.55,63.05,65.71,63.808
"Seed_27",73.74,62.5,49.54,62.52,65.3,62.72
"Seed_28",73.81,60.74,55.56,63.31,65.17,63.718
"Seed_29",74.36,62.13,58.33,62.81,67.02,64.93
"Seed_30",75.17,59.89,57.87,62.82,64.7,64.09
"Seed_31",74.72,60.09,53.24,62.76,64.74,63.11
"Seed_32",74.19,62.17,52.55,63.13,65.41,63.49
"Seed_33",74.98,62.62,55.09,62.41,65.88,64.196
"Seed_34",74.86,61.52,51.85,63.48,64.08,63.158
"Seed_35",74.53,60.66,55.79,63.11,64.93,63.804
"Seed_36",74.34,61.97,54.17,63.24,65.46,63.836
"Seed_37",75.33,61.89,55.32,63.37,64.9,64.162
"Seed_38",75.05,62.54,53.24,63.1,65.28,63.842
"Seed_39",73.93,60.87,54.4,63.57,64.1,63.374
"Seed_40",74.98,62.3,56.94,62.85,63.83,64.18
"Seed_41",74.62,60.5,55.32,62.47,64.22,63.426
"Seed_42",75.9,61.72,57.87,63.71,63.3,64.5
"Seed_43",75.21,60.78,57.64,63.59,65.2,64.484
"Seed_44",76.02,60.99,55.32,62.48,64.26,63.814
"Seed_45",74.5,61.4,54.4,62.48,64.46,63.448
"Seed_46",73.65,60.62,55.32,63.8,65.64,63.806
"Seed_47",75,61.85,53.7,63.01,65.23,63.758
"Seed_48",75.88,59.6,51.39,63.69,64.11,62.934
"Seed_49",74.45,62.66,51.85,61.91,65.11,63.196
"Seed_50",74.6,59.27,53.01,63.48,65.6,63.192
"Seed_51",75.07,61.07,53.7,62.45,64.37,63.332
"Seed_52",74.74,61.68,54.4,63.87,65.08,63.954
"Seed_53",75.47,61.6,59.03,62.62,66.43,65.03
"Seed_54",75.17,59.68,57.18,63.04,64.27,63.868
"Seed_55",75.74,60.42,57.87,63.34,64.88,64.45
"Seed_56",75.19,61.32,49.07,62.8,65.96,62.868
"Seed_57",76.11,60.7,50.93,62.8,64.21,62.95
"Seed_58",75.28,61.97,53.7,63.13,64.79,63.774
"Seed_59",74.19,61.27,53.01,62.08,64.37,62.984
"Seed_60",74.19,63.03,51.62,62.85,64.83,63.304
"Seed_61",74.67,61.56,58.8,63.57,64.95,64.71
"Seed_62",73.93,60.17,57.18,63.05,65.46,63.958
"Seed_63",75.12,60.91,54.63,62.94,64.72,63.664
"Seed_64",75.36,59.97,55.56,63.78,65.3,63.994
"Seed_65",75.4,60.38,56.02,63.28,64.96,64.008
"Seed_66",75,61.07,57.18,63.06,64.58,64.178
"Seed_67",73.93,60.95,54.63,63.18,63.89,63.316
"Seed_68",73.81,62.62,58.1,63.36,64.25,64.428
"Seed_69",74.29,61.15,50.93,62.67,65.63,62.934
"Seed_70",74.72,61.81,56.02,63.31,63.9,63.952
"Seed_71",75.71,62.09,60.65,62.51,64.74,65.14
"Seed_72",74.45,61.27,51.85,62.67,64.46,62.94
"Seed_73",74.29,62.13,53.94,62.82,64.15,63.466
"Seed_74",76.16,60.5,57.87,62.64,65.48,64.53
"Seed_75",75.33,61.72,54.4,63.65,64.86,63.992
"Seed_76",73.58,61.52,52.08,63.05,65.22,63.09
"Seed_77",74.24,60.13,56.02,63.31,65.42,63.824
"Seed_78",73.91,60.83,56.02,62.99,63.75,63.5
"Seed_79",75.21,60.21,53.01,62.45,65.78,63.332
"Seed_80",74.72,61.48,53.94,63.26,64.12,63.504
"Seed_81",76.73,59.72,58.33,63.06,65.51,64.67
