,Aspergillus_rambellii,Aspergillus_kawachii,Trichoderma_atroviride,Rhizophagus_clarus,Baudoinia_panamericana,Fusobacterium_nucleatum,Parvimonas_micra,Gemella_morbillorum,Anaerostipes_hadrus,Dialister_pneumosintes,Brachyspira_pilosicoli,Romboutsia_ilealis,Porphyromonas_asaccharolytica,Streptococcus_salivarius
CCIS06260551ST-3-0,6.55364448285796,0.00551904988858341,0.808903643173304,2.80256821829855,0.184109149277689,5.89677660898787,26.4511289182717,2.39719637362573,0.209734489801332,1.15244741777219,1.65391546318317,10.3294627027281,8.28864914315927,1.76773970103835
CCIS11015875ST-4-0,0.225217362032816,3.09629981024667,1.34500244379276,0.0976788941553567,1.10247093023256,1.02827421700797,4.55511562546847,0.436891308915328,0.0700898001526632,26.2461982728319,0.272782168091512,0.0270433435776845,4.09316052161219,0.0109232229957292
CCIS12656533ST-4-0,13.8533805512843,0.005712166823157,1.44006400463149,0.675636830001767,0.202901114452503,1.21535295208915,42.6437712660286,1.53493693902437,0.686191969889131,2.98630325838274,0.815099664928602,7.36880338214684,1.06571576159079,2.64908675275314
CCIS14449628ST-4-0,0.0291525054466232,0.00675808286993533,0.101346801346801,0.0311229946524063,0.0449803921568628,11.4770993072448,10.5038340264017,14.4873259515109,0.114528841459162,212.784590192228,0.178085643558605,0.0906193869056876,1.02019209418842,2.23517975959037
CCIS17669415ST-4-0,5.13845148357686,0.00588797021275438,0.517493992109152,0.670440797782166,0.478494847941263,4.03697657170184,3.56517340985849,13.7638497532738,0.896986391624023,0.901664972332898,0.482555013684744,5.99656940925637,3.99604089088941,41.6496321627616
CCIS21278152ST-4-0,0.432625953211257,0.00592233700056618,1.36408954953322,0.535265860173488,0.437247082282565,29.4522453179134,56.6339301573544,1.03596174124088,0.328554339685786,37.276190085306,1.52809295111146,1.81295260703278,2.82282972236378,0.273485599177667
CCIS22416007ST-4-0,0.11648820405676,0.721957814204293,1.41737299872583,1.06743987274151,0.928623661530425,2.12408536486499,0.475918257826465,0.320522631458031,1.51180618387501,1.43225927305715,0.768566059915701,0.019754542371329,0.831704527205613,0.00756547325233834
CCIS22958137ST-20-0,2.32002293975647,2.45791174470028,0.806540982990391,0.722411366091594,0.665446324970992,2.30833382774251,1.34475373923078,4.15213963543825,0.698620824479555,18.5994489731916,0.60259677431697,0.035394802694541,9.55170292709708,0.726631327255626
CCIS24254057ST-4-0,3.26486982459999,0.00684950064109851,0.484910758767084,0.381146841900057,0.666145461043604,0.0797379780059445,0.252711532816923,0.0821308188796098,0.00292351186938422,1.33334911905168,0.0182153668413845,0.0211921012263699,3.99990781983474,0.112904978031891
CCIS33816588ST-4-0,39.3888065653209,0.0584674574897153,0.796938432945591,0.812006596593718,0.196501313435109,145.90469201451,429.202217650757,798.112588828301,0.327921026425929,183.837213462903,0.802405855185391,4.88464005180987,291.978702323578,0.0330071776549146
