"","Mean","CRC.1","CRC.2","CRC.3","CRC.4","CRC.5","CRC.6","CRC.7","CRC.8","CRC.9","CRC.10","Rank"
"Aspergillus_rambellii",100,100,100,100,100,100,100,100,100,100,100,1
"Erysiphe_pulchra",33.6437888851187,31.4862370232015,39.5408965799674,29.7304717751972,37.4167179116545,32.5471502484123,31.4862370232015,31.4862370232015,30.6558944379716,39.5408965799674,32.5471502484123,3
"Blumeria_graminis",15.9354700665576,19.9688845734766,10.7937159035258,18.4841621005289,18.0251612242297,15.0898032498774,19.9688845734766,19.9688845734766,11.1716853135809,10.7937159035258,15.0898032498774,9
"Rosellinia_necatrix",23.0263921033455,28.8653883843404,25.9508011392783,18.4450796769282,19.9952308161482,16.3125388682976,28.8653883843404,28.8653883843404,20.7007653722053,25.9508011392783,16.3125388682976,5
"Pseudocercospora_eumusae",22.1438830182683,20.4750805167307,21.2438359358312,25.1665178435176,24.4180350217749,25.7717395380561,20.4750805167307,20.4750805167307,16.3978848194232,21.2438359358312,25.7717395380561,8
"Thielaviopsis_punctulata",30.3334330882212,23.7314010455194,36.4225254861337,50.6683351439199,31.0569114319263,24.8968839912983,23.7314010455194,23.7314010455194,27.7760622149442,36.4225254861337,24.8968839912983,4
"Colletotrichum_incanum",0.289137189329609,0,0,0,0,1.06924932442983,0,0,0.75287324443643,0,1.06924932442983,14
"Cryptococcus_neoformans",22.4655065935902,23.3550863327462,27.4098863288737,18.5452938937179,28.3337758160715,14.3091164279502,23.3550863327462,23.3550863327462,24.2727317142267,27.4098863288737,14.3091164279502,6
"Moniliophthora_perniciosa",3.51124754399126,6.47666143537518,5.73113733042366,0.752657880892589,3.46755859204713,0,6.47666143537518,6.47666143537518,0,5.73113733042366,0,13
"Sphaerulina_musiva",3.70591398880699,4.41767409854975,1.42296958938936,2.97810488327533,9.09458537124937,0.435083266171048,4.41767409854975,4.41767409854975,8.0173216267751,1.42296958938936,0.435083266171048,12
"Grosmannia_clavigera",8.17507351383177,7.73392652921609,9.88318981385654,7.40586675898599,1.37989343565438,14.2145975172491,7.73392652921609,7.73392652921609,1.56762069381789,9.88318981385654,14.2145975172491,11
"Aspergillus_ochraceoroseus",34.7371601194286,32.7346342436056,39.4479672331206,46.3584837375499,43.386871195206,24.6105115172403,32.7346342436056,32.7346342436056,31.3053860299919,39.4479672331206,24.6105115172403,2
"Peniophora_sp_CONT",22.3542997559702,28.1247010596323,16.6316018268963,10.0311214970914,27.9493829613261,28.2473248867627,28.1247010596323,28.1247010596323,11.4305364950702,16.6316018268963,28.2473248867627,7
"Lentinula_edodes",8.90537169776584,7.73333121648712,11.0955555052118,7.86783243653208,13.3090523202303,8.31443737412088,7.73333121648712,7.73333121648712,5.85685281276927,11.0955555052118,8.31443737412088,10
