"Gene1","Gene2","CRC_cor","CRC_pVal","CTRL_cor","CTRL_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Bifidobacterium adolescentis","Pichia kudriavzevii",-0.0249661899468858,0.595711457964276,-0.00114857549935089,0.979054385368577,0.370561216796253,0.710964373084966,0.605333333333333,0.7355400989011,"0/0"
"Bifidobacterium angulatum","Naumovozyma dairenensis",-0.0399443783015891,0.39582650106602,-0.0162266862260686,0.710683485390195,0.369234841028599,0.711952688431168,0.606198198198198,0.7355400989011,"0/0"
"Streptococcus salivarius","Pseudocercospora musae",0.0543959388080321,0.247398794343481,0.030780354702963,0.481587081476726,-0.368022676649914,0.712856325490685,0.607279279279279,0.7355400989011,"0/0"
"Gemella morbillorum","Thielaviopsis punctulata",0.0750719134282865,0.110171435891771,0.0515283360020985,0.238544977513091,-0.367708522836564,0.713090584835185,0.607495495495496,0.7355400989011,"0/0"
"Streptococcus milleri","Hyaloscypha variabilis",-0.00335756505603011,0.943124341470571,0.0202538190080646,0.643353871927996,0.367315901497683,0.713383394169727,0.607783783783784,0.7355400989011,"0/0"
"Porphyromonas asaccharolytica","Debaryomyces hansenii",-0.0177386624475736,0.706210564838456,0.0058703636577641,0.893254326428073,0.36726593279827,0.713420662881047,0.60781981981982,0.7355400989011,"0/0"
"Ruminococcus bicirculans","Edhazardia aedis",0.0506908529158196,0.281123277335761,0.0741332074634013,0.0897170857236986,0.366086409288157,0.714300598479215,0.608432432432432,0.7355400989011,"0/0"
"Streptococcus milleri","Baudoinia panamericana",0.048606566088288,0.301403044479654,0.0252664450573078,0.563507670096357,-0.363565757619873,0.7161823007849,0.610702702702703,0.737128673453341,"0/0"
"Alistipes sp. 3BBH6","[Candida] arabinofermentans",-0.0670448298854436,0.153807854632633,-0.0902079474356896,0.0388085402219294,-0.362557863169372,0.716935191739623,0.611495495495496,0.737148868888007,"0/-"
"Lactobacillus ruminis","Phytophthora capsici",-0.0333251918563868,0.478753829522236,-0.0100449922984986,0.81838948860078,0.362307842554816,0.717121998222735,0.611675675675676,0.737148868888007,"0/0"
"Bifidobacterium catenulatum","Pichia kudriavzevii",0.0121640467805648,0.796038220149666,-0.0111268486431231,0.79922647344563,-0.362303924347804,0.717124925901929,0.611675675675676,0.737148868888007,"0/0"
"Romboutsia ilealis","Aspergillus kawachii",0.00112351515981019,0.980953863389953,-0.0220919464139504,0.613527098406087,-0.361170010870205,0.717972359060234,0.612576576576577,0.737465977792844,"0/0"
"Ruminococcus bicirculans","Lipomyces starkeyi",0.0146456975799236,0.755636174615101,0.0377777004953207,0.387675218084407,0.360079386431337,0.718787767555199,0.613405405405405,0.737695751517683,"0/0"
"Roseburia intestinalis","Albugo candida",0.146143206982746,0.0017956124488705,0.123561144016859,0.00457876391602929,-0.357784311518584,0.720504732052881,0.615351351351351,0.737722910459594,"+/+"
"Bifidobacterium angulatum","Aspergillus rambellii",-0.0202998801864388,0.666186864110032,0.00268088295890288,0.951135867412997,0.357506857253855,0.7207123935986,0.61563963963964,0.737722910459594,"0/0"
"Escherichia coli","Pichia kudriavzevii",0.0105513513022,0.822596230423037,0.0334661179536414,0.444157390631787,0.356625183766057,0.721372421652365,0.616324324324324,0.737722910459594,"0/0"
"Roseburia intestinalis","Rhizophagus irregularis",0.0841457226472161,0.0732690463949446,0.0613511791022418,0.160407012429569,-0.356469064867807,0.721489315192332,0.616504504504505,0.737722910459594,"0/0"
"Streptococcus sp. A12","Aspergillus kawachii",0.0139249342771377,0.767307357598074,-0.0089555029587157,0.837797646442036,-0.355920539661444,0.721900073302528,0.616864864864865,0.737722910459594,"0/0"
"Streptococcus equinus","Cordyceps sp. RAO-2017",-0.0313158989044707,0.505679427643739,-0.00858959022321132,0.844338776593278,0.353661403672443,0.723592650911038,0.618594594594595,0.738940951697188,"0/0"
"Streptococcus sp. I-G2","Cordyceps sp. RAO-2017",-0.0280554214828237,0.551005551147956,-0.0506984445511305,0.246201815200032,-0.352772015943827,0.724259364716837,0.619315315315315,0.739357107339965,"0/0"
"Roseburia intestinalis","Phytopythium vexans",-0.0475125969960291,0.312426453164168,-0.0250103377956743,0.56746943419386,0.3504960270551,0.725966471247504,0.621333333333333,0.739357107339965,"0/0"
"Streptococcus anginosus","Colletotrichum salicis",-0.0344908180877253,0.463498947925272,-0.0119762621065581,0.784264160832755,0.350415557322461,0.726026852588761,0.621405405405405,0.739357107339965,"0/0"
"Escherichia coli","Edhazardia aedis",0.00362339942312587,0.938629761671393,0.0261447534003937,0.550022867987917,0.350409764166279,0.72603119961237,0.621405405405405,0.739357107339965,"0/0"
"Porphyromonas asaccharolytica","Aspergillus ochraceoroseus",0.0209324150516675,0.656441228526266,-0.0015810953248455,0.971169836986555,-0.350242893716572,0.72615641835376,0.62154954954955,0.739357107339965,"0/0"
"Bifidobacterium longum","Debaryomyces hansenii",-0.0113210626659199,0.809893274838295,-0.0337899294261839,0.439759279878591,-0.349693527157053,0.726568711933055,0.621945945945946,0.739357107339965,"0/0"
"Lactobacillus ruminis","Rhizophagus clarus",0.000832163904081204,0.985892326817215,-0.0216373472077114,0.620847123446358,-0.349563442663243,0.726666350522577,0.622126126126126,0.739357107339965,"0/0"
"Clostridium beijerinckii","Paracoccidioides brasiliensis",0.0602372479248347,0.200152604403727,0.0825146203664665,0.0588430817738259,0.348311385248043,0.727606344379406,0.623063063063063,0.739357107339965,"0/0"
"Roseburia intestinalis","Paracoccidioides brasiliensis",0.074957174329056,0.110717898679791,0.0971792952970523,0.0259725241498823,0.348257332976051,0.727646933871921,0.623099099099099,0.739357107339965,"0/+"
"Streptococcus anginosus","[Candida] arabinofermentans",0.0175770767201632,0.708764437101137,-0.00469863158353649,0.914469151901964,-0.346525018483831,0.728948185502549,0.624504504504504,0.739954409614247,"0/0"
"Bifidobacterium angulatum","Aspergillus ochraceoroseus",-0.0142482063920585,0.762065989792979,0.00799732616550525,0.85494873615227,0.346044589594456,0.729309204752408,0.625009009009009,0.739954409614247,"0/0"
"[Eubacterium] eligens","Baudoinia panamericana",-0.0373869908062166,0.426789961626288,-0.0595144570292516,0.173322794457504,-0.345014550849644,0.730083431637102,0.625873873873874,0.739954409614247,"0/0"
"Romboutsia ilealis","Thielaviopsis punctulata",-0.0454071997609913,0.33437730222208,-0.0234552462505565,0.591806521003846,0.341879442217715,0.732441621202251,0.628720720720721,0.740829270257974,"0/0"
"Clostridium beijerinckii","Aspergillus kawachii",-0.010440600228676,0.824427917862869,-0.0323722259133445,0.459198730881287,-0.341314257618219,0.732867015642927,0.629189189189189,0.740829270257974,"0/0"
"Streptococcus salivarius","Leucoagaricus sp. SymC.cos",0.0167919358181447,0.721219666655064,-0.00501737548014677,0.908691461982596,-0.339266770565349,0.73440877297299,0.630846846846847,0.740829270257974,"0/0"
"Streptococcus milleri","Leucoagaricus sp. SymC.cos",0.0144317551275452,0.759094841927431,-0.00737375702126172,0.866147798001229,-0.33920013200391,0.734458969828753,0.630918918918919,0.740829270257974,"0/0"
"Streptococcus sp. I-G2","Colletotrichum salicis",-0.0312199485309422,0.506984797072432,-0.00947835002736292,0.828470598509615,0.338341749721257,0.73510566516456,0.631531531531532,0.740829270257974,"0/0"
"Bifidobacterium adolescentis","Erysiphe pulchra",-0.0213668302715595,0.649781539115794,0.000375461425158702,0.993152322217565,0.338249671437276,0.735175047047536,0.631675675675676,0.740829270257974,"0/0"
"Streptococcus sp. JS71","Cordyceps sp. RAO-2017",-0.024519123956152,0.602315341446481,-0.046167272819111,0.291029083402396,-0.337169102739806,0.735989427418006,0.632540540540541,0.740829270257974,"0/0"
"[Eubacterium] eligens","Debaryomyces hansenii",3.52409045234394e-05,0.999402530034562,-0.0216107128866889,0.621277165955316,-0.336752897668782,0.73630318334501,0.632936936936937,0.740829270257974,"0/0"
