"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Seed_66",50.28,48.33,59.17,56.67,42.96,54.35,52.59,42.31,53.33,50.28,52.87,41.3,42.22,34.81,46.48,47.04,39.07,70.74,55.65,54.54,62.96,46.3,51.2,47.96,58.33,39.81,40.74,34.44,63.98,56.02,47.59,27.59,48.98,50.28,70.28,74.17,46.3,31.02,44.26,38.06,60.09,35.09,19.35,38.8,69.26,33.33,43.61,72.41,63.98,57.69,40,30.74,53.15,53.43,42.13,48.15,50.74,41.02,49.44,44.26,53.15,55.28,69.07,47.13
"Seed_67",51.3,49.44,60.56,57.78,42.22,53.61,52.69,42.5,50.74,51.39,54.26,42.59,43.06,34.54,45.37,48.98,38.24,71.3,56.11,55.46,60.65,47.13,48.7,50.74,57.22,41.11,39.26,34.54,64.72,54.72,47.41,28.43,49.17,51.48,71.2,74.54,47.96,28.61,43.24,36.02,60.74,33.89,19.17,37.78,67.31,32.31,44.72,72.41,64.54,56.67,40.56,31.48,52.96,53.98,40.56,47.96,50,42.69,48.24,44.35,53.98,55.56,68.7,50.56
"Seed_68",52.96,48.7,61.2,55.83,43.15,53.33,55,43.98,53.98,50.83,53.98,42.59,43.15,33.15,46.76,49.07,40.93,71.39,55.65,55.83,60.83,47.59,51.2,48.33,57.41,39.81,41.76,33.06,64.17,55.28,48.61,28.33,48.98,50,69.91,74.91,45.74,28.33,45.65,38.7,59.07,35.74,19.81,39.26,69.26,33.06,45,72.13,64.91,59.35,41.3,32.87,55.83,52.5,43.06,48.89,50,40.74,48.43,43.52,56.3,57.13,68.52,47.13
"Seed_69",48.98,49.26,60.37,57.13,44.35,53.89,52.87,43.33,52.69,52.04,55.65,42.04,43.52,36.02,47.31,47.87,38.7,71.2,56.57,54.81,61.48,46.57,51.94,49.54,55.83,39.91,39.63,35.19,63.15,55.83,47.96,29.07,48.52,50.56,69.17,75.37,46.39,29.63,44.44,38.33,59.54,34.35,20.37,39.54,69.81,34.44,45.46,72.69,65,57.69,41.02,31.85,53.89,53.8,40.93,49.91,49.44,42.13,50.09,45.46,54.44,56.67,67.78,47.78
"Seed_70",50.65,49.17,60.28,57.22,43.24,56.02,53.89,42.5,53.15,52.69,52.87,42.78,40.83,34.54,46.85,49.26,39.44,71.11,56.48,56.57,61.2,46.57,51.48,50.09,57.5,40.19,39.91,35.46,64.81,56.2,47.69,28.43,49.72,52.31,71.39,73.24,46.39,30,45.09,36.67,60.56,35,19.07,39.17,66.3,34.17,43.8,70.46,64.17,58.7,41.2,32.78,54.72,53.8,41.57,48.33,50.37,40.46,48.15,43.8,52.87,56.2,68.33,46.57
"Seed_71",50.28,47.78,60,56.94,42.96,52.69,50.93,43.61,51.39,51.39,54.17,42.87,42.5,33.15,47.04,47.5,38.61,70.19,56.3,54.63,62.04,45.93,50,51.39,57.78,40.37,41.11,33.43,64.54,55.83,47.22,29.44,49.35,50.74,70.74,73.89,46.67,29.07,46.11,38.15,59.63,34.54,18.7,38.24,69.26,32.87,44.81,72.13,64.35,57.41,41.3,30.65,53.24,53.15,40.37,49.35,49.81,39.81,50.28,44.17,53.89,56.76,67.31,48.7
"Seed_72",48.33,49.07,60.56,56.02,42.87,52.69,53.06,43.61,51.76,49.44,53.15,40.56,41.3,34.72,46.67,47.69,38.8,70.37,58.15,56.3,62.13,46.76,51.3,48.98,57.78,38.15,40.93,35.46,63.8,55.83,48.43,28.89,47.78,51.76,69.91,75.09,45.56,29.17,44.81,37.59,60.46,34.81,19.07,38.89,68.43,34.54,45.56,70.09,63.7,58.24,39.17,30.46,54.63,54.07,42.69,48.52,49.07,40.93,50.83,44.26,54.26,56.67,68.24,49.07
"Seed_73",52.22,48.89,58.8,55.93,42.13,54.44,52.31,41.94,52.31,51.76,54.81,42.69,43.06,33.24,47.31,46.76,38.98,70.65,56.67,56.57,63.8,45.28,50.09,48.89,57.59,39.81,40.74,35.46,63.52,55.93,47.78,28.43,48.61,49.07,69.81,73.89,45.93,30.46,43.98,35.56,60.37,35.46,19.81,37.78,66.76,33.61,43.7,71.85,65.28,58.98,40,30.83,56.11,55.56,42.78,49.17,49.63,41.11,47.59,46.02,53.06,56.76,68.24,45.74
"Seed_74",49.07,49.26,58.7,57.5,43.52,50.83,51.67,43.43,51.02,48.7,53.33,42.78,42.22,32.78,46.85,48.98,37.5,69.54,56.3,55,61.76,46.57,49.26,49.07,58.89,41.11,39.81,34.07,63.7,57.04,46.76,28.89,48.24,51.48,69.63,75.28,45.56,29.72,45.93,38.33,59.54,35.74,19.44,38.52,69.07,32.96,42.96,71.3,64.44,57.04,39.81,31.48,54.07,53.52,40.65,49.54,49.72,41.85,48.89,45.65,52.59,57.69,66.67,48.15
"Seed_75",51.57,48.61,59.35,56.02,43.98,52.41,52.04,43.52,52.78,50.74,53.15,41.57,43.15,31.48,47.22,50.83,40,70.74,56.85,55.93,61.3,46.2,50.93,51.02,57.13,41.2,40.65,34.81,63.24,56.76,49.17,28.89,48.33,52.5,70.19,74.07,45,27.96,45.28,38.06,60.28,35,19.54,38.06,66.39,33.7,44.35,72.96,65.46,58.06,39.26,30.74,53.7,53.98,41.67,47.04,49.54,41.94,48.8,44.81,53.43,56.57,68.8,46.94
