"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Seed_59",64.71,51.52,46.97,50.62,52.94,59.27,48.04,72.55,58.47,66.76,57.49,61.23,70.86,67.47,70.86,62.57,48.31,53.39,54.9,50.71,65.51,56.24,59.36,74.06,52.32,49.2,40.46,43.49,55.44,38.95,54.72,56.95,51.87,61.5,73.08,62.03,52.41,62.83,59.09,60.25,35.92,33.96,57.31,51.25,70.59,36.1,59.54,46.97,44.65,43.23,49.91,32.44,59.54,60.07,66.22,72.01,52.5,57.58,52.05,64.71,58.02,65.06,75.4,43.4
"Seed_60",63.64,48.22,45.99,51.52,54.19,58.65,47.59,73.8,58.02,66.76,59,64.35,70.68,66.93,71.21,62.12,47.68,52.58,57.4,50.62,67.11,56.33,59.09,74.42,52.05,47.68,41.53,42.78,54.19,36.9,54.1,57.4,52.5,61.94,72.19,62.03,52.32,64.08,59.36,60.25,36.01,33.6,56.95,51.78,70.41,35.74,58.2,47.86,45.54,43.14,49.29,31.73,60.61,56.77,65.78,69.52,52.67,57.93,53.74,66.49,60.07,65.33,74.96,41.8
"Seed_61",64.08,51.16,44.39,52.5,53.03,60.25,48.22,72.46,58.56,67.29,58.38,64.26,71.12,68.36,70.05,62.03,46.26,51.6,57.22,52.94,66.31,56.6,58.56,73.98,49.73,48.66,41,44.3,54.63,37.61,53.83,57.75,51.43,62.75,74.69,60.61,53.39,65.24,60.16,60.43,36.1,34.85,57.4,52.14,68.98,36.54,61.32,47.86,44.74,44.65,48.04,32.62,60.52,59.45,67.91,70.14,51.43,57.84,52.76,64.17,58.38,63.99,74.6,43.14
"Seed_62",64.62,49.73,45.01,51.96,54.81,60.34,47.5,73.44,59.18,66.76,58.2,63.01,71.66,67.56,70.86,63.37,48.66,52.58,56.33,50.98,66.49,57.04,59.18,73.62,53.57,47.06,41.35,45.54,54.1,37.88,54.72,57.84,51.52,59.89,73.53,61.76,53.39,63.9,58.11,59.27,36.1,34.31,57.58,50.98,69.7,37.08,59.98,47.06,46.26,43.14,49.11,31.73,61.23,57.58,66.4,69.79,52.94,56.51,51.25,64.35,59.27,64.17,74.87,41.09
"Seed_63",65.42,50.53,45.37,50.09,55.97,59.98,46.88,73.44,59.54,66.13,58.29,63.19,69.34,68.18,70.94,63.81,47.33,52.23,56.95,49.82,66.49,55.53,59.09,72.28,51.96,49.64,41,42.69,55.26,34.49,53.12,57.75,52.85,59.09,72.28,60.43,53.21,65.6,60.34,59.98,36.36,35.29,56.95,50,70.5,36.36,57.84,48.66,45.1,44.21,49.64,34.22,62.21,57.4,66.4,70.94,52.58,55.61,51.43,63.73,57.13,65.33,75.31,41.44
"Seed_64",64.97,49.55,43.94,53.21,52.14,60.52,46.35,73.44,58.56,66.13,56.77,61.76,70.5,69.43,70.05,63.1,47.59,53.83,55.26,51.25,66.4,56.15,60.25,72.64,53.57,48.75,41.35,43.49,54.72,36.36,53.92,56.6,51.52,61.32,72.99,61.85,52.32,65.6,60.25,59.45,36.01,35.65,57.84,52.05,70.32,36.27,57.58,45.28,46.79,42.69,49.82,30.84,60.96,58.29,67.47,70.14,52.67,58.56,50.36,64.35,59.8,64.26,74.96,42.34
"Seed_65",63.99,51.34,44.92,51.25,56.33,61.5,44.47,73.44,59.09,67.11,58.73,61.5,71.3,65.78,70.68,62.03,47.95,52.05,57.4,50.09,65.95,55.17,59.63,74.51,51.78,48.48,40.82,43.67,53.12,37.08,52.58,57.13,49.55,61.14,72.99,62.75,51.96,64.35,59.71,58.91,37.17,35.74,56.86,50.09,69.7,36.72,58.11,49.64,45.37,42.51,49.2,32.44,60.43,58.2,65.69,72.91,51.78,57.49,53.03,63.73,57.58,64.97,76.2,42.6
"Seed_66",63.01,49.82,45.45,52.58,53.92,60.78,46.7,73.62,56.95,65.15,58.82,62.57,69.88,68,70.86,62.03,47.68,54.1,56.42,50.53,67.47,57.31,61.23,72.73,52.14,47.77,41.62,44.21,54.1,37.34,54.63,58.02,49.82,61.59,72.46,62.21,53.65,64.08,59,60.61,35.38,35.56,56.15,50.18,70.5,37.61,59.45,46.88,45.72,43.85,49.38,32.53,59,57.4,67.29,71.48,52.14,56.95,50.53,62.92,58.91,64.44,74.69,40.73
"Seed_67",63.9,51.69,45.63,52.05,50.89,59.63,45.63,72.91,59.8,66.49,58.29,62.75,69.7,67.65,70.23,61.68,48.75,52.32,55.79,51.96,66.04,57.22,57.93,73.89,51.43,48.93,40.64,47.59,54.63,36.54,53.65,57.49,52.23,61.14,74.6,61.05,52.14,64.97,60.25,62.3,35.2,35.56,57.13,49.55,69.7,36.19,59,48.93,44.83,43.4,47.68,32.71,58.73,60.7,65.86,70.32,52.5,55.44,52.5,63.81,57.49,64.71,73.8,42.69
"Seed_68",64.17,48.22,44.83,50.53,52.67,60.07,46.79,74.24,58.56,65.42,59.09,61.85,71.12,66.84,70.5,61.32,48.84,52.32,59.36,52.14,65.78,55.97,61.05,73.17,51.69,48.13,39.57,43.67,54.9,38.15,53.21,57.4,52.5,61.59,74.96,60.07,53.21,65.24,61.14,62.57,36.54,35.03,56.06,51.52,71.03,37.61,59.63,46.7,46.35,40.82,49.64,32.71,60.78,59,65.78,70.86,51.69,55.7,51.34,64.35,58.56,65.06,75.31,41.62
"Seed_69",62.83,50.36,45.72,49.91,52.5,60.25,47.15,74.51,59.18,66.22,58.91,63.37,68.72,66.22,70.14,61.5,46.26,51.87,56.95,50.45,66.22,57.31,60.34,73.26,52.41,50.09,41.98,44.92,54.63,36.63,54.81,57.13,52.32,62.66,75.22,61.68,53.65,65.69,60.16,59.98,35.83,36.1,57.04,52.85,71.03,36.1,57.93,46.26,44.92,42.51,48.66,31.46,59.54,58.65,66.31,71.3,51.25,56.42,52.14,64.71,59,65.6,73.44,42.42
"Seed_70",64.62,48.84,45.81,50.8,54.72,59.71,46.79,73.44,57.84,65.33,58.47,63.01,71.84,67.47,70.14,60.61,47.5,51.96,57.93,51.78,65.24,56.15,59.71,73.26,52.94,46.08,41.8,44.39,55.35,36.81,53.74,58.47,53.03,61.14,73.17,60.78,53.39,64.97,59.98,62.12,34.94,34.94,58.73,52.76,69.25,36.72,59,48.22,45.01,44.3,49.11,32.62,61.94,59.36,69.7,71.12,52.5,56.68,52.85,64.35,58.29,65.6,75.49,42.25
"Seed_71",63.99,49.38,46.79,50.8,53.57,60.07,46.7,73.44,55.7,67.02,58.82,62.03,71.12,67.02,70.14,63.81,47.59,51.52,54.55,49.82,65.06,55.97,59.8,73.08,51.69,46.43,40.55,41.8,55.35,38.24,52.32,56.42,51.52,62.03,72.46,61.41,53.03,65.51,59.45,59.09,35.56,35.47,57.49,51.6,69.16,36.9,58.11,50,44.12,43.05,48.84,32.53,59.27,56.77,66.04,70.41,51.52,56.33,51.69,63.81,60.43,65.42,74.42,40.37
"Seed_72",63.46,50.27,44.92,50.8,55.17,59.71,46.35,73.89,58.82,66.13,59.8,62.92,69.07,66.22,70.77,62.57,49.11,51.16,56.86,51.25,66.49,54.63,58.2,73.89,51.34,46.79,40.91,45.54,54.9,37.34,51.96,58.47,50.8,61.41,73.35,61.68,52.76,65.51,58.82,62.57,37.08,36.1,56.06,50.09,69.61,35.65,60.16,47.59,43.94,43.58,49.82,32.8,59.98,60.52,65.51,71.66,52.32,58.65,50.36,63.28,58.91,64.44,75.67,42.78
"Seed_73",64.35,50.98,46.88,52.05,55.44,60.34,46.88,73.44,59.54,67.47,58.2,61.85,70.23,67.91,71.48,63.64,45.99,49.82,55.88,50.53,65.33,56.51,57.93,71.39,52.23,48.4,41.62,44.21,54.99,38.41,53.39,58.82,51.07,61.32,74.24,60.07,53.3,64.17,59.18,58.73,36.9,34.67,57.22,50.62,69.7,37.61,59.36,47.33,46.26,43.94,48.4,31.82,60.96,59.36,65.51,72.01,50.8,57.49,50.98,64.08,58.38,64.26,75.76,43.67
"Seed_74",64.8,46.97,45.99,53.03,53.48,61.94,48.4,73.53,59.71,66.93,57.66,62.92,70.14,66.13,70.5,65.06,48.66,54.37,55.88,51.16,65.86,55.61,59.18,73.98,51.34,49.55,41.62,42.6,55.26,37.52,52.85,57.93,50.18,62.3,71.75,61.41,55.26,66.22,59.45,61.23,35.2,36.27,57.22,50.8,68.45,36.81,59.36,47.5,46.26,42.34,49.02,32.98,59.36,57.93,65.86,70.32,51.16,56.51,52.5,67.29,58.65,64.35,74.15,41.71
"Seed_75",66.04,49.11,44.03,51.6,54.28,59.98,46.88,73.08,57.4,66.84,57.93,64.35,71.93,68.98,71.12,59.63,47.5,52.58,57.75,50.71,64.88,56.68,56.42,74.78,52.41,49.11,41.09,44.39,53.92,38.32,52.23,56.51,50.98,61.32,74.78,61.32,52.94,64.26,60.96,61.32,37.97,35.74,55.7,50.53,71.03,37.17,59.8,48.66,44.65,43.05,49.02,31.02,60.61,58.47,67.74,68.63,50.09,57.04,53.39,60.7,58.82,63.46,73.08,42.6
