"","Cohort","Feature","Seed","AUC","MeanAUC"
"400","2021_JunY_1","Paracoccidioides_brasiliensis","21","65.73",55.18
"401","2021_JunY_1","Albugo_candida","66","57.83",52.25
"402","2021_JunY_1","Lipomyces_starkeyi","47","49.87",56.03
"403","2021_JunY_1","Naumovozyma_dairenensis","62","55.97",55.58
"404","2021_JunY_1","Phytopythium_vexans","7","43.48",50.79
"405","2021_JunY_1","Aspergillus_ochraceoroseus","36","48.31",57.94
"406","2021_JunY_1","Colletotrichum_fioriniae","1","48.88",51.35
"407","2021_JunY_1","Coniochaeta_ligniaria","42","48.33",54.74
"408","2021_JunY_1","Leucoagaricus_sp_SymC_cos","29","60.49",59.46
"409","2021_JunY_1","Colletotrichum_salicis","3","54.17",55.82
"410","2021_JunY_1","Candida_arabinofermentans","44","59.08",50.65
"411","2021_JunY_1","Baudoinia_panamericana","39","55.09",47.96
"412","2021_JunY_1","Hyaloscypha_variabilis","44","42.63",45.91
"413","2021_JunY_1","Schizosaccharomyces_pombe","33","61.52",56.41
"414","2021_JunY_1","Tuber_magnatum","80","50.88",52.33
"415","2021_JunY_1","Thielaviopsis_punctulata","41","69.39",54.19
"416","2021_JunY_1","Edhazardia_aedis","86","45.35",50
"417","2021_JunY_1","Choanephora_cucurbitarum","62","65.56",56.46
"418","2021_JunY_1","Fusobacterium_nucleatum","17","67.24",65.02
"419","2021_JunY_1","Parvimonas_micra","38","69.04",67.79
"420","2021_JunY_1","Gemella_morbillorum","56","65.42",63.97
"421","2021_JunY_1","Anaerostipes_hadrus","86","52.79",56.05
"422","2021_JunY_1","Pseudobutyrivibrio_xylanivorans","94","63.16",56.47
"423","2021_JunY_1","Butyrivibrio_proteoclasticus","25","65.45",56.74
"424","2021_JunY_1","Roseburia_intestinalis","29","51.38",53.49
"425","2021_JunY_1","Dialister_pneumosintes","24","62.26",55.75
"426","2021_JunY_1","Lactococcus_garvieae","63","70.73",52.56
"427","2021_JunY_1","Brachyspira_pilosicoli","85","49.54",52.65
"428","2021_JunY_1","Romboutsia_ilealis","46","70.1",54.69
"429","2021_JunY_1","Porphyromonas_asaccharolytica","41","59.52",62.37
"430","2021_JunY_1","Eubacterium_eligens","48","53.29",50.38
"431","2021_JunY_1","Clostridium_beijerinckii","72","58.78",55.66
"432","2021_JunY_1","Fusobacterium_periodonticum","70","57.31",57.76
"433","2021_JunY_1","Streptococcus_anginosus","29","57.94",52.87
"434","2021_JunY_1","Bifidobacterium_catenulatum","5","62.62",55.09
"435","2021_JunY_1","Lactobacillus_ruminis","4","53.18",54.44
"436","2021_JunY_1","Bifidobacterium_angulatum","64","47.06",48.94
"437","2021_JunY_1","Streptococcus_salivarius","7","59.7",55.08
"438","2021_JunY_1","Bifidobacterium_pseudocatenulatum","89","46.95",53.51
"439","2021_JunY_1","Streptococcus_equinus","100","60.88",55.23
"440","2021_JunY_1","Streptococcus_milleri","43","36.46",54.01
"441","2021_JunY_1","Bifidobacterium_bifidum","66","58.53",55.41
"442","2021_JunY_1","Prevotella_intermedia","23","53.8",52.53
"443","2021_JunY_1","Streptococcus_thermophilus","98","56.01",53.08
"444","2021_JunY_1","Bifidobacterium_adolescentis","38","52.35",55.16
"445","2021_JunY_1","Adlercreutzia_equolifaciens","13","51.95",52.57
"446","2021_JunY_1","Ruminococcus_bicirculans","5","65.47",57.71
"447","2021_JunY_1","Bifidobacterium_longum","54","59.68",59.98
"448","2021_JunY_1","Escherichia_coli","39","52.46",51.42
"449","2021_JunY_2","Aspergillus_rambellii","49","60.71",62.08
"450","2021_JunY_2","Rhizophagus_irregularis","39","50.46",53.78
"451","2021_JunY_2","Moniliophthora_perniciosa","84","49.66",56.13
"452","2021_JunY_2","Erysiphe_pulchra","1","51.8",54.07
"453","2021_JunY_2","Sphaerulina_musiva","33","48.65",51.14
"454","2021_JunY_2","Phytophthora_capsici","40","51.58",53.04
"455","2021_JunY_2","Trichophyton_mentagrophytes","42","55.46",54.04
"456","2021_JunY_2","Aspergillus_kawachii","34","61.23",60.06
"457","2021_JunY_2","Pneumocystis_murina","87","52.64",54.05
"458","2021_JunY_2","Debaryomyces_hansenii","2","56.79",56.05
"459","2021_JunY_2","Trichoderma_atroviride","59","53.46",55.86
"460","2021_JunY_2","Pseudocercospora_musae","39","52.15",54.09
"461","2021_JunY_2","Cordyceps_sp_RAO_2017","89","55.06",55.91
"462","2021_JunY_2","Rhizophagus_clarus","24","56.6",54.25
"463","2021_JunY_2","Pichia_kudriavzevii","45","56.76",54.93
"464","2021_JunY_2","Paracoccidioides_brasiliensis","58","55.59",55.18
"465","2021_JunY_2","Albugo_candida","3","54.66",52.25
"466","2021_JunY_2","Lipomyces_starkeyi","95","55.86",56.03
"467","2021_JunY_2","Naumovozyma_dairenensis","11","54.31",55.58
"468","2021_JunY_2","Phytopythium_vexans","77","51.76",50.79
"469","2021_JunY_2","Aspergillus_ochraceoroseus","81","63.02",57.94
"470","2021_JunY_2","Colletotrichum_fioriniae","20","44.26",51.35
"471","2021_JunY_2","Coniochaeta_ligniaria","4","58.38",54.74
"472","2021_JunY_2","Leucoagaricus_sp_SymC_cos","45","57.83",59.46
"473","2021_JunY_2","Colletotrichum_salicis","63","54.4",55.82
"474","2021_JunY_2","Candida_arabinofermentans","38","51.22",50.65
"475","2021_JunY_2","Baudoinia_panamericana","7","42.97",47.96
"476","2021_JunY_2","Hyaloscypha_variabilis","30","48.46",45.91
"477","2021_JunY_2","Schizosaccharomyces_pombe","99","56.92",56.41
"478","2021_JunY_2","Tuber_magnatum","62","48.68",52.33
"479","2021_JunY_2","Thielaviopsis_punctulata","72","57.37",54.19
"480","2021_JunY_2","Edhazardia_aedis","35","50.81",50
"481","2021_JunY_2","Choanephora_cucurbitarum","68","53.28",56.46
"482","2021_JunY_2","Fusobacterium_nucleatum","59","68.97",65.02
"483","2021_JunY_2","Parvimonas_micra","59","63.77",67.79
"484","2021_JunY_2","Gemella_morbillorum","75","61.35",63.97
"485","2021_JunY_2","Anaerostipes_hadrus","7","63.53",56.05
"486","2021_JunY_2","Pseudobutyrivibrio_xylanivorans","93","62.51",56.47
"487","2021_JunY_2","Butyrivibrio_proteoclasticus","40","64.54",56.74
"488","2021_JunY_2","Roseburia_intestinalis","2","55.43",53.49
"489","2021_JunY_2","Dialister_pneumosintes","41","59.32",55.75
"490","2021_JunY_2","Lactococcus_garvieae","76","48.08",52.56
"491","2021_JunY_2","Brachyspira_pilosicoli","25","52.71",52.65
"492","2021_JunY_2","Romboutsia_ilealis","85","57.55",54.69
"493","2021_JunY_2","Porphyromonas_asaccharolytica","4","55.24",62.37
"494","2021_JunY_2","Eubacterium_eligens","22","52.87",50.38
"495","2021_JunY_2","Clostridium_beijerinckii","83","55.73",55.66
"496","2021_JunY_2","Fusobacterium_periodonticum","74","55.67",57.76
"497","2021_JunY_2","Streptococcus_anginosus","50","56.2",52.87
"498","2021_JunY_2","Bifidobacterium_catenulatum","17","54.56",55.09
"499","2021_JunY_2","Lactobacillus_ruminis","60","55.2",54.44
"500","2021_JunY_2","Bifidobacterium_angulatum","56","57.64",48.94
"501","2021_JunY_2","Streptococcus_salivarius","43","60.16",55.08
"502","2021_JunY_2","Bifidobacterium_pseudocatenulatum","27","53.05",53.51
"503","2021_JunY_2","Streptococcus_equinus","92","52.7",55.23
"504","2021_JunY_2","Streptococcus_milleri","29","50.27",54.01
"505","2021_JunY_2","Bifidobacterium_bifidum","49","57.98",55.41
"506","2021_JunY_2","Prevotella_intermedia","44","50.73",52.53
"507","2021_JunY_2","Streptococcus_thermophilus","46","48.42",53.08
"508","2021_JunY_2","Bifidobacterium_adolescentis","69","57.27",55.16
"509","2021_JunY_2","Adlercreutzia_equolifaciens","86","52.71",52.57
"510","2021_JunY_2","Ruminococcus_bicirculans","19","54.71",57.71
"511","2021_JunY_2","Bifidobacterium_longum","95","51.97",59.98
"512","2021_JunY_2","Escherichia_coli","3","51.92",51.42
