"","all-Median","all-low-CI","all-high-CI","all-p-value"
"Coccidioides posadasii",-0.477780214723967,-0.543209461459945,-0.413117924689335,4.70283938118399e-48
"Paracoccidioides brasiliensis",-0.0599184573637814,-0.0928680100839647,-0.0268828718035973,0.000378983453374512
"Paracoccidioides lutzii",-0.61855079715657,-0.64936791913269,-0.587820296589367,0
"Emergomyces pasteurianus",0.0228240651116047,-0.00486710305277648,0.0506720003124609,0.10617103600494
"Polytolypa hystricis",-0.434818034173086,-0.463780601651877,-0.405965865504107,1.27485497622679e-179
"Helicocarpus griseus",-0.322329976396006,-0.357958192522911,-0.286631795819063,9.48016030650914e-69
"Histoplasma capsulatum",-0.165055114268764,-0.187205919459708,-0.142902210491261,1.70317740573948e-47
"Emmonsia sp. CAC-2015a",-0.387776650387142,-0.414227181419576,-0.361287236420266,1.42318226635016e-172
"Emmonsia crescens",-0.102619863127003,-0.12224636024632,-0.0829895454553106,1.51991521631673e-24
"Blastomyces parvus",0.462310530943467,0.430373360682376,0.494458447485481,3.90039995687553e-169
"Blastomyces percursus",-0.14738091239515,-0.17623775661975,-0.118667943340079,8.07212169636034e-24
"Blastomyces gilchristii",-0.332114350789634,-0.362642880804622,-0.301480530589009,3.31822849645841e-98
"Blastomyces dermatitidis",-0.328533651520676,-0.352577517970402,-0.304423473724096,2.25806169686059e-150
"Blastomyces silverae",-0.535692900518166,-0.565549501642812,-0.505842503831565,1.52179160438035e-248
"Byssochlamys spectabilis",-0.120975030756842,-0.146807412807013,-0.0950126331528694,7.46772312116533e-20
"Elaphomyces granulatus",0.00740873163765527,-0.0157254126174317,0.0305124518879039,0.53014510476762
"Rasamsonia emersonii",0.181031388445992,0.155984241435046,0.205845597241601,1.15672763144154e-44
"Talaromyces marneffei",-0.481843089918207,-0.541199043858463,-0.423654518634694,8.23313656310031e-55
"Talaromyces cellulolyticus",0.115716601511028,0.0529644701811709,0.178098198635035,0.00030819081888788
"Talaromyces stipitatus",-0.0521178075299566,-0.0812457273716537,-0.0229244385417918,0.000448388274405592
"Talaromyces islandicus",-0.15190116376072,-0.188701875005246,-0.11479592358678,1.08515954986451e-15
"Talaromyces rugulosus",-0.108241532137453,-0.13725139448511,-0.079315012627929,2.53034995026791e-13
"Penicilliopsis zonata",-0.130312869546579,-0.159793608484415,-0.100923528461211,2.92048886422114e-18
"Penicillium chrysogenum",-0.0207437465306417,-0.0253265789264599,-0.0161398105951095,1.05454415123944e-18
"Penicillium rubens",0.0291271445221904,0.0190564753645622,0.0391611208857279,1.86292673639007e-08
"Penicillium flavigenum",-0.138386898943918,-0.182285763533917,-0.0944783959244325,7.79895240185795e-10
"Penicillium solitum",-0.633040054541763,-0.686736151534782,-0.579614501312576,1.05235578859797e-117
"Penicillium digitatum",0.0978044587495916,0.0858229661546311,0.109891657389014,1.84223371080458e-57
"Penicillium roqueforti",-0.227641050696058,-0.288631538547569,-0.16679916630248,3.43258861015402e-13
"Penicillium nordicum",-0.513891892833596,-0.551932956885404,-0.476033682602925,1.74475961131564e-158
"Penicillium nalgiovense",-0.634613635387583,-0.678483751505312,-0.590835668824329,7.32681316845038e-164
"Penicillium sp. 'occitanis'",0.177792019891132,0.123904693798166,0.231574218792414,7.96541562697882e-11
"Penicillium griseofulvum",-0.12460738365464,-0.163045378367201,-0.0861862035976474,1.87697008085555e-10
"Penicillium antarcticum",-0.485251628636102,-0.520990152360973,-0.449600259922629,2.17652353619723e-156
"Penicillium brasilianum",-0.0494433394070247,-0.0766460773404252,-0.0223707745796414,0.000349226424457141
"Penicillium vulpinum",0.105143329964692,0.07079393414301,0.139506591447464,1.70916665862032e-09
"Penicillium freii",-0.317794738921442,-0.363541413514639,-0.272035083547427,9.19614905148415e-43
"Penicillium camemberti",0.282457346615447,0.207191701167779,0.358101700641678,1.65206034532608e-13
"Penicillium polonicum",-0.61851034357942,-0.661313095417113,-0.575687858948968,1.7007504149384e-164
"Penicillium decumbens",0.631815227009551,0.593631776249916,0.67003006707243,4.83356150027329e-220
"Penicillium italicum",-0.312654741582817,-0.349465033137054,-0.27604481955007,2.69417470834552e-62
"Penicillium coprophilum",-0.283379393696488,-0.320131874786954,-0.246619790241318,1.15532266219444e-50
"Penicillium oxalicum",-0.214191825937324,-0.247694091162932,-0.180790652172588,1.20942864929658e-35
"Penicillium steckii",-0.245119615954213,-0.274683255051275,-0.215540185994315,1.58431686839546e-57
"Penicillium subrubescens",-0.262273226546689,-0.290961630183782,-0.233596014696508,9.58107406501065e-70
"Aspergillus violaceofuscus",-0.551029732999924,-0.638059261727375,-0.464443129405872,3.16678300095705e-41
"Aspergillus parasiticus",-0.238867360258215,-0.287035148484954,-0.191012031219507,3.19481272399117e-22
"Aspergillus flavus",-0.482310488926795,-0.574768157539278,-0.396862921200347,1.61852192795466e-35
"Aspergillus ochraceoroseus",1.01087702608771,0.949918430788846,1.07224678796976,1.19183319993047e-211
"Aspergillus tubingensis",0.273449911966433,0.213023817026735,0.334452991300502,3.49983938410469e-19
"Aspergillus kawachii",-0.348492165576219,-0.457695312354427,-0.245831213986314,5.09019671540766e-19
"Aspergillus arachidicola",0.398006502485755,0.341659030647042,0.454447081931538,3.88868250947028e-44
