"","2014_ZellerG-Median","2014_ZellerG-low-CI","2014_ZellerG-high-CI","2014_ZellerG-p-value","2015_FengQ-Median","2015_FengQ-low-CI","2015_FengQ-high-CI","2015_FengQ-p-value"
"Batrachochytrium salamandrivorans",-0.407022788665874,-0.452606983408231,-0.361801514866634,3.14988880585122e-68,-0.371859634777469,-0.450270139329207,-0.292972663641696,4.70433982989156e-20
"Batrachochytrium dendrobatidis",-0.654087434486075,-0.768446528581783,-0.544103013721877,4.29389423478538e-33,0.226590567074136,0.0752761493726115,0.426361810526778,0.0028505860524841
"Rhizoclosmatium globosum",-0.353113497931502,-0.394625965239068,-0.311959565567302,4.22715568954601e-60,-0.315347910747607,-0.372559373594257,-0.258144758299521,4.13603559035317e-26
"Anaeromyces robustus",-0.697982403704648,-0.74663082832572,-0.649374392708907,7.72237877525831e-172,-0.121630898072343,-0.175125288381193,-0.0677003989650035,1.11626159894927e-05
"Piromyces sp. E2",-0.688897460978883,-0.746237559197933,-0.632200827046886,4.77216593442265e-128,0.0346825126316649,-0.0227717468873793,0.0931762803488245,0.238157389661937
"Piromyces finnis",-0.565576184552211,-0.61864043673164,-0.513095054745669,3.45846107486509e-98,0.205731020900954,0.144886003493342,0.266420795637091,3.95317109035268e-11
"Neocallimastix californiae",-0.663145948925862,-0.713126197896297,-0.614089588228374,3.08980177310473e-142,0.0631107066027763,-0.00154999596176695,0.127263468186583,0.0558031902546406
"Mortierella elongata",-0.285221095701558,-0.325602491582747,-0.245291449875273,3.61660319669197e-41,-0.0801071744140184,-0.134361416403652,-0.0252721962265603,0.00417495687162269
"Mortierella verticillata",0.0781220504167654,0.0373712283442394,0.119105516345859,0.000172972773797915,-0.0534335391905343,-0.114699496137602,0.00808411619565437,0.0876588695357244
"Rhizophagus irregularis",-0.728144262563417,-0.772714936270286,-0.684187365321531,4.79090120421283e-229,0.0538886200814213,0.000664494759032964,0.106703909018469,0.0470475696046655
"Rhizophagus clarus",-0.651774666148773,-0.696107653763258,-0.607882238584134,1.54403893476885e-179,-0.305831638448879,-0.356171301709634,-0.255600736733824,6.12192991270092e-31
"Bifiguratus adelaidae",-0.196965628754571,-0.261750671234458,-0.132861807428826,2.15549187360808e-09,-0.51638374406107,-0.618287356620986,-0.4171315070755,2.99706158867942e-24
"Syncephalastrum racemosum",-0.263346291744977,-0.308608701778583,-0.217843233425438,1.84282413417773e-28,0.453793875632042,0.383863201638177,0.523973570129091,3.60590640524614e-34
"Lichtheimia corymbifera",-0.4051703550341,-0.454314788198068,-0.356466464644666,2.66793646719704e-57,0.14741246892047,0.0852085999364282,0.209917788350389,3.62988337355105e-06
"Lichtheimia ramosa",-0.3455607919621,-0.395134759770544,-0.296037150031931,2.60204161950174e-41,0.463045641544973,0.385234597763436,0.540336044452825,4.44872246706564e-29
"Phycomyces blakesleeanus",-0.330873548740372,-0.370422988621084,-0.291466836514004,1.88973181098422e-57,-0.204287991860533,-0.250408871674947,-0.157399103256051,5.5346957880946e-17
"Hesseltinella vesiculosa",0.249256256912959,0.194797754071995,0.30330717707876,9.38161323925683e-19,-0.0618875663238561,-0.144417152501684,0.0197072842988169,0.136362040066101
"Absidia glauca",-0.268957341991666,-0.312257177326456,-0.225911507840372,3.82415537101482e-33,0.124295683993474,0.0545739960838662,0.194367468345715,0.000439119431794057
"Absidia repens",-0.222166505328413,-0.264435463257035,-0.179980042607881,6.48052488810601e-25,0.284359766990098,0.226670751553376,0.342733326952789,2.91185096906885e-22
"Choanephora cucurbitarum",-0.702473846701904,-0.752214056662417,-0.652884496519528,1.01050003021822e-145,0.160060113005691,0.0958234804461388,0.224194658556907,9.10600070153235e-07
"Mucor ambiguus",-0.356717208293455,-0.40787717035721,-0.305377971176847,2.12257374286577e-40,0.317166837963521,0.240007180791657,0.393716961461622,2.47093976852936e-15
"Mucor circinelloides",-0.3204746724595,-0.354671128545593,-0.286214408009613,1.98431370956818e-72,0.0790866038214908,0.0265652768975128,0.131492924202939,0.00321457139805039
"Rhizopus microsporus",-0.454754887039562,-0.650838449590046,-0.300546187199541,1.85491469557573e-33,0.0472678899398779,0.00697896290289657,0.091609871771725,0.0205176663436182
"Rhizopus delemar",-0.66447836633709,-0.713902885585895,-0.615588492168517,3.389231296274e-142,0.274072549573712,0.210286595591561,0.337269967662291,3.06206676546201e-16
"Trachipleistophora hominis",-0.340633931279482,-0.422783625463026,-0.260570520111506,2.20603650329237e-17,0.178791678652011,0.0338071536735145,0.32578299732428,0.0156960402334847
"Vavraia culicis",-0.525690962553802,-0.619410865604975,-0.434879584179703,2.66410530834388e-31,0.374183867824606,0.201032937174841,0.55117795350632,1.8371723412888e-05
"Anncaliia algerae",-0.680860144576556,-0.738880653305304,-0.623509663796365,3.64190672441614e-116,-0.111197519765513,-0.179641197816741,-0.0421346117446772,0.00147040896964635
"Amphiamblys sp. WSBS2006",0.310498397805749,0.208753606518178,0.412270721205421,2.83764810953437e-09,-0.0589013662225348,-0.238221388235774,0.119454125809172,0.5138623731612
"Ordospora colligata",-0.166700213831922,-0.281942457316903,-0.0645666754483515,0.0011134642649466,-0.0822162855099463,-0.301717564143204,0.0950962796307221,0.38368741836961
"Pseudoloma neurophilia",-0.215158666044475,-0.286436994194319,-0.143992482374744,3.23073618340093e-09,-0.510259983367056,-0.627165028695005,-0.393977008502357,2.57446020185831e-17
"Nematocida parisii",-0.00317309079479893,-0.0113141853192732,0.00502945576254744,0.449128459201513,-0.0609101593735557,-0.0755826382766618,-0.0463990928810693,6.46624163495587e-17
"Nematocida displodere",-0.134967513631725,-0.221187676340576,-0.0638046096160979,0.000105804167825229,-0.800092778513204,-1.04002523315665,-0.577483300887889,5.91005739483168e-18
"Nematocida sp. 1",-0.454540835801548,-0.588864639606454,-0.325608714018194,6.34060426061495e-13,-0.207028773514662,-0.335414146278438,-0.0793714636295395,0.001515364476352
"Nematocida sp. ERTm5",-1.67581201785689,-1.83121994440068,-1.52417931212829,9.21287253533856e-130,-0.347031880366554,-0.554975411966577,-0.157967462271835,0.000234897406784606
"Edhazardia aedis",-0.815071895123647,-0.867119953667635,-0.7632296699963,4.62264073689373e-189,0.0315589993395665,-0.0196537418253194,0.0825368179050596,0.230870888420149
"Spraguea lophii",-0.854644794643162,-0.943734862653466,-0.76616264926342,6.69010812023921e-76,-0.0847700598144637,-0.198953076402101,0.0284136111871755,0.141036526261031
"Encephalitozoon intestinalis",0.1051034022283,0.0550274048121998,0.162501329007916,2.8691893649573e-05,-0.0377298519593573,-0.0718731862438577,-0.00322804693097202,0.0322010015533563
"Encephalitozoon cuniculi",-0.0705930698056846,-0.0874347283452611,-0.0547482248395003,2.25922447425819e-20,-0.0658756872651028,-0.0905771587635468,-0.0422289350769182,4.24438381939598e-08
"Encephalitozoon hellem",-1.43135212863168,-1.74666897940216,-1.18127534648307,1.02580655027844e-77,-2.06635092234637,-2.24307267199203,-1.85313865429692,1.53641769222599e-59
