"","p-value","Z"
"2014_ZellerG",0.781270336535693,0.277663949942957
"2015_FengQ",0.81444700651885,0.234693018917816
"2019_Thom",0.669983256119873,-0.426170987976057
"2019_Yachida",0.209111806365386,-1.25601148423742
"2021_JunY_2",0.983299218644699,0.0209328540179387
