"","2014_ZellerG","2015_FengQ","2019_Thom","2019_Yachida","2021_JunY_2","Mean"
"Seed_1",80.74,83.91,68.52,68.41,79.24,76.164
"Seed_2",80.79,83.5,67.82,68.67,79.26,76.008
"Seed_3",80.31,83.91,66.2,68.51,79.29,75.644
"Seed_4",80.72,84.4,67.13,68.53,79.01,75.958
"Seed_5",80.91,83.91,68.52,68.5,78.45,76.058
"Seed_6",81.31,84.48,68.06,68.1,79.3,76.25
"Seed_7",80.69,85.66,65.74,68.48,79.58,76.03
"Seed_8",81.33,84.35,68.06,68.69,78.9,76.266
"Seed_9",80.67,83.91,67.36,68.66,79.08,75.936
"Seed_10",81.14,84.72,68.52,68.78,78.92,76.416
"Seed_11",80.88,84.03,67.59,68.35,79.26,76.022
"Seed_12",80.24,83.37,65.05,68.52,79.06,75.248
"Seed_13",81.21,84.56,68.29,68.63,79.47,76.432
"Seed_14",80.6,84.44,66.67,68.38,79.25,75.868
"Seed_15",81.29,84.64,68.52,68.26,79.17,76.376
"Seed_16",80.65,84.35,67.59,68.03,79.04,75.932
"Seed_17",80.67,84.15,67.13,68.73,78.8,75.896
"Seed_18",80.65,84.11,66.2,68.15,79.14,75.65
"Seed_19",80.65,83.74,67.13,68.31,78.97,75.76
"Seed_20",81.17,84.4,67.82,68.39,79.19,76.194
"Seed_21",80.81,84.72,68.52,69.2,79.42,76.534
"Seed_22",80.53,85.25,67.13,68.89,79.25,76.21
"Seed_23",81.4,83.66,66.67,68.84,79.5,76.014
"Seed_24",80.67,83.17,66.2,68.27,79.26,75.514
"Seed_25",81.05,84.03,65.28,68.44,79.31,75.622
"Seed_26",81,83.62,65.74,68.39,79.14,75.578
"Seed_27",80.67,85.09,67.13,68.32,78.84,76.01
"Seed_28",81.02,84.07,67.13,68.98,78.96,76.032
"Seed_29",81.45,85.21,68.06,68.64,79.07,76.486
"Seed_30",80.53,84.23,65.28,68.57,78.89,75.5
"Seed_31",80.69,83.66,66.2,68.13,79.11,75.558
"Seed_32",81.62,84.19,66.2,68.52,78.88,75.882
"Seed_33",80.19,84.56,66.67,68.54,79.1,75.812
"Seed_34",81.21,84.03,68.52,68.74,78.73,76.246
"Seed_35",80.91,84.44,68.06,68.39,79.25,76.21
"Seed_36",81.05,83.42,67.59,68.31,79.22,75.918
"Seed_37",81.33,85.25,66.2,68,78.86,75.928
"Seed_38",80.79,84.31,68.52,68.37,78.7,76.138
"Seed_39",80.76,84.97,65.74,68.72,78.83,75.804
"Seed_40",80.74,83.17,65.74,68.41,78.93,75.398
"Seed_41",80.74,83.66,66.44,68.47,79.29,75.72
"Seed_42",80.5,84.68,66.2,68.93,79.1,75.882
"Seed_43",80.62,84.35,69.44,68.04,79.13,76.316
"Seed_44",80.65,84.03,67.13,68.55,78.87,75.846
"Seed_45",80.81,84.19,68.98,68.7,79.13,76.362
"Seed_46",81.19,83.95,67.13,68.88,78.96,76.022
"Seed_47",80.81,84.35,66.2,68.6,78.79,75.75
"Seed_48",81.43,83.42,67.13,68.28,79.15,75.882
"Seed_49",79.89,83.82,67.13,68.56,79.29,75.738
"Seed_50",80.55,83.29,66.2,68.25,78.68,75.394
"Seed_51",80.5,85.33,66.2,68.83,78.78,75.928
"Seed_52",80.79,84.31,66.2,68.99,79.17,75.892
"Seed_53",81.07,83.74,66.67,68.43,78.66,75.714
"Seed_54",80.65,84.4,67.82,68.31,78.66,75.968
"Seed_55",80.24,84.11,66.9,68.61,79.01,75.774
"Seed_56",81.26,84.19,67.13,68.62,79.38,76.116
"Seed_57",81.05,84.64,65.74,68.63,78.98,75.808
"Seed_58",81.43,84.07,66.67,68.22,79.28,75.934
"Seed_59",80.6,83.86,67.13,68.51,79.37,75.894
"Seed_60",80.57,83.37,65.28,68.31,78.9,75.286
"Seed_61",80.83,83.5,67.59,68.35,79.35,75.924
"Seed_62",80.72,83.58,67.59,68.64,78.72,75.85
"Seed_63",81.07,83.37,67.13,68.2,79.05,75.764
"Seed_64",80.41,84.48,66.9,68.7,78.62,75.822
"Seed_65",79.77,84.31,67.59,68.73,79.26,75.932
"Seed_66",80.46,84.27,69.68,68.52,79.01,76.388
"Seed_67",80.83,83.7,67.13,68.67,78.63,75.792
"Seed_68",80.69,84.07,66.2,68.61,78.68,75.65
"Seed_69",80.91,84.31,65.28,68.17,79.07,75.548
"Seed_70",80.86,84.07,68.52,68.95,78.96,76.272
"Seed_71",80.79,83.74,66.67,68.32,79.26,75.756
"Seed_72",81.52,84.03,66.67,68.34,79.33,75.978
"Seed_73",80.79,83.5,65.74,68.58,79.14,75.55
"Seed_74",81.1,83.37,68.52,68.62,78.81,76.084
"Seed_75",80.27,83.7,67.59,68.31,79.59,75.892
"Seed_76",81.43,84.84,66.67,68.27,78.76,75.994
"Seed_77",80.69,83.74,65.28,68.5,79.1,75.462
"Seed_78",81.5,83.5,65.28,68.88,78.99,75.63
"Seed_79",81.07,84.48,66.67,68.27,79.04,75.906
"Seed_80",81.74,84.19,66.2,68.35,79.03,75.902
"Seed_81",80.88,84.64,66.67,68.55,79.23,75.994
"Seed_82",80.48,83.99,66.67,68.25,78.93,75.664
"Seed_83",80.53,84.31,66.2,68.23,79.13,75.68
"Seed_84",80.27,84.03,65.74,67.9,79.23,75.434
"Seed_85",81,82.35,66.9,68.29,79.18,75.544
"Seed_86",80.53,83.09,68.06,68.09,78.78,75.71
"Seed_87",80.72,82.6,67.59,68.71,78.92,75.708
"Seed_88",80.93,83.13,64.81,68.46,78.81,75.228
"Seed_89",80.62,85.7,70.14,68.5,79.11,76.814
"Seed_90",80.34,83.82,66.2,68.41,78.84,75.522
"Seed_91",80.79,83.7,68.52,68.52,79.08,76.122
"Seed_92",80.76,84.4,69.21,68.43,78.92,76.344
"Seed_93",81.43,84.93,68.06,68.62,78.68,76.344
"Seed_94",81,84.97,66.67,68.46,79.03,76.026
"Seed_95",81.07,83.58,68.52,68.37,78.79,76.066
"Seed_96",81.17,84.64,68.52,68.61,78.98,76.384
"Seed_97",81,83.74,66.67,68,79.04,75.69
"Seed_98",80.6,84.07,66.2,68.81,78.91,75.718
