"","2014_ZellerG","2015_FengQ","2019_Thom","2019_Yachida","2021_JunY_2","Mean"
"Seed_1",80.69,82.97,67.82,68.13,79.38,75.798
"Seed_2",81.07,83.37,69.91,68.64,79.13,76.424
"Seed_3",79.96,83.66,65.97,68.62,79.26,75.494
"Seed_4",81.29,84.4,67.59,68.5,78.71,76.098
"Seed_5",80.69,83.29,68.52,68.48,78.42,75.88
"Seed_6",80.76,83.99,68.98,68.25,79.43,76.282
"Seed_7",80.69,85.46,66.2,68.48,79.56,76.078
"Seed_8",80.76,83.46,68.06,68.84,79.06,76.036
"Seed_9",80.65,84.03,69.21,68.61,79.06,76.312
"Seed_10",81.31,84.31,69.44,68.79,79.17,76.604
"Seed_11",81.17,84.23,66.67,68.42,79.01,75.9
"Seed_12",80.53,82.84,65.74,68.58,79.19,75.376
"Seed_13",80.98,84.48,67.59,68.43,79.52,76.2
"Seed_14",80.67,84.6,65.51,68.4,79.3,75.696
"Seed_15",80.98,84.23,67.59,68.29,79.18,76.054
"Seed_16",81.17,84.76,66.67,67.8,78.99,75.878
"Seed_17",80.79,83.5,68.06,68.54,78.81,75.94
"Seed_18",80.76,83.78,66.2,67.95,79.16,75.57
"Seed_19",80.93,83.62,67.13,68.79,78.91,75.876
"Seed_20",81.02,84.35,66.67,68.31,79.29,75.928
"Seed_21",80.24,85.21,69.91,69.29,79.67,76.864
"Seed_22",80.76,84.19,67.36,68.71,79.27,76.058
"Seed_23",81.62,84.11,66.67,69.11,79.64,76.23
"Seed_24",81.07,83.99,68.98,68.24,79.27,76.31
"Seed_25",80.69,84.44,66.2,68.26,79.31,75.78
"Seed_26",80.93,83.54,65.97,68.29,79.5,75.646
"Seed_27",80.88,84.76,67.36,68.24,78.8,76.008
"Seed_28",81.17,83.62,65.74,68.99,78.95,75.694
"Seed_29",81.26,85.05,69.44,68.21,79.05,76.602
"Seed_30",80.46,84.52,67.59,68.48,78.88,75.986
"Seed_31",80.76,84.52,66.44,68.31,79.38,75.882
"Seed_32",81.36,84.72,64.35,68.74,78.62,75.558
"Seed_33",80.38,84.6,66.67,68.55,79.37,75.914
"Seed_34",80.86,84.35,68.98,68.96,78.74,76.378
"Seed_35",80.93,84.11,67.59,68.39,79.02,76.008
"Seed_36",81.1,83.13,68.29,68.39,79.28,76.038
"Seed_37",81.12,84.35,66.2,67.93,78.61,75.642
"Seed_38",80.88,84.03,68.98,68.29,78.65,76.166
"Seed_39",80.91,85.01,66.9,68.81,78.9,76.106
"Seed_40",80.76,82.39,66.2,68.45,79.33,75.426
"Seed_41",79.98,83.33,66.2,68.55,79.56,75.524
"Seed_42",80.5,84.97,65.51,68.97,79.11,75.812
"Seed_43",80.98,83.91,69.44,68.07,79.1,76.3
"Seed_44",80.55,83.99,67.36,68.55,78.82,75.854
"Seed_45",80.81,84.4,67.13,68.77,79.01,76.024
"Seed_46",81.4,83.66,67.59,68.86,78.86,76.074
"Seed_47",81.02,83.95,66.9,68.71,78.71,75.858
"Seed_48",81.1,83.62,66.67,68.35,79.16,75.78
"Seed_49",80.27,83.74,67.59,68.8,79.46,75.972
"Seed_50",80.36,82.8,67.59,68.18,78.84,75.554
"Seed_51",80.81,85.42,65.28,68.8,78.92,75.846
"Seed_52",80.69,84.23,66.67,69.05,79.18,75.964
"Seed_53",80.93,83.46,67.13,68.56,79,75.816
"Seed_54",80.08,84.44,68.06,68.31,78.69,75.916
"Seed_55",80.1,83.74,66.44,68.48,78.56,75.464
"Seed_56",81.5,83.99,67.59,68.46,79.15,76.138
"Seed_57",81.29,84.44,66.2,68.57,78.96,75.892
"Seed_58",81.31,83.62,67.13,68.08,79.24,75.876
"Seed_59",81.1,84.68,65.51,68.75,78.74,75.756
"Seed_60",80.57,83.62,66.44,68.71,79,75.668
"Seed_61",81.05,84.15,67.59,68.34,79.42,76.11
"Seed_62",80.79,83.91,69.91,68.51,78.78,76.38
"Seed_63",81.52,83.78,67.36,68.08,79.04,75.956
"Seed_64",80.53,85.29,67.13,68.82,78.56,76.066
"Seed_65",79.86,83.62,68.52,68.96,78.89,75.97
"Seed_66",80.41,84.31,69.91,68.67,78.79,76.418
"Seed_67",80.53,83.5,66.9,68.76,78.54,75.646
"Seed_68",80.86,84.52,65.97,68.79,78.77,75.782
"Seed_69",80.98,84.35,65.28,68.27,79.15,75.606
"Seed_70",80.5,84.8,68.29,69.16,78.69,76.288
"Seed_71",80.65,83.29,64.81,68.41,79.06,75.244
"Seed_72",81.62,83.82,67.59,68.32,79.17,76.104
"Seed_73",81,83.7,65.74,68.27,79.24,75.59
"Seed_74",80.67,82.6,68.06,68.89,78.85,75.814
"Seed_75",80.34,83.54,66.2,68.37,79.62,75.614
"Seed_76",81.57,84.64,66.44,68.42,78.64,75.942
"Seed_77",80.5,83.7,66.67,68.69,79.46,75.804
"Seed_78",82,83.09,64.81,69.2,78.81,75.582
"Seed_79",81.17,83.5,67.13,68.27,79.07,75.828
"Seed_80",81.43,83.99,65.97,68.14,79.1,75.726
"Seed_81",80.65,84.64,65.28,68.61,79.18,75.672
"Seed_82",80.79,84.03,64.81,68.43,78.92,75.396
"Seed_83",80.53,84.8,65.74,68.3,79.15,75.704
"Seed_84",80.62,83.01,65.28,68.15,79.62,75.336
"Seed_85",80.57,81.66,66.67,68.18,79.01,75.218
"Seed_86",80.41,83.01,67.59,68.1,78.84,75.59
"Seed_87",80.55,82.56,67.59,68.58,79.01,75.658
"Seed_88",81.59,83.37,64.81,68.47,78.58,75.364
"Seed_89",80.86,85.95,70.37,68.73,78.84,76.95
"Seed_90",80.79,84.19,66.44,68.07,78.79,75.656
"Seed_91",81.24,83.7,69.91,68.61,79.07,76.506
"Seed_92",80.91,84.03,68.98,68.47,78.8,76.238
"Seed_93",80.88,84.52,66.2,68.69,78.7,75.798
"Seed_94",80.74,84.8,66.44,68.51,78.9,75.878
"Seed_95",80.83,82.8,69.44,68.58,78.79,76.088
"Seed_96",81,84.19,67.59,68.45,78.76,75.998
"Seed_97",81.12,83.91,65.28,68.06,78.93,75.46
"Seed_98",80.76,83.54,66.67,68.81,79.02,75.76
"Seed_99",81.59,84.48,66.67,68.63,78.9,76.054
"Seed_100",80.79,84.48,67.13,68.94,78.8,76.028
