"","2014_ZellerG","2015_FengQ","2019_Thom","2019_Yachida","2021_JunY_2","Mean"
"Seed_1",18.79,17.69,31.48,31.98,20.86,24.16
"Seed_2",18.38,16.34,31.02,31.08,21.26,23.616
"Seed_3",19.97,16.46,34.95,31.43,20.53,24.668
"Seed_4",19,16.46,32.41,31.58,21.09,24.108
"Seed_5",18.52,16.95,32.41,31.72,21.31,24.182
"Seed_6",19.9,15.97,31.25,31.75,20.3,23.834
"Seed_7",19.35,15.11,32.87,31.26,20.3,23.778
"Seed_8",19.66,17.03,31.71,30.88,20.94,24.044
"Seed_9",19.14,15.36,34.03,31.81,20.42,24.152
"Seed_10",18.9,15.24,32.87,31.75,21.4,24.032
"Seed_11",18.64,14.75,33.33,31.4,21.51,23.926
"Seed_12",19.45,17.24,34.72,31.62,21,24.806
"Seed_13",19.12,16.54,32.18,31.33,20.2,23.874
"Seed_14",18.52,15.97,34.26,31.96,21.28,24.398
"Seed_15",19.12,16.46,35.19,31.57,20.66,24.6
"Seed_16",18.48,16.38,28.94,32.76,20.57,23.426
"Seed_17",20.02,17.08,33.1,31.58,21.17,24.59
"Seed_18",20.16,14.71,31.02,32.17,20.97,23.806
"Seed_19",19.47,17.24,31.02,31.1,21.43,24.052
"Seed_20",18.48,15.6,34.26,32.27,21.09,24.34
"Seed_21",20.11,15.93,31.02,30.93,20.52,23.702
"Seed_22",18.69,16.5,33.33,31.11,20.99,24.124
"Seed_23",18.15,16.42,33.33,31.23,20.39,23.904
"Seed_24",18.95,17.2,31.48,31.38,21.37,24.076
"Seed_25",20.23,16.14,33.8,31.38,20.42,24.394
"Seed_26",19.09,15.48,35.65,31.47,20.78,24.494
"Seed_27",19.71,14.79,32.64,31.56,21.05,23.95
"Seed_28",19.09,16.58,34.49,30.81,21.34,24.462
"Seed_29",18.86,15.6,30.56,31.47,21.26,23.55
"Seed_30",20.19,16.91,32.41,31.56,21.02,24.418
"Seed_31",18.69,15.52,34.26,31.9,20.52,24.178
"Seed_32",18.71,15.16,34.49,31.1,21.33,24.158
