"","2014_ZellerG","2015_FengQ","2016_VogtmannE","2019_Thom","2019_WirbelJ","2019_Yachida","2021_JunY_1","2021_JunY_2","Mean_Index","Larger0.6_Counts"
"Fusobacterium_nucleatum",0.695644838246179,0.683358134920635,0.689217963608208,0.680951608041366,0.686168338238516,0.68812976161219,0.697090601674296,0.683365100230036,0.687990793321428,8
"Parvimonas_micra",0.687508163887317,0.675664682539683,0.691874758033295,0.672094047812275,0.676048423198179,0.674822278656144,0.682383809641635,0.688971409792967,0.681170946695187,8
"Aspergillus_rambellii",0.669455087734576,0.673402777777778,0.66545683313976,0.677640457254156,0.669857416349973,0.674003076558987,0.670321456554909,0.674722313506408,0.671857427359568,8
"Gemella_morbillorum",0.682500979666478,0.658377976190476,0.671583430120015,0.652755814223108,0.660413749749979,0.644875890882281,0.662140706833271,0.677377587906671,0.663753266946535,8
"Anaerostipes_hadrus",0.607883049592894,0.637762896825397,0.639943863724352,0.660903842140654,0.63552590222019,0.66690332505029,0.625613427357829,0.612356227407164,0.635861566789846,8
"Pseudobutyrivibrio_xylanivorans",0.618539643836809,0.618134920634921,0.622212543554007,0.645512092192826,0.617152898819899,0.636865914821186,0.605473421584395,0.609615511008873,0.621688368306615,8
"Butyrivibrio_proteoclasticus",0.618621282709975,0.618958333333333,0.618408826945412,0.639988870081387,0.618362526311779,0.634599455685718,0.607519897727741,0.613913900755833,0.621296636693897,8
"Roseburia_intestinalis",0.606473418382897,0.618556547619048,0.625667828106853,0.632977021355531,0.610533283805278,0.628682996095137,0.607174522660728,0.606388432467959,0.617056756311679,8
"Rhizophagus_irregularis",0.598217007010058,0.623263888888889,0.616105303910182,0.63317179493125,0.613090645864884,0.613163667476767,0.6134840611984,0.599296746631614,0.613724139489006,6
"Dialister_pneumosintes",0.592257369268951,0.601706349206349,0.619744483159117,0.601168641454309,0.610823784895848,0.633525390713889,0.61899459771537,0.611672691422938,0.611236663479596,7
"Lactococcus_garvieae",0.597346192362955,0.605203373015873,0.600580720092915,0.622014051522248,0.604913754512292,0.601339850541128,0.590581054888861,0.612638843246796,0.604327230022883,6
"Brachyspira_pilosicoli",0.587168546174947,0.600585317460318,0.592934572202865,0.616263593572472,0.597913154460859,0.630630876637266,0.587642789393377,0.599868550772264,0.601625925084296,3
"Porphyromonas_asaccharolytica",0.580153045674228,0.580029761904762,0.599912891986063,0.598631947503884,0.601384880608814,0.629129006125811,0.605045568889439,0.613296089385475,0.600947899009809,4
"Romboutsia_ilealis",0.584572430008273,0.606150793650794,0.597527100271003,0.620618174229601,0.59735596384452,0.62715381884711,0.585689100581467,0.585750903713441,0.600602285643276,3
"Moniliophthora_perniciosa",0.58143205468716,0.60374503968254,0.595359078590786,0.602026572680687,0.604094636683144,0.581342217124965,0.600246401913481,0.625928360170884,0.599271795191706,5
"Erysiphe_pulchra",0.608519832803588,0.588253968253968,0.589087301587302,0.596452338442275,0.599013248754655,0.599665037364718,0.596596766876985,0.604883338810384,0.597808979111734,2
"Eubacterium_eligens",0.590107545608917,0.605456349206349,0.598035230352304,0.612085236626707,0.598989437189854,0.579731119667222,0.591044991546043,0.598843246795925,0.596786644624165,2
"Clostridium_beijerinckii",0.585633735359429,0.592301587301587,0.592939411536972,0.623261529900063,0.594570010762827,0.607884365072863,0.57969400800033,0.597568189286888,0.59673160465262,2
"Streptococcus_anginosus",0.60939064745069,0.598616071428571,0.590669763840496,0.582586314837573,0.5907363488299,0.591591345584956,0.599627819703905,0.60198488333881,0.595650399376863,2
"Sphaerulina_musiva",0.578248138633692,0.601374007936508,0.588371080139373,0.59703665916943,0.598346524940233,0.612490101307993,0.593942018227556,0.590279329608939,0.595010982495465,2
"Fusobacterium_periodonticum",0.607561936691775,0.593154761904762,0.602603561749903,0.584288264892063,0.596265394176644,0.582698451708036,0.600406202317621,0.592757147551758,0.59496696512407,3
"Bifidobacterium_catenulatum",0.574465537510341,0.590257936507936,0.599264421215641,0.597565330303522,0.593812803002162,0.622256810755213,0.592338859334406,0.588149852119619,0.594763943843605,1
"Lactobacillus_ruminis",0.574955370749336,0.595357142857143,0.599908052651955,0.61566999791314,0.594465239877704,0.629165415107907,0.574121613262403,0.570719684521853,0.59429531461768,2
"Bifidobacterium_angulatum",0.581595332433491,0.590962301587302,0.598015873015873,0.594286641778932,0.590841119715023,0.610451198310623,0.593436842756402,0.583167926388433,0.59284465449826,1
"Phytophthora_capsici",0.575608481734663,0.594707341269841,0.601267905536198,0.585744429243861,0.588388528540542,0.582516406797557,0.589890304754835,0.589221163325665,0.588418070150395,1
"Bifidobacterium_pseudocatenulatum",0.575330909565899,0.582008928571429,0.587882307394503,0.581723746145106,0.582388014210742,0.601094089911981,0.583931296135923,0.577048964837332,0.583926032096614,1
"Streptococcus_salivarius",0.556924064962773,0.581979166666667,0.594894502516454,0.604048507895286,0.582259431760818,0.599674139610242,0.576358818920368,0.575156095957936,0.583911841036318,1
"Streptococcus_equinus",0.555944398484782,0.582981150793651,0.591927990708479,0.600166948779187,0.581449838557591,0.601121396648553,0.572064827415564,0.574998356884653,0.582581863534057,2
"Trichophyton_mentagrophytes",0.568032394304872,0.586755952380952,0.581397599690283,0.582001994110418,0.5655151393929,0.592756433012024,0.581570374036043,0.585790338481761,0.580477528176157,0
