"","p-value","Z"
"2014_ZellerG",0.0117414940446461,2.51981975966588
"2015_FengQ",0.0140307241791426,-2.4564758256862
"2016_VogtmannE",0.0838222107796541,1.72892672213802
"2019_Thom",0.550962205957178,0.596318902059862
"2019_WirbelJ",0.505429822308566,0.665970709772356
"2019_Yachida",0.561071185812768,0.581251169126433
"2021_JunY_1",0.410826893321625,0.822439346854742
"2021_JunY_2",0.386497438489892,0.865986730856836
