"","all-Median","all-low-CI","all-high-CI","all-p-value"
"Pezoloma ericae",-0.185596168577076,-0.19161949918767,-0.179575297719167,0
"Diplocarpon rosae",-0.0417737726973125,-0.0471993447887525,-0.0363442531039313,2.90109731594978e-51
"Marssonina brunnea",-0.0148150548814615,-0.0219665853423122,-0.00766334797221868,4.86187528416543e-05
"Hyaloscypha variabilis",-0.20062005542337,-0.205887455722069,-0.195367541961731,0
"Hyaloscypha bicolor",-0.0383022343410409,-0.0437202449596241,-0.0328839403333841,1.22778047560383e-43
"Phialocephala subalpina",-0.153621169776538,-0.159135619749392,-0.148107013139994,0
"Cadophora sp. DSE1049",-0.105915567111485,-0.111037431044102,-0.100795187160387,0
"Rhynchosporium secalis",-0.0464131264207584,-0.0544766697551629,-0.0383330522872904,1.54331215581855e-29
"Botrytis cinerea",0.112284875639325,0.105803934575062,0.118768536187064,3.53819144208709e-250
"Sclerotinia sclerotiorum",0.152437245934944,0.145940071121005,0.158950386690096,0
"Sclerotinia borealis",0.0603132918046069,0.0543880608176887,0.0661987599967255,6.00232380237803e-89
"Microdochium bolleyi",0.0308806339592576,0.0247085157462027,0.0370155937586938,9.27602912831289e-23
"Pestalotiopsis fici",-0.142371750904017,-0.14799811525339,-0.136756068616284,0
"Eutypa lata",-0.0121821180970326,-0.018924847323717,-0.0054435450424533,0.000394118087033996
"Pseudomassariella vexata",-0.0921633971342369,-0.099116794697196,-0.0852088635130998,3.50200167509215e-148
"Rosellinia necatrix",0.0960835375649433,0.0902175139317024,0.101957803171935,3.44304133215069e-224
"Hypoxylon sp. CO27-5",-0.162893935969928,-0.171270592034953,-0.154524635976609,0
"Phaeoacremonium minimum",-0.0587775515381309,-0.0639626973406178,-0.0535928868955935,3.0117247526227e-109
"Coniochaeta ligniaria",0.240736782932351,0.234536643730045,0.24694101802534,0
"Pyricularia grisea",-0.10637707751052,-0.112451098815127,-0.100295357333655,6.3772120972598e-257
"Pyricularia oryzae",-0.0630515017891545,-0.0689900764215496,-0.0571094769301231,4.37630065954984e-96
"Pyricularia pennisetigena",0.0508377104072029,0.0440094414793475,0.0576648241239151,3.37008215969853e-48
"Coniella lustricola",-0.0979090152311455,-0.103371702121642,-0.0924479598286372,1.41805972079759e-269
"Valsa mali",0.0408163396876278,0.0358988789775189,0.0457232157805049,1.29660781434932e-59
"Diaporthe ampelina",-0.0241974594327097,-0.0296673620287844,-0.0187307205539513,4.32842840638899e-18
"Diaporthe helianthi",-0.00700603851461284,-0.0135240900657964,-0.00049118934414842,0.0350450341803924
"Grosmannia clavigera",0.0596705063059812,0.0537033819986894,0.0656257038135214,1.40932685671179e-85
"Ophiostoma piceae",0.0245225227277813,0.0186928800533688,0.0303494814126762,1.62994911285098e-16
"Sporothrix brasiliensis",-0.00770497190715822,-0.0139148837738932,-0.00150879834898535,0.0147970570434774
"Sporothrix insectorum",-0.0753492744099053,-0.0817783114815679,-0.0689218788563683,5.69904602027837e-117
"Podospora anserina",-0.061139722909926,-0.0679703107447895,-0.0543134607787586,6.44447693248046e-69
"Sordaria macrospora",0.00796767527457477,0.00133911722019223,0.0145958321636825,0.0184718305372889
"Neurospora tetrasperma",-0.158265827192825,-0.170675037103427,-0.145857856609567,2.69755178404812e-141
"Neurospora crassa",-0.0823226684828416,-0.0906702780966985,-0.0739718517998976,2.85286254536588e-83
"Chaetomium thermophilum",-0.129048067347727,-0.136717334422832,-0.121406915261674,2.2462343243241e-239
"Chaetomium globosum",0.055491397597645,0.04885033100083,0.0621317241566997,4.14195876154756e-60
"Thermothelomyces thermophilus",-0.0652600677694356,-0.0717769402100474,-0.0587652987480729,2.95509434559534e-86
"Thielavia terrestris",0.122113887722967,0.115305261124469,0.128922735056691,5.0315126481755e-270
"Thielaviopsis punctulata",0.236496176100237,0.230736297670646,0.242260897946783,0
"Ceratocystis platani",-0.137147976431251,-0.144976950631615,-0.12932107949145,8.3548187675567e-257
"Verticillium alfalfae",0.152362541844354,0.144463756410984,0.160237629480583,0
"Verticillium longisporum",0.00180462558875766,-0.00460929659731164,0.00822035670253215,0.581205096265842
"Colletotrichum incanum",0.0442914883715864,0.0383050225951825,0.0503155706633177,1.53105333810351e-47
"Colletotrichum nymphaeae",-0.0528682940747946,-0.0605241223049756,-0.0452145871625815,1.04975094327025e-41
"Colletotrichum higginsianum",0.11037513559728,0.104133043893104,0.116640697296961,5.41592034409385e-262
"Colletotrichum gloeosporioides",0.00675293678457047,0.00106913991259992,0.0124408897434389,0.0197198994133296
"Colletotrichum simmondsii",0.0556077204119625,0.0477226811298438,0.0634831363465882,1.79356652851819e-43
"Colletotrichum chlorophyti",-0.0698126870339398,-0.0758882338766971,-0.0637353342731228,5.09949317106976e-112
"Colletotrichum tofieldiae",-0.206608711531408,-0.213100753605946,-0.200062422711723,0
"Colletotrichum salicis",-0.264108781248418,-0.271120996316023,-0.257116717167622,0
"Colletotrichum fioriniae",-0.248132928661778,-0.254046442214191,-0.242180747478415,0
"Stachybotrys chartarum",-0.0425571579407086,-0.0494394789901311,-0.0356686636783408,9.70369039072431e-34
"Ustilaginoidea virens",-0.0421794524519151,-0.0495297766475648,-0.0348205194044141,3.30859153753098e-29
"Beauveria bassiana",0.071169008899604,0.0647505375979569,0.0775751303838559,9.40997853122253e-105
"Cordyceps fumosorosea",0.177567423094395,0.17077130569888,0.184367308357616,0
"Cordyceps militaris",-0.00918269157267504,-0.0151098421041918,-0.00325751759147134,0.00238576949572558
"Cordyceps sp. RAO-2017",0.335568535909318,0.32820229040846,0.342945739565494,0
"Cordyceps confragosa",0.0258731444683892,0.0208652154919802,0.0308807775793249,4.21400616596846e-24
"Tolypocladium ophioglossoides",0.112699737644668,0.105963006005386,0.119435679186759,8.03680649026069e-234
"Tolypocladium paradoxum",0.191530581012209,0.183527117023497,0.199539275768597,0
"Ophiocordyceps australis",0.0873852711029279,0.0809933087818317,0.0937643917868143,3.93976371971155e-158
"Ophiocordyceps sinensis",-0.0616370863927344,-0.0667168944804098,-0.0565639289298278,5.71689951357365e-125
"Pochonia chlamydosporia",0.0165526553484008,0.00992847473210253,0.0231879281740802,9.80702457873923e-07
"Metarhizium acridum",0.104496217530533,0.0978608899428995,0.111125831925921,8.59661854023135e-209
"Metarhizium anisopliae",0.0384684996394073,0.029246335852022,0.0476883978261118,3.03589943132906e-16
"Metarhizium rileyi",-0.0529235567692157,-0.0602391536947615,-0.0455835803887472,3.28063738002636e-45
"Metarhizium album",0.0660066259101125,0.059177180130201,0.0728305579137089,3.39922650146584e-80
"Escovopsis weberi",-0.0623066030187134,-0.0693117713005185,-0.0552813299432474,1.07122716658732e-67
"Trichoderma asperellum",-0.0934001833403394,-0.103825227962376,-0.0829756900965966,4.01779792215067e-69
"Trichoderma reesei",-0.13447519977844,-0.143413759193892,-0.125552778195511,5.61612154510882e-191
"Trichoderma guizhouense",-0.147772423754574,-0.154336673259302,-0.141204072551139,0
"Trichoderma atroviride",-0.318667357067085,-0.325578125558334,-0.311757437600083,0
"Neonectria ditissima",0.151479723541166,0.145469402088581,0.157491774399152,0
"Fusarium verticillioides",-0.200799607929273,-0.210519159240655,-0.191058682292625,0
"Fusarium oxysporum",-0.0428723547646075,-0.0478467040274259,-0.0379192817220285,1.2681392542191e-64
"Fusarium pseudograminearum",0.0038492013680877,-0.00457609788319677,0.0122681731326557,0.370816417067424
"Fusarium venenatum",-0.00127032461044806,-0.00916318740825239,0.00664085630931998,0.752336826782565
