"","2014_ZellerG_p_values","2014_ZellerG_adj_pvalue","2015_FengQ_p_values","2015_FengQ_adj_pvalue","2016_VogtmannE_p_values","2016_VogtmannE_adj_pvalue","2019_Thom_p_values","2019_Thom_adj_pvalue","2019_WirbelJ_p_values","2019_WirbelJ_adj_pvalue","2019_Yachida_p_values","2019_Yachida_adj_pvalue","2021_JunY_1_p_values","2021_JunY_1_adj_pvalue","2021_JunY_2_p_values","2021_JunY_2_adj_pvalue","2014_ZellerG_p_values","2014_ZellerG_adj_pvalue","2015_FengQ_p_values","2015_FengQ_adj_pvalue","2016_VogtmannE_p_values","2016_VogtmannE_adj_pvalue","2019_Thom_p_values","2019_Thom_adj_pvalue","2019_WirbelJ_p_values","2019_WirbelJ_adj_pvalue","2019_Yachida_p_values","2019_Yachida_adj_pvalue","2021_JunY_1_p_values","2021_JunY_1_adj_pvalue","2021_JunY_2_p_values","2021_JunY_2_adj_pvalue"
"Aspergillus ochraceoroseus",0.00425037685250107,0.0142967221402309,0.00656867700785603,0.120523559377526,0.0454652493548748,0.274600905206317,0.224104391912923,0.573281770111097,0.155949269950841,0.36063268676132,0.349810184150131,0.663742400695119,0.057319109722304,0.102703494161549,0.00790156866720542,0.0188618090765549,0.00425037685250107,0.0142967221402309,0.00656867700785603,0.120523559377526,0.0454652493548748,0.274600905206317,0.224104391912923,0.573281770111097,0.155949269950841,0.36063268676132,0.349810184150131,0.663742400695119,0.057319109722304,0.102703494161549,0.00790156866720542,0.0188618090765549
"Colletotrichum fioriniae",0.54521984500748,0.568257303247233,0.0146582707351045,0.120523559377526,0.0940809492667691,0.464132683049394,0.419740502595415,0.70592720891047,0.0800317907269999,0.280056882935486,0.792928488161165,0.875771763043674,0.0110264216160649,0.0313828922918769,0.00321987401893398,0.0119135338700557,0.54521984500748,0.568257303247233,0.0146582707351045,0.120523559377526,0.0940809492667691,0.464132683049394,0.419740502595415,0.70592720891047,0.0800317907269999,0.280056882935486,0.792928488161165,0.875771763043674,0.0110264216160649,0.0313828922918769,0.00321987401893398,0.0119135338700557
"Coniochaeta ligniaria",0.00949278964090438,0.0234155477808975,0.878025384096537,0.978389267164008,0.620333225868894,0.791459633005141,0.267817090011703,0.582896019437236,0.135559477908929,0.359606197674231,0.0165389188410433,0.124718860443211,0.663783857132802,0.711884136635179,0.0580235292929964,0.0830475192305222,0.00949278964090438,0.0234155477808975,0.878025384096537,0.978389267164008,0.620333225868894,0.791459633005141,0.267817090011703,0.582896019437236,0.135559477908929,0.359606197674231,0.0165389188410433,0.124718860443211,0.663783857132802,0.711884136635179,0.0580235292929964,0.0830475192305222
"Leucoagaricus sp. SymC.cos",0.00463543933645809,0.0147941844264299,0.217675137682499,0.627533692863064,0.665253043674057,0.8317475266932,0.838035105409027,0.983687481376334,0.0800317907269999,0.280056882935486,0.0501280389930179,0.206081938082407,0.000823001114973724,0.00553655295527778,0.000178991778414421,0.00165567395033339,0.00463543933645809,0.0147941844264299,0.217675137682499,0.627533692863064,0.665253043674057,0.8317475266932,0.838035105409027,0.983687481376334,0.0800317907269999,0.280056882935486,0.0501280389930179,0.206081938082407,0.000823001114973724,0.00553655295527778,0.000178991778414421,0.00165567395033339
"Colletotrichum salicis",0.467545370487887,0.50879937376623,0.214002304947349,0.627533692863064,0.0277371660449485,0.228061143036243,0.349288131868402,0.646183043956544,0.190781865545098,0.411729730693425,0.237980515867837,0.568082521749029,0.00700550850192924,0.0207363051657106,0.0146006767324028,0.0278601895376952,0.467545370487887,0.50879937376623,0.214002304947349,0.627533692863064,0.0277371660449485,0.228061143036243,0.349288131868402,0.646183043956544,0.190781865545098,0.411729730693425,0.237980515867837,0.568082521749029,0.00700550850192924,0.0207363051657106,0.0146006767324028,0.0278601895376952
"[Candida] arabinofermentans",0.000729450162334446,0.00317525364780877,0.610103316737602,0.878120743670314,0.212085535669783,0.627773185582559,0.0758785099729612,0.436748977733233,0.449961233956395,0.584160198469706,0.64394417748781,0.855882485767955,0.0016139135276839,0.00796197340324058,0.00372464907298415,0.0129828118626052,0.000729450162334446,0.00317525364780877,0.610103316737602,0.878120743670314,0.212085535669783,0.627773185582559,0.0758785099729612,0.436748977733233,0.449961233956395,0.584160198469706,0.64394417748781,0.855882485767955,0.0016139135276839,0.00796197340324058,0.00372464907298415,0.0129828118626052
"Baudoinia panamericana",1.50137150363914e-05,0.000757053227067232,0.00135943873886529,0.0397772092200336,0.130733212649686,0.532389328139854,0.674797272891167,0.942169777244271,0.911966855519658,0.950500666316263,0.163681984731203,0.484498674804361,0.00212390814912642,0.00847858481682214,0.0305773273603978,0.0481430260567965,1.50137150363914e-05,0.000757053227067232,0.00135943873886529,0.0397772092200336,0.130733212649686,0.532389328139854,0.674797272891167,0.942169777244271,0.911966855519658,0.950500666316263,0.163681984731203,0.484498674804361,0.00212390814912642,0.00847858481682214,0.0305773273603978,0.0481430260567965
"Hyaloscypha variabilis",0.00060807912885295,0.00287014240583077,0.228964996044631,0.627533692863064,0.611509901425663,0.791459633005141,0.306763260080283,0.613526520160566,0.293579751839507,0.462231949704756,0.125796116602555,0.387871359524545,0.0733970494464031,0.123440492250769,0.00499455183445545,0.0144569680229837,0.00060807912885295,0.00287014240583077,0.228964996044631,0.627533692863064,0.611509901425663,0.791459633005141,0.306763260080283,0.613526520160566,0.293579751839507,0.462231949704756,0.125796116602555,0.387871359524545,0.0733970494464031,0.123440492250769,0.00499455183445545,0.0144569680229837
"Schizosaccharomyces pombe",0.000475342908750442,0.00270579809596405,0.228964996044631,0.627533692863064,0.19000735832754,0.611328022445129,0.0627182445559865,0.436748977733233,0.145481014245131,0.359606197674231,0.37806873380847,0.69942715754567,0.0173234133150521,0.0442045719073744,0.00264375713157687,0.0108687793187049,0.000475342908750442,0.00270579809596405,0.228964996044631,0.627533692863064,0.19000735832754,0.611328022445129,0.0627182445559865,0.436748977733233,0.145481014245131,0.359606197674231,0.37806873380847,0.69942715754567,0.0173234133150521,0.0442045719073744,0.00264375713157687,0.0108687793187049
"Tuber magnatum",0.11473575729913,0.139187640002223,0.000893923104317563,0.0397772092200336,0.478585864115778,0.791459633005141,0.0723937523909925,0.436748977733233,0.00236307320464512,0.115609768588757,0.491844959215856,0.774394191105815,0.0474888321108275,0.0878543394050309,0.0248879752915734,0.0411946838905505,0.11473575729913,0.139187640002223,0.000893923104317563,0.0397772092200336,0.478585864115778,0.791459633005141,0.0723937523909925,0.436748977733233,0.00236307320464512,0.115609768588757,0.491844959215856,0.774394191105815,0.0474888321108275,0.0878543394050309,0.0248879752915734,0.0411946838905505
"Thielaviopsis punctulata",0.137983460575463,0.164689936815876,0.12124213908215,0.448595914603957,0.559781109162302,0.791459633005141,0.232411528423418,0.573281770111097,0.941244855709856,0.96739054614624,0.120058000307506,0.386273566206758,8.08975338423028e-05,0.00199547250144347,0.0583577162160426,0.0830475192305222,0.137983460575463,0.164689936815876,0.12124213908215,0.448595914603957,0.559781109162302,0.791459633005141,0.232411528423418,0.573281770111097,0.941244855709856,0.96739054614624,0.120058000307506,0.386273566206758,8.08975338423028e-05,0.00199547250144347,0.0583577162160426,0.0830475192305222
"Edhazardia aedis",0.000127479721197391,0.00157224989476783,0.99604989894875,0.99604989894875,0.855702273047305,0.92827702232171,0.407450741034354,0.701194298524237,0.0769058946458494,0.280056882935486,0.0491165403083277,0.206081938082407,0.000305986380080182,0.00440746644308547,0.000107545072052675,0.00135419403375455,0.000127479721197391,0.00157224989476783,0.99604989894875,0.99604989894875,0.855702273047305,0.92827702232171,0.407450741034354,0.701194298524237,0.0769058946458494,0.280056882935486,0.0491165403083277,0.206081938082407,0.000305986380080182,0.00440746644308547,0.000107545072052675,0.00135419403375455
"Choanephora cucurbitarum",0.000456043855142441,0.00270579809596405,0.589451939795972,0.872388870898039,0.331078188653015,0.765618311260098,0.957101333231028,0.983687481376334,0.0283265756641954,0.161243584550035,0.235024834628842,0.568082521749029,0.00655419075727544,0.0202087548349326,0.040691682396122,0.061452744843123,0.000456043855142441,0.00270579809596405,0.589451939795972,0.872388870898039,0.331078188653015,0.765618311260098,0.957101333231028,0.983687481376334,0.0283265756641954,0.161243584550035,0.235024834628842,0.568082521749029,0.00655419075727544,0.0202087548349326,0.040691682396122,0.061452744843123
"Elsinoe australis",0.277667237437674,0.321052743287311,0.0320593832625863,0.197699530119282,0.45554509378933,0.791459633005141,0.628298637175921,0.915958566751493,0.276968909796369,0.445558680976768,0.822318484676261,0.894875998030048,0.0163113324805259,0.0431085215556755,0.0600527209282702,0.0838471952583396,0.277667237437674,0.321052743287311,0.0320593832625863,0.197699530119282,0.45554509378933,0.791459633005141,0.628298637175921,0.915958566751493,0.276968909796369,0.445558680976768,0.822318484676261,0.894875998030048,0.0163113324805259,0.0431085215556755,0.0600527209282702,0.0838471952583396
"Piromyces sp. E2",0.00619239552923261,0.0169717507097486,0.988150084098405,0.99604989894875,0.0625508190692884,0.330625757937667,0.00435893613207771,0.310593001975727,0.172709663226209,0.387288335719377,0.513249682413089,0.786047451441449,0.0275985799177922,0.0583512832547607,0.0196051604194522,0.0337391132799875,0.00619239552923261,0.0169717507097486,0.988150084098405,0.99604989894875,0.0625508190692884,0.330625757937667,0.00435893613207771,0.310593001975727,0.172709663226209,0.387288335719377,0.513249682413089,0.786047451441449,0.0275985799177922,0.0583512832547607,0.0196051604194522,0.0337391132799875
"Mucor circinelloides",0.0273099506021802,0.0448708549438932,0.58264048829872,0.872388870898039,0.758645588999321,0.905480219128222,0.787962636692995,0.971820585254694,0.00713996576999511,0.115609768588757,0.477845852118456,0.771193373561208,0.000629400224907618,0.00553655295527778,0.0118122500720234,0.0242807362591593,0.0273099506021802,0.0448708549438932,0.58264048829872,0.872388870898039,0.758645588999321,0.905480219128222,0.787962636692995,0.971820585254694,0.00713996576999511,0.115609768588757,0.477845852118456,0.771193373561208,0.000629400224907618,0.00553655295527778,0.0118122500720234,0.0242807362591593
"Amorphotheca resinae",0.0261731818740184,0.0440185331517582,0.0858137646174818,0.373542269511391,0.0482406995632719,0.274600905206317,0.118771313207891,0.436748977733233,0.386469512284249,0.539598941679894,0.0578723389278361,0.214127654032994,0.888670646865272,0.913355942611529,0.940764176529312,0.953651357029714,0.0261731818740184,0.0440185331517582,0.0858137646174818,0.373542269511391,0.0482406995632719,0.274600905206317,0.118771313207891,0.436748977733233,0.386469512284249,0.539598941679894,0.0578723389278361,0.214127654032994,0.888670646865272,0.913355942611529,0.940764176529312,0.953651357029714
"Colletotrichum tofieldiae",0.0233396375281345,0.0411222185019512,0.695717200973219,0.88763918744859,0.278003419108694,0.742052622770104,0.444963560757516,0.731717855467915,0.530990102193178,0.65488779270492,0.0340599285270352,0.180031050785758,0.262759744954007,0.318757723386829,0.602947890804306,0.628424562246741,0.0233396375281345,0.0411222185019512,0.695717200973219,0.88763918744859,0.278003419108694,0.742052622770104,0.444963560757516,0.731717855467915,0.530990102193178,0.65488779270492,0.0340599285270352,0.180031050785758,0.262759744954007,0.318757723386829,0.602947890804306,0.628424562246741
"Sporisorium reilianum",0.000325988212310076,0.0026803475234384,0.431183938700339,0.754753922184679,0.602742601560768,0.791459633005141,0.249675994823043,0.579972353371187,0.605898182927672,0.711689929153139,0.0412526343088999,0.190793433678662,0.540855363058037,0.615743028712227,0.249146123112486,0.275176315079462,0.000325988212310076,0.0026803475234384,0.431183938700339,0.754753922184679,0.602742601560768,0.791459633005141,0.249675994823043,0.579972353371187,0.605898182927672,0.711689929153139,0.0412526343088999,0.190793433678662,0.540855363058037,0.615743028712227,0.249146123112486,0.275176315079462
"Periconia macrospinosa",0.0336542152806398,0.049808238615347,0.44877260238008,0.754753922184679,0.54302227246062,0.791459633005141,0.306763260080283,0.613526520160566,0.605898182927672,0.711689929153139,0.424810060952281,0.74606549466865,0.0351032449902811,0.0683589507705475,0.0632065616029563,0.0866163992336809,0.0336542152806398,0.049808238615347,0.44877260238008,0.754753922184679,0.54302227246062,0.791459633005141,0.306763260080283,0.613526520160566,0.605898182927672,0.711689929153139,0.424810060952281,0.74606549466865,0.0351032449902811,0.0683589507705475,0.0632065616029563,0.0866163992336809
"Blastomyces gilchristii",0.0181890853821263,0.0373886755077042,0.688412941920024,0.88763918744859,0.559781109162302,0.791459633005141,0.690588448766363,0.94636194830946,0.754092509667112,0.820630084049504,0.597409314359523,0.855882485767955,0.000823001114973724,0.00553655295527778,0.177367477923867,0.201926051790248,0.0181890853821263,0.0373886755077042,0.688412941920024,0.88763918744859,0.559781109162302,0.791459633005141,0.690588448766363,0.94636194830946,0.754092509667112,0.820630084049504,0.597409314359523,0.855882485767955,0.000823001114973724,0.00553655295527778,0.177367477923867,0.201926051790248
"Cyberlindnera fabianii",0.00056041385218766,0.00287014240583077,0.155356962252514,0.518632212577301,0.383418612175678,0.791459633005141,0.165192157819796,0.529852486767016,0.0088826138533951,0.115609768588757,0.279910780659099,0.627678720265858,0.0195139533884323,0.0465816951852899,0.00190521919627253,0.00881163878276045,0.00056041385218766,0.00287014240583077,0.155356962252514,0.518632212577301,0.383418612175678,0.791459633005141,0.165192157819796,0.529852486767016,0.0088826138533951,0.115609768588757,0.279910780659099,0.627678720265858,0.0195139533884323,0.0465816951852899,0.00190521919627253,0.00881163878276045
"Rhizoctonia solani",0.30807006639754,0.350725921744891,0.44877260238008,0.754753922184679,0.154612029940181,0.532389328139854,0.821260508875383,0.980214155754489,0.631878401917537,0.730609402217152,0.635936142600468,0.855882485767955,0.0291950670136513,0.0583901340273025,0.000250925384234823,0.00202818087756505,0.30807006639754,0.350725921744891,0.44877260238008,0.754753922184679,0.154612029940181,0.532389328139854,0.821260508875383,0.980214155754489,0.631878401917537,0.730609402217152,0.635936142600468,0.855882485767955,0.0291950670136513,0.0583901340273025,0.000250925384234823,0.00202818087756505
"Spizellomyces punctatus",0.454112262579659,0.501556827326788,0.354556189216579,0.722690683089037,0.363224325413959,0.791459633005141,0.939969648914147,0.983687481376334,0.386469512284249,0.539598941679894,0.349810137900565,0.663742400695119,0.0944315921714973,0.147833904672454,0.099734379178701,0.119037807406837,0.454112262579659,0.501556827326788,0.354556189216579,0.722690683089037,0.363224325413959,0.791459633005141,0.939969648914147,0.983687481376334,0.386469512284249,0.539598941679894,0.349810137900565,0.663742400695119,0.0944315921714973,0.147833904672454,0.099734379178701,0.119037807406837
