"","2014_ZellerG-Median","2014_ZellerG-low-CI","2014_ZellerG-high-CI","2014_ZellerG-p-value","2015_FengQ-Median","2015_FengQ-low-CI","2015_FengQ-high-CI","2015_FengQ-p-value","2016_VogtmannE-Median","2016_VogtmannE-low-CI","2016_VogtmannE-high-CI","2016_VogtmannE-p-value","2019_Thom-Median","2019_Thom-low-CI","2019_Thom-high-CI","2019_Thom-p-value","2019_WirbelJ-Median","2019_WirbelJ-low-CI","2019_WirbelJ-high-CI","2019_WirbelJ-p-value","2019_Yachida-Median","2019_Yachida-low-CI","2019_Yachida-high-CI","2019_Yachida-p-value","2021_JunY_1-Median","2021_JunY_1-low-CI","2021_JunY_1-high-CI","2021_JunY_1-p-value","2021_JunY_2-Median","2021_JunY_2-low-CI","2021_JunY_2-high-CI","2021_JunY_2-p-value"
"Catenaria anguillulae",0.568991815833316,0.523584006133898,0.614465640752737,2.12308946468877e-120,-0.248745838273154,-0.333564177042014,-0.162720807562863,2.26836610700406e-08,-0.110825335184251,-0.199199853580209,-0.0242882241628026,0.0116690665349662,0.414948298225847,0.2752047652758,0.554696799834584,1.19619074062354e-08,0.25287614595929,0.119639350397546,0.388714165894736,0.000180805497018889,0.322735622088211,0.297722148847658,0.347730323481735,1.01844238711669e-136,-0.0707551863695822,-0.156842787380797,0.0137718062918472,0.101574672648919,0.223514284959446,0.184724977680134,0.262422839885184,1.71306251085268e-29
"Allomyces macrogynus",0.456637906741086,0.404755324194962,0.508381600585547,3.58300511941127e-63,-0.338429701371568,-0.401390258905239,-0.275262202745067,1.37258349313934e-23,-0.331430898317216,-0.404626540437234,-0.258327049899118,6.63012328586805e-18,-0.043719167360059,-0.168135625037692,0.0821434381142042,0.490271859069294,-0.296713286033696,-0.404838430220847,-0.183628501649941,2.71808865356732e-07,0.359435799458254,0.33990705400906,0.37897172628786,1.33587543601574e-266,-0.228197670052711,-0.301477273262386,-0.155209687062913,7.14840235380994e-10,-0.000557801879416335,-0.0314779368032272,0.0303103558124803,0.972528311649396
"Paramicrosporidium saccamoebae",-0.149514997776083,-0.235730648001751,-0.0636266593684119,0.000703402342715554,-0.277636974802884,-0.399064412244354,-0.152689019263195,1.8563861673074e-05,0.253624028072515,0.143203193791863,0.365052522020161,9.9784463889971e-06,0.499993085855288,0.24724942815683,0.749570823472266,9.94865521164993e-05,-0.168903715393837,-0.424529813234495,0.0637977119312297,0.150450672525395,0.293524818909514,0.255424593161006,0.331588678076188,1.28429943303442e-50,-0.624521277009404,-0.756449205704263,-0.495799481178213,3.92261595064751e-21,-0.408875240071401,-0.472273941604199,-0.345907419031019,8.96267916529343e-37
"Rozella allomycis",-0.611864269373289,-0.668292327415513,-0.555279489874044,6.04724344963837e-94,0.00472719235301511,-0.0876653238435745,0.0968326315265543,0.921192267197567,0.166860586841479,0.078359548960791,0.256260347810369,0.000196773152721047,1.20664734054486,0.955355829160017,1.46191607047278,2.55705827041911e-20,-0.675751325096381,-0.824334175374685,-0.529201434040008,1.1088857772262e-17,-0.0769227852980091,-0.102356156526501,-0.0515418187056819,2.72985396198659e-09,-0.670846873711974,-0.761304270484169,-0.579617249059853,4.98978739628023e-44,-0.477839109227629,-0.517325672865582,-0.438256381485873,6.18291211459848e-119
"Basidiobolus meristosporus",-0.213345004131898,-0.252504460266437,-0.17451118988784,1.61387712819821e-26,-0.028730228265705,-0.0788366802379793,0.0216932395774203,0.262067320281091,-0.0680823135355614,-0.143528038251556,0.00792024373022319,0.0801474393692805,-0.0436234453480431,-0.162313949100901,0.0750670009396255,0.472590200795728,-0.269668516781739,-0.386953868095461,-0.152703637812032,8.47363980209834e-06,0.0155109923318122,-0.00513066389896528,0.036100255862103,0.140487118941476,-0.264617769981679,-0.32632907759866,-0.204090682890209,6.62311271475808e-17,-0.26120538974386,-0.296744963335405,-0.225713770826988,1.73068055420616e-46
"Conidiobolus coronatus",-0.269243323200911,-0.329566176307896,-0.209485959715322,9.45753434258528e-19,0.107946481399753,0.0464927119546301,0.167987593552419,0.000618180276325395,0.115907580986643,0.0240140527797517,0.20653997582766,0.0131826275658361,1.14180190816229,0.990925469640789,1.29452236754633,4.92948422457617e-39,-0.985706116977158,-1.12629629664844,-0.843480239325469,1.89887160931157e-32,0.336106462282268,0.316490243515631,0.355738363223834,9.76836255574286e-240,-0.286272648222903,-0.361711680362226,-0.210397844911506,1.99561421482171e-13,-0.200905666619365,-0.234150137827174,-0.167559432984049,1.32179128389065e-31
"Gonapodya prolifera",-0.15345073623238,-0.194909657762367,-0.112253266222718,3.19185980928619e-13,-0.00337178994714206,-0.071586417334556,0.0675600123751725,0.925143739312181,-0.109892555729197,-0.174622560549697,-0.0428049348379243,0.00119027971671132,0.245539751539659,0.153134901966019,0.335379759848168,2.01755485735687e-07,-0.49139967153351,-0.606370019984032,-0.376589462809853,8.05864899224238e-15,0.202254307799153,0.182478004721278,0.222081878422482,1.59205200712779e-88,-0.337667680666691,-0.415469498275248,-0.260025845319721,1.56376715486311e-17,-0.211616308077224,-0.246575596536478,-0.176719855683156,2.1017698628625e-32
"Spizellomyces punctatus",-0.191982593946481,-0.246140872634747,-0.138948073310552,1.06731243818765e-12,-0.141576237213393,-0.215289207098347,-0.0660245537962416,0.000238384002472679,-0.350471614526302,-0.480902689866619,-0.218888951546999,2.2172635549288e-07,0.0101623203159724,-0.137820302076306,0.156420166096194,0.892003187467618,-0.382640436331012,-0.520056837199763,-0.246159680320708,4.1553112694356e-08,-0.218379891574995,-0.248345076586853,-0.188469750546318,1.26416831453108e-46,-0.572469001544893,-0.665965815829725,-0.479883977635395,1.73496956528729e-32,-0.347910000358677,-0.40114774387442,-0.294549171052985,1.55855794379528e-36
"Batrachochytrium salamandrivorans",-0.407022788665874,-0.452606983408231,-0.361801514866634,3.14988880585122e-68,-0.371859634777469,-0.450270139329207,-0.292972663641696,4.70433982989156e-20,0.077388912223905,0.00517297577852978,0.149160004908496,0.0356527336174298,0.165483009104008,0.0157175652952021,0.314731038846695,0.0303444926919341,-0.372121379061871,-0.474172240546343,-0.27422183212565,3.78970646750284e-13,0.0976945415781392,0.0795983230203847,0.115752559948182,5.01783031882356e-26,-0.604463862266631,-0.677658790371624,-0.530724893178235,3.10070899376873e-54,-0.440557706197943,-0.475621780726936,-0.405574551689584,3.3686718141109e-130
"Batrachochytrium dendrobatidis",-0.654087434486075,-0.768446528581783,-0.544103013721877,4.29389423478538e-33,0.226590567074136,0.0752761493726115,0.426361810526778,0.0028505860524841,-0.42665168410981,-0.684977624609478,-0.213764423117797,2.83591860609418e-05,0.706204312766735,0.262855245116219,1.34172791824707,1.44607879015283e-10,-0.0579514384297432,-0.340623380815348,0.121992213815934,0.543407097429308,0.299205635910354,0.259961378187922,0.339164271717226,4.16512066098667e-60,-0.277098659436265,-0.430829621770469,-0.128168596386921,0.000216289614949735,-0.0949495442930831,-0.164559521645947,-0.0266464945741432,0.00629635913768273
"Rhizoclosmatium globosum",-0.353113497931502,-0.394625965239068,-0.311959565567302,4.22715568954601e-60,-0.315347910747607,-0.372559373594257,-0.258144758299521,4.13603559035317e-26,-0.186450325149145,-0.25925267759834,-0.114279737932619,5.44806627362562e-07,0.0445262765538914,-0.0599949881912435,0.151339451463057,0.405027424954057,-0.231301165916261,-0.365069924225056,-0.0984825156323525,0.000797576273981971,-0.00537228331630692,-0.0221048685975885,0.0113807531083999,0.530223276536772,-0.131826373081275,-0.193814411785719,-0.0701700056034548,3.15836436962473e-05,-0.291498018273939,-0.321264955004837,-0.261695503861375,2.27547536935412e-80
"Anaeromyces robustus",-0.697982403704648,-0.74663082832572,-0.649374392708907,7.72237877525831e-172,-0.121630898072343,-0.175125288381193,-0.0677003989650035,1.11626159894927e-05,-0.072598172104821,-0.15354547718453,0.0107443417946399,0.0873949439425841,0.762112672180353,0.616853234581842,0.912957025811305,5.99168681884483e-23,0.137950073008618,0.0209008203531293,0.256713827740573,0.0213024377017676,0.169649218090641,0.154355248902829,0.18500750508678,3.7309977867812e-103,-0.294044212805049,-0.341562179091989,-0.246567423177216,6.91370705197377e-33,-0.321856441923727,-0.348966429961434,-0.294519006376105,1.2926304717198e-112
"Piromyces sp. E2",-0.688897460978883,-0.746237559197933,-0.632200827046886,4.77216593442265e-128,0.0346825126316649,-0.0227717468873793,0.0931762803488245,0.238157389661937,-0.363161417433176,-0.443424563740439,-0.282169326509888,8.65982387602577e-17,1.10910982167225,0.970882068589137,1.25484796425008,6.17054785438714e-41,-0.442913836053981,-0.547580382322811,-0.333709255197307,1.90260520217484e-14,-0.0528457617429651,-0.0685726278367519,-0.0370981802730575,5.00625746994489e-11,-0.510776627027588,-0.577181801677255,-0.444058204272964,3.05537436567038e-47,-0.385380824127968,-0.41694908901715,-0.353773157063058,1.26724013921704e-120
"Piromyces finnis",-0.565576184552211,-0.61864043673164,-0.513095054745669,3.45846107486509e-98,0.205731020900954,0.144886003493342,0.266420795637091,3.95317109035268e-11,0.146348980585768,0.0769622209040486,0.216249979415296,2.42247043366099e-05,0.335469483272633,0.176359169167849,0.500533538659848,3.64469349977754e-05,-0.104804442543415,-0.272119033259625,0.0584077499582559,0.198207556597565,0.155611896755852,0.140221893381275,0.171004145192606,1.73388361554931e-86,0.116939615374373,0.0612462936158108,0.172524505149317,3.63462984254652e-05,-0.0604173945708633,-0.0866604375688587,-0.0341170383478593,6.58743137765209e-06
"Neocallimastix californiae",-0.663145948925862,-0.713126197896297,-0.614089588228374,3.08980177310473e-142,0.0631107066027763,-0.00154999596176695,0.127263468186583,0.0558031902546406,-0.238952422550424,-0.306493817194483,-0.16855051814039,1.1630351236811e-10,0.447003298321271,0.318514234577679,0.575335680303323,3.23284210903227e-10,0.111953311579882,-0.0229746297363289,0.246023592264165,0.10242530285879,0.0549782825504514,0.0416140682686216,0.0683541754083236,7.68885825019429e-16,-0.230734613302464,-0.286707466140353,-0.174859466342742,7.01709849439007e-16,-0.227181107031099,-0.252041180656181,-0.202386939165962,2.79221348885733e-69
"Mortierella elongata",-0.285221095701558,-0.325602491582747,-0.245291449875273,3.61660319669197e-41,-0.0801071744140184,-0.134361416403652,-0.0252721962265603,0.00417495687162269,-0.315941880086103,-0.386117689470387,-0.244548887939804,8.64219679209405e-18,0.316880136541913,0.203151928034666,0.430156127753119,4.38089806382753e-08,-0.735562926756935,-0.862542464951473,-0.60897110109313,2.52332522988018e-25,0.0672070713643287,0.0499722089046227,0.084372067877291,2.32184448473635e-14,-0.0229610622804179,-0.0848144311303574,0.0392436627930783,0.464012354091903,-0.122597961620227,-0.153904656976061,-0.0911437690044314,2.27546465917046e-14
"Mortierella verticillata",0.0781220504167654,0.0373712283442394,0.119105516345859,0.000172972773797915,-0.0534335391905343,-0.114699496137602,0.00808411619565437,0.0876588695357244,-0.162048839632241,-0.230151391885428,-0.0944503045019808,2.91460100476355e-06,-0.0655792234323011,-0.156537170018783,0.0295779232882473,0.171473193583412,0.19286800606018,0.0928882835745253,0.295802695917748,0.000184783012412889,0.0800414695339586,0.0616281623423285,0.098417404434307,1.5962633934548e-17,0.127869193371808,0.0904062679102558,0.165543697282245,4.1752902357618e-11,0.208046019530508,0.187600915252569,0.228572736827644,7.40197669697191e-87
"Rhizophagus irregularis",-0.728144262563417,-0.772714936270286,-0.684187365321531,4.79090120421283e-229,0.0538886200814213,0.000664494759032964,0.106703909018469,0.0470475696046655,-0.205331160702071,-0.273622824426321,-0.137064851584069,2.22501315911999e-08,0.43516059801509,0.34244093564205,0.526814857815797,5.3258730209672e-19,-0.771354358954156,-0.953042934803164,-0.5983110407933,2.57693122484512e-18,-0.36658626983768,-0.381190821774724,-0.351953681199647,0,-0.355036848077259,-0.410074919181469,-0.301079198044362,1.57034265688306e-35,-0.478614314831689,-0.501329066811161,-0.455908964996063,0
"Rhizophagus clarus",-0.651774666148773,-0.696107653763258,-0.607882238584134,1.54403893476885e-179,-0.305831638448879,-0.356171301709634,-0.255600736733824,6.12192991270092e-31,-0.151763778089731,-0.20749538815974,-0.0947526087031008,4.04087679648944e-07,0.579729598438937,0.46948938912554,0.689347900368247,1.19343713938978e-21,-0.699915654765864,-0.80503885916644,-0.598451716411075,5.01852085329076e-34,0.10080870143836,0.0891928719584147,0.112419548260788,1.91020839974041e-64,-0.784834290742986,-0.842847455894555,-0.727133104045552,1.03653663527571e-133,-0.343756664511232,-0.367399300130427,-0.320127727898823,3.87091542333225e-173
"Bifiguratus adelaidae",-0.196965628754571,-0.261750671234458,-0.132861807428826,2.15549187360808e-09,-0.51638374406107,-0.618287356620986,-0.4171315070755,2.99706158867942e-24,-0.0547515308276993,-0.146251497351832,0.0354471610273258,0.231744899940395,0.0515229455265648,-0.0771403700327153,0.181395347931797,0.417266064542114,-0.625145590554807,-0.815340802963261,-0.440011942492342,3.23028697326146e-11,0.138755868139178,0.107658089158994,0.17000828609833,2.41533149203546e-18,-0.19207755691085,-0.282425998870769,-0.101808021440018,3.14518094296893e-05,-0.321999738410667,-0.362691291983017,-0.281438994321675,2.54658159164797e-53
"Syncephalastrum racemosum",-0.263346291744977,-0.308608701778583,-0.217843233425438,1.84282413417773e-28,0.453793875632042,0.383863201638177,0.523973570129091,3.60590640524614e-34,-0.140751958702918,-0.235541815894841,-0.0441381479577,0.00427411564684219,-0.298481936235216,-0.440815624016803,-0.156962514917156,3.2513069755636e-05,-0.373933347505749,-0.480169327943196,-0.268519250234947,1.10878102777347e-11,0.140469860265437,0.112059344225849,0.168878823753942,4.54270459786873e-22,-0.374273657084268,-0.440431364514472,-0.307988153255506,4.48299582566599e-28,-0.649198636075902,-0.683132655938876,-0.615253088432287,1.06836108656727e-273
