"","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Mean",84.995205697208,100,60.2350412357345,12.7897844282575,27.2983541088976,17.4580038899268,38.227493581937,7.07370002133777,22.0211474013175,19.4775187770944,7.95800463181083,33.866619694658,9.10774647605534,5.07944196187658,20.7606529988864,16.8888268394818,3.68030885322067,5.55694209155376,3.85435520570327,2.5998265193368,2.31350497489858,8.75294293865685,13.4607124623151,5.69091793564496,6.36935284806715,6.72525459576473,18.6210140253389,6.2617907457079,27.1326794531608,18.9836477642461,6.32324980179108
"CRC.1",84.354570034639,100,76.1836297788419,6.63450397882668,34.9988729537636,21.6885158607015,49.6870128165931,11.9378043460331,25.1088307848928,37.7574270155029,18.2034996873706,17.4942888264726,18.4808285094709,23.0053946890461,20.237800683111,39.6511908711941,14.1723723964439,21.339553926525,26.2844156663583,0,11.5365383388792,9.42025395259473,22.8239772191434,9.04354186023947,15.8646344598626,5.49968694100657,19.216711887083,7.01240490602846,11.5276184591434,25.151376767287,10.6679982752236
"CRC.2",93.2294555190958,100,63.7788507052582,6.81227799540269,32.0794103195191,27.8526568481815,51.1183988332038,0,20.6646307895278,19.066299272374,25.0280215077102,30.9543993366482,1.17994468310013,6.1416945363522,14.2913073199354,24.7043547222068,14.2186350292982,11.4410773589622,1.08208684232383,17.5599620195954,11.5985114101066,7.73774226894968,8.1891956296502,7.12900205350689,7.98161933244941,0.384561955963469,20.0660079908543,21.0463639359922,27.559927717368,20.8428425294858,10.2273272597698
"CRC.3",84.0460039272932,100,57.7984914841556,14.3063827885432,25.7381572269617,15.6298582737981,35.1836905211966,7.34989948341808,21.8047515548443,17.2439326853834,4.54356564037844,36.2771885979325,8.92708644599781,2.70591629917094,21.6346777482271,13.0665903501771,1.05151013830808,2.84859870375631,1.39713119354381,1.05478789672157,0,8.79642914562801,12.9492439717947,5.09207943033791,4.98090933604494,7.67103713258466,18.3659275469315,4.31989232688229,29.029906044387,17.980282293211,5.29214656036468
"CRC.4",84.0460039272932,100,57.7984914841556,14.3063827885432,25.7381572269617,15.6298582737981,35.1836905211966,7.34989948341808,21.8047515548443,17.2439326853834,4.54356564037844,36.2771885979325,8.92708644599781,2.70591629917094,21.6346777482271,13.0665903501771,1.05151013830808,2.84859870375631,1.39713119354381,1.05478789672157,0,8.79642914562801,12.9492439717947,5.09207943033791,4.98090933604494,7.67103713258466,18.3659275469315,4.31989232688229,29.029906044387,17.980282293211,5.29214656036468
"CRC.5",84.0460039272932,100,57.7984914841556,14.3063827885432,25.7381572269617,15.6298582737981,35.1836905211966,7.34989948341808,21.8047515548443,17.2439326853834,4.54356564037844,36.2771885979325,8.92708644599781,2.70591629917094,21.6346777482271,13.0665903501771,1.05151013830808,2.84859870375631,1.39713119354381,1.05478789672157,0,8.79642914562801,12.9492439717947,5.09207943033791,4.98090933604494,7.67103713258466,18.3659275469315,4.31989232688229,29.029906044387,17.980282293211,5.29214656036468
"CRC.6",84.0460039272932,100,57.7984914841556,14.3063827885432,25.7381572269617,15.6298582737981,35.1836905211966,7.34989948341808,21.8047515548443,17.2439326853834,4.54356564037844,36.2771885979325,8.92708644599781,2.70591629917094,21.6346777482271,13.0665903501771,1.05151013830808,2.84859870375631,1.39713119354381,1.05478789672157,0,8.79642914562801,12.9492439717947,5.09207943033791,4.98090933604494,7.67103713258466,18.3659275469315,4.31989232688229,29.029906044387,17.980282293211,5.29214656036468
"CRC.7",84.0460039272932,100,57.7984914841556,14.3063827885432,25.7381572269617,15.6298582737981,35.1836905211966,7.34989948341808,21.8047515548443,17.2439326853834,4.54356564037844,36.2771885979325,8.92708644599781,2.70591629917094,21.6346777482271,13.0665903501771,1.05151013830808,2.84859870375631,1.39713119354381,1.05478789672157,0,8.79642914562801,12.9492439717947,5.09207943033791,4.98090933604494,7.67103713258466,18.3659275469315,4.31989232688229,29.029906044387,17.980282293211,5.29214656036468
"CRC.8",84.0460039272932,100,57.7984914841556,14.3063827885432,25.7381572269617,15.6298582737981,35.1836905211966,7.34989948341808,21.8047515548443,17.2439326853834,4.54356564037844,36.2771885979325,8.92708644599781,2.70591629917094,21.6346777482271,13.0665903501771,1.05151013830808,2.84859870375631,1.39713119354381,1.05478789672157,0,8.79642914562801,12.9492439717947,5.09207943033791,4.98090933604494,7.67103713258466,18.3659275469315,4.31989232688229,29.029906044387,17.980282293211,5.29214656036468
"CRC.9",84.0460039272932,100,57.7984914841556,14.3063827885432,25.7381572269617,15.6298582737981,35.1836905211966,7.34989948341808,21.8047515548443,17.2439326853834,4.54356564037844,36.2771885979325,8.92708644599781,2.70591629917094,21.6346777482271,13.0665903501771,1.05151013830808,2.84859870375631,1.39713119354381,1.05478789672157,0,8.79642914562801,12.9492439717947,5.09207943033791,4.98090933604494,7.67103713258466,18.3659275469315,4.31989232688229,29.029906044387,17.980282293211,5.29214656036468
