"","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Mean",67.3734030837019,79.1489313543481,79.2324860749157,32.7198836797295,69.8927571273131,43.8629142359186,51.53517042452,24.8138224164724,45.3377817044336,63.4790965849703,68.2338853057922,48.1550343918813,21.1217175500557,79.2893486738013,34.5925515580086,10.9579112257292,16.0266553707048,98.9731395799882,9.38255664267888,31.4148539134904,1.27076134461319,16.0227067853779,4.6380573448153,23.2362180093418,59.5360532758863,24.3001162391815,14.2946076739939,8.99106666497932,17.7945389332663,28.4280287124362,12.4013741583943
"CRC.1",30.4711452728797,84.8172067993637,81.010781604732,38.9090491385728,50.9097515384412,19.948109698806,45.1863374099048,17.5291702713899,47.656191878872,85.747140402459,74.7878554587545,48.8491437193642,28.3535229054715,100,32.698744944431,26.4800815570658,5.95030479857408,89.7313957998819,12.8331929695328,27.230367236786,12.7076134461319,33.3949809648479,22.7914693712176,25.4707301395242,98.5492731104389,12.0220146570237,21.371140324696,37.8347073338749,8.26687278348253,15.2047941142816,0
"CRC.2",71.4736539515711,78.5191229715686,79.0348976827139,32.0321986287469,72.001979970521,46.5201147400423,52.2405963150327,25.6232282103704,45.0801805739404,61.0048694941383,67.5056663999075,48.0779111332721,20.3181836216762,76.9881651931125,34.8029745150727,9.23322563335852,17.1462498787193,100,8.99915260636178,31.8797968775686,0,14.0924540987701,2.62101156410393,22.9879388837659,55.2012510720471,25.6643497483101,13.5083262683603,5.78621770176871,18.8531685054645,29.89727700112,13.7793046204382
"CRC.3",71.4736539515711,78.5191229715686,79.0348976827139,32.0321986287469,72.001979970521,46.5201147400423,52.2405963150327,25.6232282103704,45.0801805739404,61.0048694941383,67.5056663999075,48.0779111332721,20.3181836216762,76.9881651931125,34.8029745150727,9.23322563335852,17.1462498787193,100,8.99915260636178,31.8797968775686,0,14.0924540987701,2.62101156410393,22.9879388837659,55.2012510720471,25.6643497483101,13.5083262683603,5.78621770176871,18.8531685054645,29.89727700112,13.7793046204382
"CRC.4",71.4736539515711,78.5191229715686,79.0348976827139,32.0321986287469,72.001979970521,46.5201147400423,52.2405963150327,25.6232282103704,45.0801805739404,61.0048694941383,67.5056663999075,48.0779111332721,20.3181836216762,76.9881651931125,34.8029745150727,9.23322563335852,17.1462498787193,100,8.99915260636178,31.8797968775686,0,14.0924540987701,2.62101156410393,22.9879388837659,55.2012510720471,25.6643497483101,13.5083262683603,5.78621770176871,18.8531685054645,29.89727700112,13.7793046204382
"CRC.5",71.4736539515711,78.5191229715686,79.0348976827139,32.0321986287469,72.001979970521,46.5201147400423,52.2405963150327,25.6232282103704,45.0801805739404,61.0048694941383,67.5056663999075,48.0779111332721,20.3181836216762,76.9881651931125,34.8029745150727,9.23322563335852,17.1462498787193,100,8.99915260636178,31.8797968775686,0,14.0924540987701,2.62101156410393,22.9879388837659,55.2012510720471,25.6643497483101,13.5083262683603,5.78621770176871,18.8531685054645,29.89727700112,13.7793046204382
"CRC.6",71.4736539515711,78.5191229715686,79.0348976827139,32.0321986287469,72.001979970521,46.5201147400423,52.2405963150327,25.6232282103704,45.0801805739404,61.0048694941383,67.5056663999075,48.0779111332721,20.3181836216762,76.9881651931125,34.8029745150727,9.23322563335852,17.1462498787193,100,8.99915260636178,31.8797968775686,0,14.0924540987701,2.62101156410393,22.9879388837659,55.2012510720471,25.6643497483101,13.5083262683603,5.78621770176871,18.8531685054645,29.89727700112,13.7793046204382
"CRC.7",71.4736539515711,78.5191229715686,79.0348976827139,32.0321986287469,72.001979970521,46.5201147400423,52.2405963150327,25.6232282103704,45.0801805739404,61.0048694941383,67.5056663999075,48.0779111332721,20.3181836216762,76.9881651931125,34.8029745150727,9.23322563335852,17.1462498787193,100,8.99915260636178,31.8797968775686,0,14.0924540987701,2.62101156410393,22.9879388837659,55.2012510720471,25.6643497483101,13.5083262683603,5.78621770176871,18.8531685054645,29.89727700112,13.7793046204382
"CRC.8",71.4736539515711,78.5191229715686,79.0348976827139,32.0321986287469,72.001979970521,46.5201147400423,52.2405963150327,25.6232282103704,45.0801805739404,61.0048694941383,67.5056663999075,48.0779111332721,20.3181836216762,76.9881651931125,34.8029745150727,9.23322563335852,17.1462498787193,100,8.99915260636178,31.8797968775686,0,14.0924540987701,2.62101156410393,22.9879388837659,55.2012510720471,25.6643497483101,13.5083262683603,5.78621770176871,18.8531685054645,29.89727700112,13.7793046204382
"CRC.9",71.4736539515711,78.5191229715686,79.0348976827139,32.0321986287469,72.001979970521,46.5201147400423,52.2405963150327,25.6232282103704,45.0801805739404,61.0048694941383,67.5056663999075,48.0779111332721,20.3181836216762,76.9881651931125,34.8029745150727,9.23322563335852,17.1462498787193,100,8.99915260636178,31.8797968775686,0,14.0924540987701,2.62101156410393,22.9879388837659,55.2012510720471,25.6643497483101,13.5083262683603,5.78621770176871,18.8531685054645,29.89727700112,13.7793046204382
