"","unclassified","Bacteria","Eukaryota","Ratio"
"CCMD41202658ST",6706243,4937016,18885,0.382518509156138
"CCMD41521570ST",7188142,7349170,17446,0.237387351224696
"CCMD42428553ST-21-0",15320890,9851559,23978,0.243392949278383
"CCMD42956136ST",1827511,17098770,23434,0.137050793712062
"CCMD45004878ST",8340160,4895821,36898,0.753663175185531
"CCMD45812507ST",6924211,8587996,16071,0.187133296289379
"CCMD45988061ST-21-0",6767675,7819103,19853,0.253903804566841
"CCMD46222674ST-21-0",14994174,12299103,26353,0.214267658381266
"CCMD46727384ST",8495584,10452530,30536,0.29213979773318
"CCMD46947453ST-21-0",15601365,16158967,21848,0.135206662653621
"CCMD48236717ST-21-0",23950592,10948214,59196,0.540690929132368
"CCMD49025643ST",6546060,15570804,38864,0.249595332392598
"CCMD49461418ST",5677325,3749982,11872,0.316588186289961
"CCMD49942357ST",4632840,9303619,20380,0.219054542108829
"CCMD50071957ST-21-0",8399458,16399100,11107,0.0677293266093871
"CCMD50300306ST",7657526,8833641,26645,0.301631003569196
"CCMD50529145ST",6879506,6960230,24675,0.35451414680262
"CCMD50538120ST",4547907,4622726,35857,0.775667863507376
"CCMD51154251ST",5236014,10988131,20488,0.186455731188498
"CCMD51228890ST",5403873,9262812,19881,0.21463244638885
"CCMD51864103ST-21-0",15522448,15600510,17271,0.110707919164181
"CCMD52117727ST",2423989,7996515,16637,0.208053133146127
"CCMD52145360ST",4433031,5452237,9145,0.167729319176698
"CCMD53508245ST",6711198,13821910,24896,0.180119824250049
"CCMD53522274ST",7035316,7668898,17084,0.222769946868507
"CCMD54057834ST",4737541,6892307,13720,0.199062519995119
"CCMD56948710ST",4538210,9807576,13754,0.140238525809028
"CCMD59540613ST",4070510,7871000,11534,0.146537924024902
"CCMD59583015ST",4297389,6480316,9038,0.139468507399948
"CCMD60079086ST-21-0",10129753,11983295,12614,0.105263201815527
"CCMD63399960ST-21-0",15366712,16403997,20026,0.122080002818825
"CCMD64503764ST-21-0",9583972,22662181,19723,0.0870304583658563
"CCMD64776337ST-21-0",10408916,19552062,12703,0.0649701294932473
"CCMD65222621ST",4103967,4979671,9150,0.183747078873283
"CCMD65406197ST",4685097,7562716,20525,0.271397207035144
"CCMD66848156ST",5193981,9557030,14571,0.152463683801348
"CCMD67373733ST",13115764,7809330,37667,0.4823333115645
"CCMD68973846ST",3335072,5505477,9712,0.176406149730532
"CCMD71242853ST",4676845,7134168,10759,0.150809456687872
"CCMD71915439ST",2334883,6226048,8761,0.140715265927921
"CCMD72666896ST",5937571,8323914,15344,0.184336359073388
"CCMD72690923ST",5759552,2095595,16095,0.768039625977348
"CCMD72895164ST-21-0",10733281,20144295,14868,0.0738074973584332
"CCMD73128545ST",5642624,7467130,14568,0.195095036513359
"CCMD74592084ST",5515840,15678943,17636,0.112482072292756
"CCMD74930188ST-21-0",7226849,18892488,7707,0.0407939917706974
"CCMD75147712ST",1786095,7336098,9036,0.123171746069913
"CCMD76222476ST",6586603,4153668,48002,1.15565326838833
"CCMD76409700ST",7345084,8896997,26589,0.2988536469103
"CCMD79349503ST",3428674,6243815,10213,0.163569868742107
"CCMD79987997ST-21-0",6287349,25625937,8214,0.0320534620841376
"CCMD82866709ST-21-0",12641130,10002133,26210,0.262044105992192
