Sample	raw pair1	raw pair2	trimmed pair1	trimmed pair2	trimmed orphan1	trimmed orphan2	decontaminated Homo_sapiens pair1	decontaminated Homo_sapiens pair2	decontaminated Homo_sapiens orphan1	decontaminated Homo_sapiens orphan2	final pair1	final pair2	final orphan1	final orphan2
CCIS07539127ST-4-0	32025452.0	32025452.0	30584106.0	30584106.0	920065.0	472063.0	30583304.0	30583304.0	920311.0	472325.0	30583304.0	30583304.0	920311.0	472325.0
CCIS07648107ST-4-0	30986245.0	30986245.0	29619561.0	29619561.0	871396.0	444649.0	29619444.0	29619444.0	871441.0	444709.0	29619444.0	29619444.0	871441.0	444709.0
CCIS08668806ST-3-0	8467141.0	8467141.0	7613495.0	7613495.0	331972.0	474666.0	7613006.0	7613006.0	332088.0	474815.0	7613006.0	7613006.0	332088.0	474815.0
CCIS09568613ST-4-0	35354460.0	35354460.0	33633376.0	33633376.0	1127584.0	533581.0	33633169.0	33633169.0	1127659.0	533643.0	33633169.0	33633169.0	1127659.0	533643.0
CCIS10706551ST-3-0	28855308.0	28855308.0	26603275.0	26603275.0	939978.0	1207069.0	26601630.0	26601630.0	940285.0	1207457.0	26601630.0	26601630.0	940285.0	1207457.0
CCIS10793554ST-4-0	18941421.0	18941421.0	17914816.0	17914816.0	682647.0	309039.0	17914773.0	17914773.0	682660.0	309061.0	17914773.0	17914773.0	682660.0	309061.0
CCIS11015875ST-4-0	26824567.0	26824567.0	25482146.0	25482146.0	774197.0	518739.0	25481848.0	25481848.0	774289.0	518851.0	25481848.0	25481848.0	774289.0	518851.0
CCIS11019776ST-4-0	22249555.0	22249555.0	20256722.0	20256722.0	602573.0	1303618.0	20256094.0	20256094.0	602729.0	1303825.0	20256094.0	20256094.0	602729.0	1303825.0
CCIS11354283ST-4-0	28417199.0	28417199.0	26919017.0	26919017.0	1028205.0	416512.0	26918339.0	26918339.0	1028442.0	416741.0	26918339.0	26918339.0	1028442.0	416741.0
CCIS11362406ST-4-0	46574413.0	46574413.0	43862082.0	43862082.0	1412545.0	1195185.0	43861924.0	43861924.0	1412606.0	1195247.0	43861924.0	43861924.0	1412606.0	1195247.0
