"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum"
"Mean",100,54.1639458353608,52.7411974603328,49.4049279375738,15.4728293868463,40.4799903891694,28.7824329123226,22.1267169216554,13.0339888100769,1.7803350090429,4.72511561332103,9.10236752626203,42.6990147113764,21.7749365629077,6.72048254318348,9.03679198937377,10.5816296176226,7.52201978773081,23.2199934203868,57.8758751486016,10.7343345757546,9.80443009533898,40.012376750645,12.2740116472994,12.702611259117,15.000931550983,19.3046874856398,18.444576622235,21.7892406699149,18.1605769475596,16.6514128067224,16.4690410757241,15.7041632942561
"CRC.1",100,60.6627020507358,47.6260196563078,35.7160461234896,0.279289852429701,26.218113613387,9.64250580037716,17.2117319484791,15.8884281436627,0,7.34863282611731,10.5480639244109,39.2114893355155,24.504118926045,5.31213068997396,10.0981459495834,12.890301382158,2.76988324098634,16.2592666063343,38.5259296061723,13.9943983556306,7.40594320681284,38.1449325821511,7.95222558047375,3.42804127415639,13.5016299824345,5.8607319433259,6.89346833920874,7.14292275387419,18.6331247911611,4.92761321367964,22.5153757547236,0.788460587089724
"CRC.2",100,76.9543900758947,75.4818482032482,50.6660062157248,37.0076883822331,60.2617072737028,46.3551553371559,40.8311034632317,31.7379127155142,0,6.93705799014276,22.4214726403245,77.7210185661996,31.0326150057078,18.7541909561975,6.65989632711877,19.1703554592902,0.226121165043676,20.7933683486223,63.1145534875827,10.2842642281846,13.0493041611031,53.0990700870199,26.3137014273593,32.219880808119,31.8123387476392,35.4951503992116,24.4678202789936,31.8065047737887,19.7009885629939,28.0083921577106,37.8229235360226,34.8688218276783
"CRC.3",100,63.794530781441,54.0158574775596,58.9990542324113,10.2410832088547,47.1158958056922,43.9428770544676,26.2108326807726,4.95496767191121,0,6.91315559889293,10.7586772251573,51.3983801920865,24.3731468547539,2.15904786000813,10.8405310259519,8.51166833609244,10.2473960888466,24.8155783939081,73.6667824741875,20.7661707934328,5.53565332684765,43.7809690767962,15.0507774425558,8.41764533053056,24.2828558394725,19.2272021654001,26.2342426239684,27.1240880336394,9.71431816334625,18.88067474899,15.996848033787,28.8744286662572
"CRC.4",100,37.2110607753034,47.0601692083836,42.9177525267195,19.1192456995955,32.4641249454587,14.0137899419556,14.5952507704383,15.7234191384867,4.45083752260725,1.32821073034464,3.75485744931392,26.1160296109256,16.1800110695771,8.6255780864077,7.561938378307,9.9272414976021,7.80865227897294,23.9712464183197,45.6127846238777,0,13.8616100695208,33.4389721325236,7.06776992373451,14.426902296693,1.8909808554666,18.695545963065,12.0368767770684,17.6116567592321,26.1035958670139,14.5138559249683,10.0911798328368,1.47165896569106
"CRC.5",100,63.794530781441,54.0158574775596,58.9990542324113,10.2410832088547,47.1158958056922,43.9428770544676,26.2108326807726,4.95496767191121,0,6.91315559889293,10.7586772251573,51.3983801920865,24.3731468547539,2.15904786000813,10.8405310259519,8.51166833609244,10.2473960888466,24.8155783939081,73.6667824741875,20.7661707934328,5.53565332684765,43.7809690767962,15.0507774425558,8.41764533053056,24.2828558394725,19.2272021654001,26.2342426239684,27.1240880336394,9.71431816334625,18.88067474899,15.996848033787,28.8744286662572
"CRC.6",100,37.2110607753034,47.0601692083836,42.9177525267195,19.1192456995955,32.4641249454587,14.0137899419556,14.5952507704383,15.7234191384867,4.45083752260725,1.32821073034464,3.75485744931392,26.1160296109256,16.1800110695771,8.6255780864077,7.561938378307,9.9272414976021,7.80865227897294,23.9712464183197,45.6127846238777,0,13.8616100695208,33.4389721325236,7.06776992373451,14.426902296693,1.8909808554666,18.695545963065,12.0368767770684,17.6116567592321,26.1035958670139,14.5138559249683,10.0911798328368,1.47165896569106
"CRC.7",100,63.794530781441,54.0158574775596,58.9990542324113,10.2410832088547,47.1158958056922,43.9428770544676,26.2108326807726,4.95496767191121,0,6.91315559889293,10.7586772251573,51.3983801920865,24.3731468547539,2.15904786000813,10.8405310259519,8.51166833609244,10.2473960888466,24.8155783939081,73.6667824741875,20.7661707934328,5.53565332684765,43.7809690767962,15.0507774425558,8.41764533053056,24.2828558394725,19.2272021654001,26.2342426239684,27.1240880336394,9.71431816334625,18.88067474899,15.996848033787,28.8744286662572
"CRC.8",100,37.2110607753034,47.0601692083836,42.9177525267195,19.1192456995955,32.4641249454587,14.0137899419556,14.5952507704383,15.7234191384867,4.45083752260725,1.32821073034464,3.75485744931392,26.1160296109256,16.1800110695771,8.6255780864077,7.561938378307,9.9272414976021,7.80865227897294,23.9712464183197,45.6127846238777,0,13.8616100695208,33.4389721325236,7.06776992373451,14.426902296693,1.8909808554666,18.695545963065,12.0368767770684,17.6116567592321,26.1035958670139,14.5138559249683,10.0911798328368,1.47165896569106
"CRC.9",100,63.794530781441,54.0158574775596,58.9990542324113,10.2410832088547,47.1158958056922,43.9428770544676,26.2108326807726,4.95496767191121,0,6.91315559889293,10.7586772251573,51.3983801920865,24.3731468547539,2.15904786000813,10.8405310259519,8.51166833609244,10.2473960888466,24.8155783939081,73.6667824741875,20.7661707934328,5.53565332684765,43.7809690767962,15.0507774425558,8.41764533053056,24.2828558394725,19.2272021654001,26.2342426239684,27.1240880336394,9.71431816334625,18.88067474899,15.996848033787,28.8744286662572
