"Gene1","Gene2","CRC_cor","CRC_pVal","adenoma_cor","adenoma_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Roseburia intestinalis","Colletotrichum fioriniae",0.0707477361884304,0.132279770988685,0.0344662070635923,0.520426566583548,-0.509552607690206,0.610364933330963,0.523387387387387,0.584924109224205,"0/0"
"Gemella morbillorum","Aspergillus ochraceoroseus",0.0319537278701872,0.497047021692589,-0.004359146770864,0.935234534363673,-0.508677643124082,0.610978195733951,0.524,0.585069418236211,"0/0"
"Brachyspira pilosicoli","Erysiphe pulchra",-0.0111313694440512,0.813019389150972,0.025135994061155,0.639324687015937,0.507968128833235,0.611475694557629,0.524720720720721,0.585536260773781,"0/0"
"Bifidobacterium catenulatum","Albugo candida",0.00736692435222153,0.875608589868805,-0.0287343645895262,0.592125590948243,-0.505674491473292,0.61308517832868,0.526126126126126,0.585569132645372,"0/0"
"Streptococcus sp. I-G2","Thielaviopsis punctulata",-0.0190694979992058,0.685304218921373,-0.0551084523902653,0.303913130177405,-0.505439180466184,0.613250405754327,0.526306306306306,0.585569132645372,"0/0"
"Bifidobacterium longum","Aspergillus rambellii",-0.0320717647292617,0.495458130604753,-0.0680336541393139,0.204187406361271,-0.504929629295003,0.613608262687874,0.526522522522523,0.585569132645372,"0/0"
"Bifidobacterium bifidum","Albugo candida",-0.00933418087095608,0.842777494490035,0.0267078344019879,0.618512774182501,0.504824519121607,0.613682092845458,0.526630630630631,0.585569132645372,"0/0"
"Streptococcus anginosus","Naumovozyma dairenensis",0.0696145918888915,0.138605151465428,0.0337108055228836,0.529614888245403,-0.504196464696412,0.614123324505577,0.526846846846847,0.585569132645372,"0/0"
"Streptococcus sp. HSISS3","Erysiphe pulchra",-0.0240922593803741,0.608651317557253,0.0118876732097881,0.824617305992601,0.503935492856654,0.614306708062265,0.527171171171171,0.585569132645372,"0/0"
"Streptococcus sp. FDAARGOS 192","Aspergillus rambellii",-0.03625121595228,0.440980492288973,-0.000464961946416591,0.993084402843013,0.50137263485049,0.616108895072922,0.529081081081081,0.58701665778151,"0/0"
"Bifidobacterium longum","Naumovozyma dairenensis",0.00182822791846177,0.969012213868389,0.0375683726507547,0.483569550718143,0.500752059128421,0.616545629166642,0.530018018018018,0.587257959998964,"0/0"
"Prevotella intermedia","Albugo candida",-0.0541724836431074,0.249349027888877,-0.0896419737067263,0.0940478991664013,-0.499349528504169,0.617533168828942,0.530738738738739,0.587257959998964,"0/0"
"Romboutsia ilealis","Colletotrichum salicis",-0.00575033450567018,0.902750763964475,-0.0413706068813948,0.440389997942913,-0.49915565326845,0.617669733312316,0.530810810810811,0.587257959998964,"0/0"
"Longibaculum sp. KGMB06250","Albugo candida",0.137188956502017,0.00340136892373444,0.102141565741302,0.0562551866916039,-0.497988069054533,0.618492451542647,0.531459459459459,0.587257959998964,"+/0"
"Streptococcus sp. HSISS3","Leucoagaricus sp. SymC.cos",0.027292423837825,0.5618929686725,0.0627671704155242,0.241510080496056,0.497849854631382,0.618589873660807,0.531567567567568,0.587257959998964,"0/0"
"Alistipes sp. 3BBH6","Rhizophagus irregularis",-0.0785685829235396,0.0945138918853825,-0.043221383380052,0.420195461672252,0.496896670382014,0.619261919639509,0.532252252252252,0.587257959998964,"0/0"
"Bifidobacterium adolescentis","Pneumocystis murina",-0.0110868164456702,0.813754048307585,-0.0465355939384742,0.385417794047312,-0.496888734083491,0.61926751649239,0.532288288288288,0.587257959998964,"0/0"
"Streptococcus sp. HSISS2","Colletotrichum fioriniae",-0.0010911521628651,0.981502390348922,0.0343449934085782,0.521895419224186,0.49643641888568,0.619586535619502,0.532648648648649,0.587257959998964,"0/0"
"Streptococcus salivarius","Coniochaeta ligniaria",0.0263256010085194,0.575835917028912,-0.00903478497947303,0.866249625419507,-0.495274874278767,0.620406104256895,0.533513513513514,0.587257959998964,"0/0"
"Butyrivibrio proteoclasticus","Trichoderma atroviride",0.115504289177592,0.0137955209360379,0.0805227649944951,0.132711105198577,-0.494685333721025,0.620822255809306,0.534126126126126,0.587257959998964,"+/0"
"Dialister pneumosintes","Tuber magnatum",-0.0888936764840453,0.0584099248213032,-0.0538197469511084,0.315378040595825,0.493740373131818,0.621489548435122,0.534738738738739,0.587257959998964,"0/0"
"Bifidobacterium adolescentis","Albugo candida",0.0455321416857363,0.333047642109159,0.0103245950332991,0.847374347657381,-0.493481922674734,0.621672109858488,0.534846846846847,0.587257959998964,"0/0"
"Streptococcus milleri","Hyaloscypha variabilis",-0.00335756505603011,0.943124341470571,0.0317070164475583,0.554379303162056,0.49119285373783,0.623290052854959,0.53618018018018,0.587257959998964,"0/0"
"Streptococcus anginosus","Coniochaeta ligniaria",0.0292227832209684,0.534550928724805,-0.00581745274310475,0.91364178859075,-0.490820325428403,0.62355353298066,0.536396396396396,0.587257959998964,"0/0"
"Lactococcus garvieae","Cordyceps sp. RAO-2017",0.0213700676522134,0.649732012988582,0.0563387207104924,0.293228522399001,0.490491173803108,0.623786373935531,0.536720720720721,0.587257959998964,"0/0"
"Streptococcus sp. I-G2","Hyaloscypha variabilis",0.0590355169654077,0.209292394924395,0.0241085234802082,0.653084681791463,-0.490014030524214,0.624123970522847,0.537117117117117,0.587257959998964,"0/0"
"Bifidobacterium longum","Aspergillus kawachii",-0.0421560066382039,0.370171671155132,-0.00721747235477377,0.892971420846031,0.489626955171275,0.624397898706757,0.537261261261261,0.587257959998964,"0/0"
"Streptococcus sp. HSISS1","Baudoinia panamericana",0.0550440885449559,0.241802289887868,0.0202411267330897,0.705905474468405,-0.48812127636569,0.62546394148547,0.53845045045045,0.587257959998964,"0/0"
"Fusobacterium nucleatum","Baudoinia panamericana",-0.051507106852904,0.273438803648916,-0.0167061296674043,0.755461025545552,0.487969397258252,0.625571517679677,0.538630630630631,0.587257959998964,"0/0"
"Streptococcus sp. I-G2","Paracoccidioides brasiliensis",0.0814884935529382,0.0828477435854804,0.0468427361388905,0.382285968232644,-0.487234184413248,0.626092382694371,0.539315315315315,0.587257959998964,"0/0"
"Brachyspira pilosicoli","[Candida] arabinofermentans",-0.0129899616526772,0.782525551879952,0.0215784673847559,0.687464093516774,0.484152827015215,0.628277412496484,0.541117117117117,0.587257959998964,"0/0"
