,Class,Family,Genus,Kingdom,name,Order,Phylum,shared name,Label
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Mycosphaerellaceae|g__Pseudocercospora|s__Pseudocercospora_musae,Dothideomycetes,Mycosphaerellaceae,Pseudocercospora,Eukaryota|Fungi,Pseudocercospora musae,Capnodiales,Ascomycota,Pseudocercospora musae,Euk otu30
k__Eukaryota|c__Oomycetes|o__Pythiales|f__Pythiaceae|g__Phytopythium|s__Phytopythium_vexans,Oomycetes,Pythiaceae,Phytopythium,Eukaryota,Phytopythium vexans,Pythiales,NA,Phytopythium vexans,Euk otu31
k__Eukaryota|c__Oomycetes|o__Peronosporales|f__Peronosporaceae|g__Phytophthora|s__Phytophthora_capsici,Oomycetes,Peronosporaceae,Phytophthora,Eukaryota,Phytophthora capsici,Peronosporales,NA,Phytophthora capsici,Euk otu32
k__Eukaryota|c__Oomycetes|o__Albuginales|f__Albuginaceae|g__Albugo|s__Albugo_candida,Oomycetes,Albuginaceae,Albugo,Eukaryota,Albugo candida,Albuginales,NA,Albugo candida,Euk otu33
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira_pilosicoli,Spirochaetia,Brachyspiraceae,Brachyspira,Bacteria,Brachyspira pilosicoli,Brachyspirales,Spirochaetes,Brachyspira pilosicoli,Euk otu34
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,Gammaproteobacteria,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,Enterobacterales,Proteobacteria,Escherichia coli,Bac otu01
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_periodonticum,Fusobacteriia,Fusobacteriaceae,Fusobacterium,Bacteria,Fusobacterium periodonticum,Fusobacteriales,Fusobacteria,Fusobacterium periodonticum,Bac otu02
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum,Fusobacteriia,Fusobacteriaceae,Fusobacterium,Bacteria,Fusobacterium nucleatum,Fusobacteriales,Fusobacteria,Fusobacterium nucleatum,Bac otu03
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_micra,Tissierellia,Peptoniphilaceae,Parvimonas,Bacteria,Parvimonas micra,Tissierellales,Firmicutes,Parvimonas micra,Bac otu04
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_pneumosintes,Negativicutes,Veillonellaceae,Dialister,Bacteria,Dialister pneumosintes,Veillonellales,Firmicutes,Dialister pneumosintes,Bac otu05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans,Clostridia,Ruminococcaceae,Ruminococcus,Bacteria,Ruminococcus bicirculans,Clostridiales,Firmicutes,Ruminococcus bicirculans,Bac otu06
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_ilealis,Clostridia,Peptostreptococcaceae,Romboutsia,Bacteria,Romboutsia ilealis,Clostridiales,Firmicutes,Romboutsia ilealis,Bac otu07
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis,Clostridia,Lachnospiraceae,Roseburia,Bacteria,Roseburia intestinalis,Clostridiales,Firmicutes,Roseburia intestinalis,Bac otu08
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Pseudobutyrivibrio|s__Pseudobutyrivibrio_xylanivorans,Clostridia,Lachnospiraceae,Pseudobutyrivibrio,Bacteria,Pseudobutyrivibrio xylanivorans,Clostridiales,Firmicutes,Pseudobutyrivibrio xylanivorans,Bac otu09
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_proteoclasticus,Clostridia,Lachnospiraceae,Butyrivibrio,Bacteria,Butyrivibrio proteoclasticus,Clostridiales,Firmicutes,Butyrivibrio proteoclasticus,Bac otu10
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus,Clostridia,Lachnospiraceae,Anaerostipes,Bacteria,Anaerostipes hadrus,Clostridiales,Firmicutes,Anaerostipes hadrus,Bac otu11
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__[Eubacterium]_eligens,Clostridia,Eubacteriaceae,Eubacterium,Bacteria,[Eubacterium] eligens,Clostridiales,Firmicutes,[Eubacterium] eligens,Bac otu12
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_beijerinckii,Clostridia,Clostridiaceae,Clostridium,Bacteria,Clostridium beijerinckii,Clostridiales,Firmicutes,Clostridium beijerinckii,Bac otu13
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus,Bacilli,Streptococcaceae,Streptococcus,Bacteria,Streptococcus thermophilus,Lactobacillales,Firmicutes,Streptococcus thermophilus,Bac otu14
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius,Bacilli,Streptococcaceae,Streptococcus,Bacteria,Streptococcus salivarius,Lactobacillales,Firmicutes,Streptococcus salivarius,Bac otu15
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_milleri,Bacilli,Streptococcaceae,Streptococcus,Bacteria,Streptococcus milleri,Lactobacillales,Firmicutes,Streptococcus milleri,Bac otu16
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_equinus,Bacilli,Streptococcaceae,Streptococcus,Bacteria,Streptococcus equinus,Lactobacillales,Firmicutes,Streptococcus equinus,Bac otu17
