"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"k__Bacteria","Bacteria",NA,NA,NA,NA,NA,NA
"k__Bacteria|p__Caldiserica","Bacteria","Caldiserica",NA,NA,NA,NA,NA
"k__Bacteria|p__Caldiserica|c__Caldisericia","Bacteria","Caldiserica","Caldisericia",NA,NA,NA,NA
"k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales","Bacteria","Caldiserica","Caldisericia","Caldisericales",NA,NA,NA
"k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae","Bacteria","Caldiserica","Caldisericia","Caldisericales","Caldisericaceae",NA,NA
"k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum","Bacteria","Caldiserica","Caldisericia","Caldisericales","Caldisericaceae","Caldisericum",NA
"k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum|s__Caldisericum_exile","Bacteria","Caldiserica","Caldisericia","Caldisericales","Caldisericaceae","Caldisericum","Caldisericum exile"
"k__Bacteria|p__Coprothermobacterota","Bacteria","Coprothermobacterota",NA,NA,NA,NA,NA
"k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria","Bacteria","Coprothermobacterota","Coprothermobacteria",NA,NA,NA,NA
"k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales","Bacteria","Coprothermobacterota","Coprothermobacteria","Coprothermobacterales",NA,NA,NA
"k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae","Bacteria","Coprothermobacterota","Coprothermobacteria","Coprothermobacterales","Coprothermobacteraceae",NA,NA
"k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae|g__Coprothermobacter","Bacteria","Coprothermobacterota","Coprothermobacteria","Coprothermobacterales","Coprothermobacteraceae","Coprothermobacter",NA
"k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae|g__Coprothermobacter|s__Coprothermobacter_proteolyticus","Bacteria","Coprothermobacterota","Coprothermobacteria","Coprothermobacterales","Coprothermobacteraceae","Coprothermobacter","Coprothermobacter proteolyticus"
"k__Bacteria|p__Calditrichaeota","Bacteria","Calditrichaeota",NA,NA,NA,NA,NA
"k__Bacteria|p__Calditrichaeota|c__Calditrichae","Bacteria","Calditrichaeota","Calditrichae",NA,NA,NA,NA
"k__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales","Bacteria","Calditrichaeota","Calditrichae","Calditrichales",NA,NA,NA
"k__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae","Bacteria","Calditrichaeota","Calditrichae","Calditrichales","Calditrichaceae",NA,NA
"k__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix","Bacteria","Calditrichaeota","Calditrichae","Calditrichales","Calditrichaceae","Caldithrix",NA
"k__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix|s__Caldithrix_abyssi","Bacteria","Calditrichaeota","Calditrichae","Calditrichales","Calditrichaceae","Caldithrix","Caldithrix abyssi"
"k__Bacteria|p__Chrysiogenetes","Bacteria","Chrysiogenetes",NA,NA,NA,NA,NA
"k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes","Bacteria","Chrysiogenetes","Chrysiogenetes",NA,NA,NA,NA
"k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales","Bacteria","Chrysiogenetes","Chrysiogenetes","Chrysiogenales",NA,NA,NA
"k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae","Bacteria","Chrysiogenetes","Chrysiogenetes","Chrysiogenales","Chrysiogenaceae",NA,NA
"k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Desulfurispirillum","Bacteria","Chrysiogenetes","Chrysiogenetes","Chrysiogenales","Chrysiogenaceae","Desulfurispirillum",NA
"k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Desulfurispirillum|s__Desulfurispirillum_indicum","Bacteria","Chrysiogenetes","Chrysiogenetes","Chrysiogenales","Chrysiogenaceae","Desulfurispirillum","Desulfurispirillum indicum"
"k__Bacteria|p__Dictyoglomi","Bacteria","Dictyoglomi",NA,NA,NA,NA,NA
"k__Bacteria|p__Dictyoglomi|c__Dictyoglomia","Bacteria","Dictyoglomi","Dictyoglomia",NA,NA,NA,NA
"k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales","Bacteria","Dictyoglomi","Dictyoglomia","Dictyoglomales",NA,NA,NA
"k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae","Bacteria","Dictyoglomi","Dictyoglomia","Dictyoglomales","Dictyoglomaceae",NA,NA
"k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus","Bacteria","Dictyoglomi","Dictyoglomia","Dictyoglomales","Dictyoglomaceae","Dictyoglomus",NA
"k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus_turgidum","Bacteria","Dictyoglomi","Dictyoglomia","Dictyoglomales","Dictyoglomaceae","Dictyoglomus","Dictyoglomus turgidum"
"k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus_thermophilum","Bacteria","Dictyoglomi","Dictyoglomia","Dictyoglomales","Dictyoglomaceae","Dictyoglomus","Dictyoglomus thermophilum"
"k__Bacteria|p__Elusimicrobia","Bacteria","Elusimicrobia",NA,NA,NA,NA,NA
"k__Bacteria|p__Elusimicrobia|c__Elusimicrobia","Bacteria","Elusimicrobia","Elusimicrobia",NA,NA,NA,NA
"k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales",NA,NA,NA
"k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae",NA,NA
"k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae","Elusimicrobium",NA
"k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium|s__Elusimicrobium_minutum","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae","Elusimicrobium","Elusimicrobium minutum"
"k__Bacteria|p__Elusimicrobia|c__Endomicrobia","Bacteria","Elusimicrobia","Endomicrobia",NA,NA,NA,NA
"k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales","Bacteria","Elusimicrobia","Endomicrobia","Endomicrobiales",NA,NA,NA
"k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae","Bacteria","Elusimicrobia","Endomicrobia","Endomicrobiales","Endomicrobiaceae",NA,NA
"k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium","Bacteria","Elusimicrobia","Endomicrobia","Endomicrobiales","Endomicrobiaceae","Endomicrobium",NA
"k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Candidatus_Endomicrobium_trichonymphae","Bacteria","Elusimicrobia","Endomicrobia","Endomicrobiales","Endomicrobiaceae","Endomicrobium","Candidatus Endomicrobium trichonymphae"
"k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Endomicrobium_proavitum","Bacteria","Elusimicrobia","Endomicrobia","Endomicrobiales","Endomicrobiaceae","Endomicrobium","Endomicrobium proavitum"
"k__Bacteria|g__Vampirococcus","Bacteria",NA,NA,NA,NA,"Vampirococcus",NA
"k__Bacteria|g__Vampirococcus|s__Vampirococcus_sp._LiM","Bacteria",NA,NA,NA,NA,"Vampirococcus","Vampirococcus sp. LiM"
"k__Bacteria|c__Candidatus_Babeliae","Bacteria",NA,"Candidatus Babeliae",NA,NA,NA,NA
"k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales","Bacteria",NA,"Candidatus Babeliae","Candidatus Babeliales",NA,NA,NA
"k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales|f__Candidatus_Babeliaceae","Bacteria",NA,"Candidatus Babeliae","Candidatus Babeliales","Candidatus Babeliaceae",NA,NA
"k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales|f__Candidatus_Babeliaceae|g__Candidatus_Babela","Bacteria",NA,"Candidatus Babeliae","Candidatus Babeliales","Candidatus Babeliaceae","Candidatus Babela",NA
"k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales|f__Candidatus_Babeliaceae|g__Candidatus_Babela|s__Candidatus_Babela_massiliensis","Bacteria",NA,"Candidatus Babeliae","Candidatus Babeliales","Candidatus Babeliaceae","Candidatus Babela","Candidatus Babela massiliensis"
"k__Bacteria|p__Candidatus_Bipolaricaulota","Bacteria","Candidatus Bipolaricaulota",NA,NA,NA,NA,NA
"k__Bacteria|p__Candidatus_Bipolaricaulota|g__Candidatus_Bipolaricaulis","Bacteria","Candidatus Bipolaricaulota",NA,NA,NA,"Candidatus Bipolaricaulis",NA
"k__Bacteria|p__Candidatus_Bipolaricaulota|g__Candidatus_Bipolaricaulis|s__Candidatus_Bipolaricaulis_anaerobius","Bacteria","Candidatus Bipolaricaulota",NA,NA,NA,"Candidatus Bipolaricaulis","Candidatus Bipolaricaulis anaerobius"
"k__Bacteria|p__Candidatus_Saccharibacteria","Bacteria","Candidatus Saccharibacteria",NA,NA,NA,NA,NA
"k__Bacteria|p__Candidatus_Saccharibacteria|g__Candidatus_Saccharimonas","Bacteria","Candidatus Saccharibacteria",NA,NA,NA,"Candidatus Saccharimonas",NA
"k__Bacteria|p__Candidatus_Saccharibacteria|g__Candidatus_Saccharimonas|s__Candidatus_Saccharimonas_aalborgensis","Bacteria","Candidatus Saccharibacteria",NA,NA,NA,"Candidatus Saccharimonas","Candidatus Saccharimonas aalborgensis"
"k__Bacteria|p__Thermodesulfobacteria","Bacteria","Thermodesulfobacteria",NA,NA,NA,NA,NA
"k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria","Bacteria","Thermodesulfobacteria","Thermodesulfobacteria",NA,NA,NA,NA
"k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales","Bacteria","Thermodesulfobacteria","Thermodesulfobacteria","Thermodesulfobacteriales",NA,NA,NA
"k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae","Bacteria","Thermodesulfobacteria","Thermodesulfobacteria","Thermodesulfobacteriales","Thermodesulfobacteriaceae",NA,NA
"k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermosulfuriphilus","Bacteria","Thermodesulfobacteria","Thermodesulfobacteria","Thermodesulfobacteriales","Thermodesulfobacteriaceae","Thermosulfuriphilus",NA
"k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermosulfuriphilus|s__Thermosulfuriphilus_ammonigenes","Bacteria","Thermodesulfobacteria","Thermodesulfobacteria","Thermodesulfobacteriales","Thermodesulfobacteriaceae","Thermosulfuriphilus","Thermosulfuriphilus ammonigenes"
"k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermosulfurimonas","Bacteria","Thermodesulfobacteria","Thermodesulfobacteria","Thermodesulfobacteriales","Thermodesulfobacteriaceae","Thermosulfurimonas",NA
"k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermosulfurimonas|s__Thermosulfurimonas_marina","Bacteria","Thermodesulfobacteria","Thermodesulfobacteria","Thermodesulfobacteriales","Thermodesulfobacteriaceae","Thermosulfurimonas","Thermosulfurimonas marina"
"k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Caldimicrobium","Bacteria","Thermodesulfobacteria","Thermodesulfobacteria","Thermodesulfobacteriales","Thermodesulfobacteriaceae","Caldimicrobium",NA
"k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Caldimicrobium|s__Caldimicrobium_thiodismutans","Bacteria","Thermodesulfobacteria","Thermodesulfobacteria","Thermodesulfobacteriales","Thermodesulfobacteriaceae","Caldimicrobium","Caldimicrobium thiodismutans"
"k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfatator","Bacteria","Thermodesulfobacteria","Thermodesulfobacteria","Thermodesulfobacteriales","Thermodesulfobacteriaceae","Thermodesulfatator",NA
"k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfatator|s__Thermodesulfatator_indicus","Bacteria","Thermodesulfobacteria","Thermodesulfobacteria","Thermodesulfobacteriales","Thermodesulfobacteriaceae","Thermodesulfatator","Thermodesulfatator indicus"
"k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium","Bacteria","Thermodesulfobacteria","Thermodesulfobacteria","Thermodesulfobacteriales","Thermodesulfobacteriaceae","Thermodesulfobacterium",NA
"k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|s__Thermodesulfobacterium_commune","Bacteria","Thermodesulfobacteria","Thermodesulfobacteria","Thermodesulfobacteriales","Thermodesulfobacteriaceae","Thermodesulfobacterium","Thermodesulfobacterium commune"
"k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|s__Thermodesulfobacterium_sp._TA1","Bacteria","Thermodesulfobacteria","Thermodesulfobacteria","Thermodesulfobacteriales","Thermodesulfobacteriaceae","Thermodesulfobacterium","Thermodesulfobacterium sp. TA1"
"k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|s__Thermodesulfobacterium_geofontis","Bacteria","Thermodesulfobacteria","Thermodesulfobacteria","Thermodesulfobacteriales","Thermodesulfobacteriaceae","Thermodesulfobacterium","Thermodesulfobacterium geofontis"
"k__Bacteria|p__Nitrospirae","Bacteria","Nitrospirae",NA,NA,NA,NA,NA
"k__Bacteria|p__Nitrospirae|c__Nitrospira","Bacteria","Nitrospirae","Nitrospira",NA,NA,NA,NA
"k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales","Bacteria","Nitrospirae","Nitrospira","Nitrospirales",NA,NA,NA
"k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae",NA,NA
"k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Leptospirillum",NA
"k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_ferrooxidans","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Leptospirillum","Leptospirillum ferrooxidans"
"k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_sp._Group_II_'CF-1'","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Leptospirillum","Leptospirillum sp. Group II 'CF-1'"
"k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_ferriphilum","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Leptospirillum","Leptospirillum ferriphilum"
"k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Thermodesulfovibrio",NA
"k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio|s__Thermodesulfovibrio_yellowstonii","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Thermodesulfovibrio","Thermodesulfovibrio yellowstonii"
"k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira",NA
"k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Candidatus_Nitrospira_inopinata","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","Candidatus Nitrospira inopinata"
"k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_moscoviensis","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","Nitrospira moscoviensis"
"k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_japonica","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","Nitrospira japonica"
"k__Bacteria|p__Deferribacteres","Bacteria","Deferribacteres",NA,NA,NA,NA,NA
"k__Bacteria|p__Deferribacteres|c__Deferribacteres","Bacteria","Deferribacteres","Deferribacteres",NA,NA,NA,NA
"k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales",NA,NA,NA
"k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae",NA,NA
"k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Calditerrivibrio","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","Calditerrivibrio",NA
"k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Calditerrivibrio|s__Calditerrivibrio_nitroreducens","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","Calditerrivibrio","Calditerrivibrio nitroreducens"
"k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Flexistipes","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","Flexistipes",NA
"k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Flexistipes|s__Flexistipes_sinusarabici","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","Flexistipes","Flexistipes sinusarabici"
"k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Deferribacter","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","Deferribacter",NA
"k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Deferribacter|s__Deferribacter_desulfuricans","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","Deferribacter","Deferribacter desulfuricans"
"k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Geovibrio","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","Geovibrio",NA
"k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Geovibrio|s__Geovibrio_thiophilus","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","Geovibrio","Geovibrio thiophilus"
"k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Denitrovibrio","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","Denitrovibrio",NA
"k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Denitrovibrio|s__Denitrovibrio_acetiphilus","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","Denitrovibrio","Denitrovibrio acetiphilus"
"k__Bacteria|p__Aquificae","Bacteria","Aquificae",NA,NA,NA,NA,NA
"k__Bacteria|p__Aquificae|c__Aquificae","Bacteria","Aquificae","Aquificae",NA,NA,NA,NA
"k__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales","Bacteria","Aquificae","Aquificae","Desulfurobacteriales",NA,NA,NA
"k__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae","Bacteria","Aquificae","Aquificae","Desulfurobacteriales","Desulfurobacteriaceae",NA,NA
"k__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Thermovibrio","Bacteria","Aquificae","Aquificae","Desulfurobacteriales","Desulfurobacteriaceae","Thermovibrio",NA
"k__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Thermovibrio|s__Thermovibrio_ammonificans","Bacteria","Aquificae","Aquificae","Desulfurobacteriales","Desulfurobacteriaceae","Thermovibrio","Thermovibrio ammonificans"
"k__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Desulfurobacterium","Bacteria","Aquificae","Aquificae","Desulfurobacteriales","Desulfurobacteriaceae","Desulfurobacterium",NA
"k__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Desulfurobacterium|s__Desulfurobacterium_thermolithotrophum","Bacteria","Aquificae","Aquificae","Desulfurobacteriales","Desulfurobacteriaceae","Desulfurobacterium","Desulfurobacterium thermolithotrophum"
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales","Bacteria","Aquificae","Aquificae","Aquificales",NA,NA,NA
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|g__Thermosulfidibacter","Bacteria","Aquificae","Aquificae","Aquificales",NA,"Thermosulfidibacter",NA
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|g__Thermosulfidibacter|s__Thermosulfidibacter_takaii","Bacteria","Aquificae","Aquificae","Aquificales",NA,"Thermosulfidibacter","Thermosulfidibacter takaii"
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae","Bacteria","Aquificae","Aquificae","Aquificales","Hydrogenothermaceae",NA,NA
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Persephonella","Bacteria","Aquificae","Aquificae","Aquificales","Hydrogenothermaceae","Persephonella",NA
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Persephonella|s__Persephonella_marina","Bacteria","Aquificae","Aquificae","Aquificales","Hydrogenothermaceae","Persephonella","Persephonella marina"
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Sulfurihydrogenibium","Bacteria","Aquificae","Aquificae","Aquificales","Hydrogenothermaceae","Sulfurihydrogenibium",NA
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Sulfurihydrogenibium|s__Sulfurihydrogenibium_sp._YO3AOP1","Bacteria","Aquificae","Aquificae","Aquificales","Hydrogenothermaceae","Sulfurihydrogenibium","Sulfurihydrogenibium sp. YO3AOP1"
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Sulfurihydrogenibium|s__Sulfurihydrogenibium_azorense","Bacteria","Aquificae","Aquificae","Aquificales","Hydrogenothermaceae","Sulfurihydrogenibium","Sulfurihydrogenibium azorense"
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae","Bacteria","Aquificae","Aquificae","Aquificales","Aquificaceae",NA,NA
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis","Bacteria","Aquificae","Aquificae","Aquificales","Aquificaceae","Thermocrinis",NA
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis_minervae","Bacteria","Aquificae","Aquificae","Aquificales","Aquificaceae","Thermocrinis","Thermocrinis minervae"
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis_ruber","Bacteria","Aquificae","Aquificae","Aquificales","Aquificaceae","Thermocrinis","Thermocrinis ruber"
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis_albus","Bacteria","Aquificae","Aquificae","Aquificales","Aquificaceae","Thermocrinis","Thermocrinis albus"
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobacter","Bacteria","Aquificae","Aquificae","Aquificales","Aquificaceae","Hydrogenobacter",NA
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobacter|s__Hydrogenobacter_thermophilus","Bacteria","Aquificae","Aquificae","Aquificales","Aquificaceae","Hydrogenobacter","Hydrogenobacter thermophilus"
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobacter|s__Hydrogenobacter_sp._T-8","Bacteria","Aquificae","Aquificae","Aquificales","Aquificaceae","Hydrogenobacter","Hydrogenobacter sp. T-8"
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Aquifex","Bacteria","Aquificae","Aquificae","Aquificales","Aquificaceae","Aquifex",NA
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Aquifex|s__Aquifex_aeolicus","Bacteria","Aquificae","Aquificae","Aquificales","Aquificaceae","Aquifex","Aquifex aeolicus"
