"","Mean","CRC.1","CRC.2","CRC.3","CRC.4","CRC.5","CRC.6","CRC.7","CRC.8","CRC.9","CRC.10","Rank"
"Fusobacterium_nucleatum",100,100,100,100,100,100,100,100,100,100,100,1
"Parvimonas_micra",79.314544552498,81.0681622893271,76.7432634811252,80.994354352617,76.1529582846713,89.4147613152885,74.3839770115397,80.4973926719978,76.7432634811252,80.994354352617,76.1529582846713,2
"Gemella_morbillorum",60.256421853308,57.092103574295,52.0632220401992,55.597954726056,64.7935359982616,83.0017224467039,56.3613360132451,61.199630969802,52.0632220401992,55.597954726056,64.7935359982616,3
"Anaerostipes_hadrus",27.4393205267576,29.2447741923354,30.0968763790211,26.7186319194217,27.6535263095144,25.8038624833166,26.2483323807877,24.1581669952222,30.0968763790211,26.7186319194217,27.6535263095144,5
"Pseudobutyrivibrio_xylanivorans",16.6406115420328,21.604326711508,16.7924918693044,14.6096801103624,15.6336520793818,23.2670816294561,13.427967563666,14.0350913976008,16.7924918693044,14.6096801103624,15.6336520793818,13
"Butyrivibrio_proteoclasticus",17.1763255590882,16.4916811038848,16.5953700199271,14.5237936123012,16.4405525434898,32.3103519531333,15.3399038489841,12.5018863334433,16.5953700199271,14.5237936123012,16.4405525434898,12
"Roseburia_intestinalis",10.2318542565788,14.2062559046913,12.0184739150384,7.33011762816443,11.0317730910783,13.3449955633625,6.67815321158682,7.32840861758524,12.0184739150384,7.33011762816443,11.0317730910783,24
"Dialister_pneumosintes",13.7066536409202,13.4052669368594,12.7431174126339,10.4481955138523,14.3413795989088,23.8744957842511,14.2167921680721,10.5045964692297,12.7431174126339,10.4481955138523,14.3413795989088,18
"Lactococcus_garvieae",20.8670325901717,21.2853391944653,22.1765135835738,20.5341836131642,21.9033385749273,13.9309923840596,23.6588805623649,20.5670422174964,22.1765135835738,20.5341836131642,21.9033385749273,8
"Brachyspira_pilosicoli",27.3478196643615,27.5851449633795,26.764429947226,22.9424817977976,31.0095471097685,32.734194217486,24.1159542383485,27.6099855148167,26.764429947226,22.9424817977976,31.0095471097685,7
"Romboutsia_ilealis",37.6269637672471,37.9360065101992,41.4204969404288,33.3160449417529,38.8053739434994,36.8508255995426,36.7568244781459,37.6421494332217,41.4204969404288,33.3160449417529,38.8053739434994,4
"Porphyromonas_asaccharolytica",19.3087402882362,19.2083600150466,18.6430009648822,16.9795033954068,16.0629610283606,42.0510875671163,11.6095358026354,16.8474887202649,18.6430009648822,16.9795033954068,16.0629610283606,10
"Eubacterium_eligens",12.4501265539344,14.6060127187763,13.2472378596288,9.74406651770256,12.6149620398152,21.1753072034402,7.19571228741378,10.3117004954206,13.2472378596288,9.74406651770256,12.6149620398152,22
"Clostridium_beijerinckii",27.360127284799,30.1696420676332,27.0972875708072,23.9594674679097,28.9072274712475,34.2965198817282,23.5747158955245,25.6324299831754,27.0972875708072,23.9594674679097,28.9072274712475,6
"Fusobacterium_periodonticum",19.7743583895823,19.6043719778334,20.6235652449723,14.9041196453459,18.014287520689,37.6861542317291,16.6989086856028,16.6702041786438,20.6235652449723,14.9041196453459,18.014287520689,9
"Streptococcus_anginosus",14.238834496099,13.5853205013277,10.8304853514135,12.1404061027859,14.4546796011135,25.9799332603732,16.5517009816703,11.4202481069932,10.8304853514135,12.1404061027859,14.4546796011135,17
"Bifidobacterium_catenulatum",13.4925890443729,16.4946596034212,14.5027371739907,11.0560835316325,16.0122341047971,10.4082816026493,12.5094073251273,12.3714322916906,14.5027371739907,11.0560835316325,16.0122341047971,19
"Lactobacillus_ruminis",9.16598471402128,14.9055591346776,7.62238863878977,4.3190898641255,12.3095925464093,11.42035865864,9.21789035591937,7.61389689232687,7.62238863878977,4.3190898641255,12.3095925464093,27
"Bifidobacterium_angulatum",14.5837937675337,20.8656010450404,14.041152182514,12.441219272142,16.9608054782317,17.3261742163731,10.542926579237,10.2168819689114,14.041152182514,12.441219272142,16.9608054782317,15
"Streptococcus_salivarius",17.5769670801638,19.3963522707029,19.1694330235056,15.9838990997488,15.9955929678016,22.937564692285,14.8839278060831,16.2539758504547,19.1694330235056,15.9838990997488,15.9955929678016,11
"Bifidobacterium_pseudocatenulatum",9.76769166386135,12.4816968198738,12.29677491596,7.32032541418085,9.98238600646783,11.8159123156343,11.1668301966172,3.01350463327085,12.29677491596,7.32032541418085,9.98238600646783,26
"Streptococcus_equinus",14.3019678945908,15.530585984937,14.1573342097299,12.9835817895011,14.6255739479551,18.087355157672,13.7598502279276,12.1089076809992,14.1573342097299,12.9835817895011,14.6255739479551,16
"Streptococcus_milleri",13.4470634795693,12.4070439934706,16.2544175063073,11.3718647526251,13.3713280826805,17.9389511915489,9.90328751669496,12.2261314107529,16.2544175063073,11.3718647526251,13.3713280826805,21
"Bifidobacterium_bifidum",9.78620386198033,14.638061021707,12.7774346672353,5.78233939039066,9.91105166138026,9.82331340307278,10.0607103960977,6.3983023609133,12.7774346672353,5.78233939039066,9.91105166138026,25
"Prevotella_intermedia",11.3193587699716,10.3176934034966,15.6542742696606,7.77634842101867,15.1281040134237,11.295773106407,7.61383091475442,6.84883686685174,15.6542742696606,7.77634842101867,15.1281040134237,23
"Streptococcus_thermophilus",13.4580905598281,16.1520908543627,12.0786763116244,10.5143768691485,16.0624884745547,10.8193969184497,17.3531450133436,12.9451895014703,12.0786763116244,10.5143768691485,16.0624884745547,20
"Bifidobacterium_adolescentis",15.7011193110719,17.554753681874,17.389780378056,14.2520056185076,17.9730840323067,10.0926866293715,16.0251030180137,14.1089097237195,17.389780378056,14.2520056185076,17.9730840323067,14
