"","Mean","CRC.1","CRC.2","CRC.3","CRC.4","CRC.5","CRC.6","CRC.7","CRC.8","CRC.9","CRC.10","Rank"
"Aspergillus_rambellii",100,100,100,100,100,100,100,100,100,100,100,1
"Rhizophagus_irregularis",29.307703464521,28.2440738790337,29.4258845295751,29.4258845295751,29.4258845295751,29.4258845295751,29.4258845295751,29.4258845295751,29.4258845295751,29.4258845295751,29.4258845295751,2
"Moniliophthora_perniciosa",28.2642097652139,27.0611177461342,28.3978866562228,28.3978866562228,28.3978866562228,28.3978866562228,28.3978866562228,28.3978866562228,28.3978866562228,28.3978866562228,28.3978866562228,3
"Erysiphe_pulchra",18.4627111998517,15.0590391075175,18.8408969878889,18.8408969878889,18.8408969878889,18.8408969878889,18.8408969878889,18.8408969878889,18.8408969878889,18.8408969878889,18.8408969878889,9
"Sphaerulina_musiva",20.6021515968656,23.6256064823611,20.2662121651439,20.2662121651439,20.2662121651439,20.2662121651439,20.2662121651439,20.2662121651439,20.2662121651439,20.2662121651439,20.2662121651439,8
"Phytophthora_capsici",22.655138449805,22.8048084551887,22.6385084492068,22.6385084492068,22.6385084492068,22.6385084492068,22.6385084492068,22.6385084492068,22.6385084492068,22.6385084492068,22.6385084492068,5
"Trichophyton_mentagrophytes",20.7024757427171,20.0084288302261,20.7795920663272,20.7795920663272,20.7795920663272,20.7795920663272,20.7795920663272,20.7795920663272,20.7795920663272,20.7795920663272,20.7795920663272,7
"Aspergillus_kawachii",7.01467066297768,10.2771587313485,6.65217198871426,6.65217198871426,6.65217198871426,6.65217198871426,6.65217198871426,6.65217198871426,6.65217198871426,6.65217198871426,6.65217198871426,24
"Pneumocystis_murina",12.6802655444436,10.1600174718673,12.9602931080632,12.9602931080632,12.9602931080632,12.9602931080632,12.9602931080632,12.9602931080632,12.9602931080632,12.9602931080632,12.9602931080632,16
"Debaryomyces_hansenii",2.75592295637458,4.22289566702374,2.59292598852467,2.59292598852467,2.59292598852467,2.59292598852467,2.59292598852467,2.59292598852467,2.59292598852467,2.59292598852467,2.59292598852467,31
"Trichoderma_atroviride",27.670830343431,22.0767288189469,28.2923971794848,28.2923971794848,28.2923971794848,28.2923971794848,28.2923971794848,28.2923971794848,28.2923971794848,28.2923971794848,28.2923971794848,4
"Pseudocercospora_musae",9.90452496403976,7.68401904990649,10.1512478433879,10.1512478433879,10.1512478433879,10.1512478433879,10.1512478433879,10.1512478433879,10.1512478433879,10.1512478433879,10.1512478433879,19
"Cordyceps_sp_RAO_2017",22.5200142139316,25.0490642455983,22.2390086548575,22.2390086548575,22.2390086548575,22.2390086548575,22.2390086548575,22.2390086548575,22.2390086548575,22.2390086548575,22.2390086548575,6
"Rhizophagus_clarus",6.38668842049751,11.1175726252127,5.8610346199736,5.8610346199736,5.8610346199736,5.8610346199736,5.8610346199736,5.8610346199736,5.8610346199736,5.8610346199736,5.8610346199736,25
"Pichia_kudriavzevii",15.5131702534768,19.4214287600829,15.0789193082984,15.0789193082984,15.0789193082984,15.0789193082984,15.0789193082984,15.0789193082984,15.0789193082984,15.0789193082984,15.0789193082984,12
"Paracoccidioides_brasiliensis",7.18735733183727,5.70994356621843,7.35151441690603,7.35151441690603,7.35151441690603,7.35151441690603,7.35151441690603,7.35151441690603,7.35151441690603,7.35151441690603,7.35151441690603,21
