"","Mean","CRC.1","CRC.2","CRC.3","CRC.4","CRC.5","CRC.6","CRC.7","CRC.8","CRC.9","CRC.10","Rank"
"Aspergillus_rambellii",59.1852087813154,61.8433435839089,58.8898604699161,58.8898604699161,58.8898604699161,58.8898604699161,58.8898604699161,58.8898604699161,58.8898604699161,58.8898604699161,58.8898604699161,4
"Rhizophagus_irregularis",27.0788986371179,30.0082497680622,26.7534151781241,26.7534151781241,26.7534151781241,26.7534151781241,26.7534151781241,26.7534151781241,26.7534151781241,26.7534151781241,26.7534151781241,18
"Moniliophthora_perniciosa",40.3217986143097,22.1530261525213,42.340551110064,42.340551110064,42.340551110064,42.340551110064,42.340551110064,42.340551110064,42.340551110064,42.340551110064,42.340551110064,6
"Erysiphe_pulchra",24.7852072163758,24.8068273258145,24.7828049819937,24.7828049819937,24.7828049819937,24.7828049819937,24.7828049819937,24.7828049819937,24.7828049819937,24.7828049819937,24.7828049819937,19
"Sphaerulina_musiva",17.20299518296,17.1961998615769,17.2037502186692,17.2037502186692,17.2037502186692,17.2037502186692,17.2037502186692,17.2037502186692,17.2037502186692,17.2037502186692,17.2037502186692,32
"Phytophthora_capsici",17.1849416341254,7.5700191371368,18.253266356013,18.253266356013,18.253266356013,18.253266356013,18.253266356013,18.253266356013,18.253266356013,18.253266356013,18.253266356013,33
"Trichophyton_mentagrophytes",12.2167071200125,13.1053718261975,12.117966597103,12.117966597103,12.117966597103,12.117966597103,12.117966597103,12.117966597103,12.117966597103,12.117966597103,12.117966597103,47
"Aspergillus_kawachii",12.4246786808712,12.7090231554772,12.3930848503594,12.3930848503594,12.3930848503594,12.3930848503594,12.3930848503594,12.3930848503594,12.3930848503594,12.3930848503594,12.3930848503594,43
"Pneumocystis_murina",15.2431192854939,8.55738498174913,15.9859786525766,15.9859786525766,15.9859786525766,15.9859786525766,15.9859786525766,15.9859786525766,15.9859786525766,15.9859786525766,15.9859786525766,37
"Debaryomyces_hansenii",7.81420767404134,2.6009876434351,8.3934543441087,8.3934543441087,8.3934543441087,8.3934543441087,8.3934543441087,8.3934543441087,8.3934543441087,8.3934543441087,8.3934543441087,58
"Trichoderma_atroviride",22.7211925199216,10.0841048426186,24.1253133729553,24.1253133729553,24.1253133729553,24.1253133729553,24.1253133729553,24.1253133729553,24.1253133729553,24.1253133729553,24.1253133729553,23
"Pseudocercospora_musae",5.76725879650157,8.27706882444434,5.48839101561904,5.48839101561904,5.48839101561904,5.48839101561904,5.48839101561904,5.48839101561904,5.48839101561904,5.48839101561904,5.48839101561904,62
"Cordyceps_sp_RAO_2017",28.0725934209635,15.8563503364131,29.4299537636913,29.4299537636913,29.4299537636913,29.4299537636913,29.4299537636913,29.4299537636913,29.4299537636913,29.4299537636913,29.4299537636913,15
"Rhizophagus_clarus",12.3181350434991,12.8898462622112,12.2546115747533,12.2546115747533,12.2546115747533,12.2546115747533,12.2546115747533,12.2546115747533,12.2546115747533,12.2546115747533,12.2546115747533,44
"Pichia_kudriavzevii",20.0513121602458,18.3616931325389,20.2390476077688,20.2390476077688,20.2390476077688,20.2390476077688,20.2390476077688,20.2390476077688,20.2390476077688,20.2390476077688,20.2390476077688,26
"Paracoccidioides_brasiliensis",8.50112976163241,5.22407762468572,8.86524666573759,8.86524666573759,8.86524666573759,8.86524666573759,8.86524666573759,8.86524666573759,8.86524666573759,8.86524666573759,8.86524666573759,56
"Albugo_candida",10.6420001088495,6.39857023964631,11.1134923165388,11.1134923165388,11.1134923165388,11.1134923165388,11.1134923165388,11.1134923165388,11.1134923165388,11.1134923165388,11.1134923165388,52
"Lipomyces_starkeyi",11.9764522108795,4.36900376663479,12.8217242602401,12.8217242602401,12.8217242602401,12.8217242602401,12.8217242602401,12.8217242602401,12.8217242602401,12.8217242602401,12.8217242602401,48
"Naumovozyma_dairenensis",4.82689325653657,7.32790034624497,4.5490035799023,4.5490035799023,4.5490035799023,4.5490035799023,4.5490035799023,4.5490035799023,4.5490035799023,4.5490035799023,4.5490035799023,63
"Phytopythium_vexans",21.9862617763524,16.3988905370594,22.6070808029405,22.6070808029405,22.6070808029405,22.6070808029405,22.6070808029405,22.6070808029405,22.6070808029405,22.6070808029405,22.6070808029405,24
"Aspergillus_ochraceoroseus",7.58413487731034,13.6579587465033,6.90926555851112,6.90926555851112,6.90926555851112,6.90926555851112,6.90926555851112,6.90926555851112,6.90926555851112,6.90926555851112,6.90926555851112,59
"Colletotrichum_fioriniae",13.2727754825994,3.4840297774026,14.3604138942879,14.3604138942879,14.3604138942879,14.3604138942879,14.3604138942879,14.3604138942879,14.3604138942879,14.3604138942879,14.3604138942879,40
"Coniochaeta_ligniaria",15.7773413304269,8.90303139753477,16.5411535451927,16.5411535451927,16.5411535451927,16.5411535451927,16.5411535451927,16.5411535451927,16.5411535451927,16.5411535451927,16.5411535451927,34
"Leucoagaricus_sp_SymC_cos",7.37205841922558,10.0440496284591,7.07517050708852,7.07517050708852,7.07517050708852,7.07517050708852,7.07517050708852,7.07517050708852,7.07517050708852,7.07517050708852,7.07517050708852,60
"Colletotrichum_salicis",9.45988156903088,11.8998095252448,9.18877846278489,9.18877846278489,9.18877846278489,9.18877846278489,9.18877846278489,9.18877846278489,9.18877846278489,9.18877846278489,9.18877846278489,53
"Candida_arabinofermentans",6.800206589843,10.0407601656248,6.44014508142281,6.44014508142281,6.44014508142281,6.44014508142281,6.44014508142281,6.44014508142281,6.44014508142281,6.44014508142281,6.44014508142281,61
