"","Class","Family","Genus","Kingdom","name","Order","Phylum","selected","shared name"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus","Bacilli","Streptococcaceae","Streptococcus","Bacteria","Streptococcus thermophilus","Lactobacillales","Firmicutes","false","Streptococcus thermophilus"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Pichia|s__Pichia_kudriavzevii","Saccharomycetes","Pichiaceae","Pichia","Eukaryota|Fungi","Pichia kudriavzevii","Saccharomycetales","Ascomycota","false","Pichia kudriavzevii"
"k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira_pilosicoli","Spirochaetia","Brachyspiraceae","Brachyspira","Bacteria","Brachyspira pilosicoli","Brachyspirales","Spirochaetes","false","Brachyspira pilosicoli"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Schizosaccharomycetes|o__Schizosaccharomycetales|f__Schizosaccharomycetaceae|g__Schizosaccharomyces|s__Schizosaccharomyces_pombe","Schizosaccharomycetes","Schizosaccharomycetaceae","Schizosaccharomyces","Eukaryota|Fungi","Schizosaccharomyces pombe","Schizosaccharomycetales","Ascomycota","false","Schizosaccharomyces pombe"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_ilealis","Clostridia","Peptostreptococcaceae","Romboutsia","Bacteria","Romboutsia ilealis","Clostridiales","Firmicutes","false","Romboutsia ilealis"
"k__Eukaryota|c__Oomycetes|o__Albuginales|f__Albuginaceae|g__Albugo|s__Albugo_candida","Oomycetes","Albuginaceae","Albugo","Eukaryota","Albugo candida","Albuginales","NA","false","Albugo candida"
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum","Fusobacteriia","Fusobacteriaceae","Fusobacterium","Bacteria","Fusobacterium nucleatum","Fusobacteriales","Fusobacteria","false","Fusobacterium nucleatum"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_rambellii","Eurotiomycetes","Aspergillaceae","Aspergillus","Eukaryota|Fungi","Aspergillus rambellii","Eurotiales","Ascomycota","false","Aspergillus rambellii"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum","Actinobacteria","Bifidobacteriaceae","Bifidobacterium","Bacteria","Bifidobacterium pseudocatenulatum","Bifidobacteriales","Actinobacteria","false","Bifidobacterium pseudocatenulatum"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces|s__Debaryomyces_hansenii","Saccharomycetes","Debaryomycetaceae","Debaryomyces","Eukaryota|Fungi","Debaryomyces hansenii","Saccharomycetales","Ascomycota","false","Debaryomyces hansenii"
