"","Class","Family","Genus","Kingdom","name","Order","Phylum","selected","shared name"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Trichophyton|s__Trichophyton_mentagrophytes","Eurotiomycetes","Arthrodermataceae","Trichophyton","Eukaryota|Fungi","Trichophyton mentagrophytes","Onygenales","Ascomycota","false","Trichophyton mentagrophytes"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Cordycipitaceae|g__Cordyceps|s__Cordyceps_sp._RAO-2017","Sordariomycetes","Cordycipitaceae","Cordyceps","Eukaryota|Fungi","Cordyceps sp. RAO-2017","Hypocreales","Ascomycota","false","Cordyceps sp. RAO-2017"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Pneumocystidomycetes|o__Pneumocystidales|f__Pneumocystidaceae|g__Pneumocystis|s__Pneumocystis_murina","Pneumocystidomycetes","Pneumocystidaceae","Pneumocystis","Eukaryota|Fungi","Pneumocystis murina","Pneumocystidales","Ascomycota","false","Pneumocystis murina"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Glomerellaceae|g__Colletotrichum|s__Colletotrichum_salicis","Sordariomycetes","Glomerellaceae","Colletotrichum","Eukaryota|Fungi","Colletotrichum salicis","Glomerellales","Ascomycota","false","Colletotrichum salicis"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Coniochaetales|f__Coniochaetaceae|g__Coniochaeta|s__Coniochaeta_ligniaria","Sordariomycetes","Coniochaetaceae","Coniochaeta","Eukaryota|Fungi","Coniochaeta ligniaria","Coniochaetales","Ascomycota","false","Coniochaeta ligniaria"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Glomerellaceae|g__Colletotrichum|s__Colletotrichum_fioriniae","Sordariomycetes","Glomerellaceae","Colletotrichum","Eukaryota|Fungi","Colletotrichum fioriniae","Glomerellales","Ascomycota","false","Colletotrichum fioriniae"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_kawachii","Eurotiomycetes","Aspergillaceae","Aspergillus","Eukaryota|Fungi","Aspergillus kawachii","Eurotiales","Ascomycota","false","Aspergillus kawachii"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Lipomycetaceae|g__Lipomyces|s__Lipomyces_starkeyi","Saccharomycetes","Lipomycetaceae","Lipomyces","Eukaryota|Fungi","Lipomyces starkeyi","Saccharomycetales","Ascomycota","false","Lipomyces starkeyi"
"k__Eukaryota|c__Oomycetes|o__Peronosporales|f__Peronosporaceae|g__Phytophthora|s__Phytophthora_capsici","Oomycetes","Peronosporaceae","Phytophthora","Eukaryota","Phytophthora capsici","Peronosporales","NA","false","Phytophthora capsici"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Mycosphaerellaceae|g__Pseudocercospora|s__Pseudocercospora_musae","Dothideomycetes","Mycosphaerellaceae","Pseudocercospora","Eukaryota|Fungi","Pseudocercospora musae","Capnodiales","Ascomycota","false","Pseudocercospora musae"
