"type","Classes","value"
"Bacteria","+/+",14
"Eukaryota","+/+",8
"Intersect","+/+",4
"Bacteria","+/0",10
"Eukaryota","+/0",14
"Intersect","+/0",22
"Bacteria","+/-",0
"Eukaryota","+/-",0
"Intersect","+/-",2
"Bacteria","0/+",11
"Eukaryota","0/+",6
"Intersect","0/+",9
"Bacteria","0/0",0
"Eukaryota","0/0",1
"Intersect","0/0",0
"Bacteria","0/-",0
"Eukaryota","0/-",1
"Intersect","0/-",0
"Bacteria","-/0",0
"Eukaryota","-/0",0
"Intersect","-/0",1
