"Gene1","Gene2","adenoma_cor","adenoma_pVal","CTRL_cor","CTRL_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Hyaloscypha variabilis","Choanephora cucurbitarum",0.512613967110128,0,0.0683083878862373,0.117996746887023,-7.18773713580122,6.5873928327052e-13,0.00699404761904762,0.733536468243164,"+/0"
"Rhizophagus clarus","Naumovozyma dairenensis",0.3094711786659,3.32299388006163e-09,0.649974940983999,0,6.57329060378025,4.92152692178177e-11,0.00818452380952381,0.733536468243164,"+/+"
"Pichia kudriavzevii","Aspergillus ochraceoroseus",0.43645187538294,0,0.0641626313559012,0.142060907852853,-5.82678241412277,5.65062066581355e-09,0.00942460317460317,0.733536468243164,"+/0"
"Albugo candida","Naumovozyma dairenensis",0.321549214143133,7.34714067363029e-10,0.0281893145656766,0.519259761661409,-4.40597703010945,1.05308123018825e-05,0.0154761904761905,0.733536468243164,"+/0"
"Naumovozyma dairenensis","Hyaloscypha variabilis",0.48698303569227,0,0.235437578799822,4.79873500935923e-08,-4.21803288230309,2.46442886551431e-05,0.0166170634920635,0.733536468243164,"+/+"
"Naumovozyma dairenensis","Edhazardia aedis",0.295556925155402,1.7405885621713e-08,0.0164592995805616,0.706726210612336,-4.16062996804649,3.17370944224562e-05,0.0171626984126984,0.733536468243164,"+/0"
"Moniliophthora perniciosa","Pneumocystis murina",0.24798086160117,2.64972922914275e-06,-0.0246019337527354,0.573814478357391,-4.01168901154027,6.02858820986682e-05,0.0183531746031746,0.733536468243164,"+/0"
"Colletotrichum fioriniae","Hyaloscypha variabilis",-0.00773490228810268,0.885349436645074,0.258525340798998,1.83315163049258e-09,3.9307732356333,8.46731053013187e-05,0.0191468253968254,0.733536468243164,"0/+"
"[Candida] arabinofermentans","Hyaloscypha variabilis",0.437445132626525,0,0.196597669483229,5.67243650850813e-06,-3.89631788934286,9.76661821108354e-05,0.0192956349206349,0.733536468243164,"+/+"
"Naumovozyma dairenensis","[Candida] arabinofermentans",0.397315432040149,1.11022302462516e-14,0.154505682033339,0.000380734910959912,-3.82164780505963,0.000132562922947489,0.0200396825396825,0.733536468243164,"+/+"
"Pichia kudriavzevii","Naumovozyma dairenensis",0.263186812344445,5.89928145888763e-07,0.00894232237477973,0.838033074111591,-3.7622049047988,0.000168421972182509,0.0206845238095238,0.733536468243164,"+/0"
"Naumovozyma dairenensis","Choanephora cucurbitarum",0.28512333792245,5.69342561984598e-08,0.0361142378190582,0.408929930919222,-3.71215412856001,0.000205502777250846,0.0213293650793651,0.733536468243164,"+/0"
"Pichia kudriavzevii","Choanephora cucurbitarum",0.0997059987070311,0.0624199177649514,0.323607424127343,2.88657986402541e-14,3.40193494237949,0.000669105639459302,0.0251488095238095,0.733536468243164,"0/+"
"Aspergillus rambellii","Phytopythium vexans",0.194585259152314,0.000249862193783201,-0.0374696130618952,0.391560283701061,-3.38681565029023,0.000707088835938959,0.0253968253968254,0.733536468243164,"+/0"
"Moniliophthora perniciosa","Trichoderma atroviride",0.185703252546594,0.000479086453252897,-0.0350151124967952,0.423345749299757,-3.21828770449197,0.00128958394640143,0.0292162698412698,0.733536468243164,"+/0"
"Phytophthora capsici","Hyaloscypha variabilis",0.0112451887640131,0.833954700545386,0.227284666614137,1.40659440539537e-07,3.17737218010039,0.00148616183448091,0.0299603174603175,0.733536468243164,"0/+"
"Rhizophagus clarus","[Candida] arabinofermentans",0.452025640787792,0,0.261904547083144,1.10562758948163e-09,-3.16311329535798,0.00156091572740107,0.030406746031746,0.733536468243164,"+/+"
"Lipomyces starkeyi","Hyaloscypha variabilis",-0.0391575276192841,0.465249767349978,0.172496024587532,7.10394130964964e-05,3.08117511875113,0.0020618534566336,0.0330357142857143,0.733536468243164,"0/+"
"Pichia kudriavzevii","Albugo candida",0.330242760657456,2.3768720325279e-10,0.13379811658319,0.00212475172691207,-3.01014046535371,0.00261126896758015,0.0350198412698413,0.733536468243164,"+/+"
"Pneumocystis murina","Hyaloscypha variabilis",-0.0197444735689533,0.712798851251604,0.178195049400924,4.02329322763961e-05,2.88553780628576,0.00390745527643703,0.0381448412698413,0.733536468243164,"0/+"
"Erysiphe pulchra","Phytophthora capsici",-0.0865133106971585,0.106146957266528,0.110623075230906,0.0111985772714864,2.85583748818758,0.00429234774997143,0.0388392857142857,0.733536468243164,"0/+"
"Trichoderma atroviride","Phytopythium vexans",0.261355037990315,7.10542783943779e-07,0.0708945943753787,0.104681472924457,-2.83765672079364,0.00454460301278016,0.0392857142857143,0.733536468243164,"+/0"
"Rhizophagus clarus","Edhazardia aedis",0.600754947593213,0,0.460529534751161,0,-2.83471089875078,0.00458671721723307,0.0395337301587302,0.733536468243164,"+/+"
"Pseudocercospora musae","Tuber magnatum",0.304628559396399,5.97216054387673e-09,0.119648275034134,0.00605444116449982,-2.80648716796683,0.00500849072620632,0.0405753968253968,0.733536468243164,"+/+"
"Aspergillus ochraceoroseus","Colletotrichum fioriniae",0.139638512473442,0.0088997813301559,-0.0531864908513415,0.223751839283859,-2.7978830009888,0.00514387416737701,0.040922619047619,0.733536468243164,"+/0"
"Rhizophagus irregularis","Colletotrichum salicis",0.0475603369822631,0.375029621137257,-0.135915047897881,0.00180068214690321,-2.66165136034863,0.00777583718267404,0.0464285714285714,0.733536468243164,"0/-"
"Pseudocercospora musae","Albugo candida",0.212251339776725,6.27166902378296e-05,0.0332668572675582,0.446876209646008,-2.63120243045921,0.00850833401789239,0.0475694444444444,0.733536468243164,"+/0"
