"Gene1","Gene2","CRC_cor","CRC_pVal","CTRL_cor","CTRL_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Clostridium beijerinckii","Albugo candida",0.275267418700906,2.45169307078186e-09,0.0446884152548397,0.306776058087492,-3.6995145037914,0.000216012296039103,0.0334054054054054,0.469841603301475,"+/0"
"Streptococcus sp. FDAARGOS 192","Schizosaccharomyces pombe",0.235393961512643,3.91102016106259e-07,0.0122798452933483,0.778935498571017,-3.54047742209008,0.00039940380732006,0.0356756756756757,0.469841603301475,"+/0"
"Clostridium beijerinckii","Aspergillus ochraceoroseus",0.250366565609392,6.4353363971037e-08,0.031832028001523,0.46673029634575,-3.4836910346167,0.000494550039422276,0.0366126126126126,0.469841603301475,"+/0"
"Streptococcus sp. HSISS3","Albugo candida",0.258497535604652,2.29769563375726e-08,0.0426166346095102,0.329766107251289,-3.45093484699897,0.000558648412755715,0.0370810810810811,0.469841603301475,"+/0"
"Streptococcus milleri","Albugo candida",0.266759937647057,7.77796271833608e-09,0.0546475244905797,0.211269664427642,-3.40139286279204,0.000670434023178749,0.0379459459459459,0.469841603301475,"+/0"
"Streptococcus sp. HSISS3","Schizosaccharomyces pombe",0.236677274345999,3.36603521944312e-07,0.0226057461009018,0.605299858105267,-3.40094834375136,0.000671525160851398,0.0379459459459459,0.469841603301475,"+/0"
"Streptococcus salivarius","Schizosaccharomyces pombe",0.217145428208883,3.01408079073084e-06,0.00507226102261611,0.907697060117953,-3.3534179493385,0.000798200758568713,0.0387747747747748,0.469841603301475,"+/0"
"Anaerostipes hadrus","Pichia kudriavzevii",0.435944468403344,0,0.246501041141685,1.04578368187447e-08,-3.3525254217685,0.000800778869230917,0.0387747747747748,0.469841603301475,"+/+"
"Clostridium beijerinckii","Naumovozyma dairenensis",0.217457398176532,2.91482597902792e-06,0.00563237976002223,0.897557491701886,-3.34979826980984,0.000808704342720643,0.0388468468468468,0.469841603301475,"+/0"
"Fusobacterium periodonticum","Phytophthora capsici",0.128493970157719,0.00611253769352094,-0.0828261705547324,0.0578910333935907,-3.301131342134,0.000962957922673512,0.0392792792792793,0.469841603301475,"+/0"
"Blautia sp. SC05B48","Thielaviopsis punctulata",-0.115576013357652,0.0137364078247366,0.0943572513434585,0.0306437923226857,3.27793883028779,0.00104568053090452,0.0395675675675676,0.469841603301475,"-/+"
"Fusobacterium nucleatum","Rhizophagus clarus",-0.0552149981531812,0.240341466691849,0.153516346394128,0.000415459436886589,3.26669749995991,0.00108809880018174,0.0396036036036036,0.469841603301475,"0/+"
"[Eubacterium] eligens","Pneumocystis murina",0.233719331861033,4.75088881124464e-07,0.0284479316531535,0.515432599984799,-3.26130944917019,0.00110898941377409,0.0396756756756757,0.469841603301475,"+/0"
"Blautia sp. SC05B48","Rhizophagus irregularis",0.309627457039213,1.52393653252147e-11,0.110188115668488,0.0115236171686108,-3.25868798227545,0.0011192869525656,0.0397117117117117,0.469841603301475,"+/+"
"Dialister pneumosintes","Pichia kudriavzevii",0.17004047742396,0.000273008393951946,-0.0371706115482127,0.395353215520477,-3.24935689277131,0.00115666260480859,0.0398198198198198,0.469841603301475,"+/0"
"Streptococcus milleri","Pichia kudriavzevii",0.247670196502739,8.98471073096374e-08,0.0483476522278799,0.268817361971406,-3.18165824634087,0.00146434500306163,0.0407207207207207,0.469841603301475,"+/0"
"[Eubacterium] eligens","Schizosaccharomyces pombe",0.172564551399577,0.000220323267848599,-0.0291749307854007,0.504752797238094,-3.1652959117641,0.00154925303956495,0.0410810810810811,0.469841603301475,"+/0"
