"type","Classes","value"
"Bacteria","+/+",70
"Eukaryota","+/+",10
"Intersect","+/+",9
"Bacteria","+/0",28
"Eukaryota","+/0",18
"Intersect","+/0",41
"Bacteria","0/+",12
"Eukaryota","0/+",18
"Intersect","0/+",12
"Bacteria","0/-",0
"Eukaryota","0/-",1
"Intersect","0/-",1
"Bacteria","-/+",0
"Eukaryota","-/+",6
"Intersect","-/+",1
"Bacteria","-/0",0
"Eukaryota","-/0",6
"Intersect","-/0",0
