"","Cohort","Feature","Seed","AUC","MeanAUC","Kingdoms"
"79","2014_ZellerG","Peniophora_sp_CONT","10","43.48",44.61,"fungi"
"80","2014_ZellerG","Phlebia_centrifuga","3","50.74",49.64,"fungi"
"81","2014_ZellerG","Gelatoporia_subvermispora","2","50.09",48.71,"fungi"
"82","2014_ZellerG","Postia_placenta","1","45.4",45.95,"fungi"
"83","2014_ZellerG","Laetiporus_sulphureus","10","52.3",50.9,"fungi"
"84","2014_ZellerG","Ganoderma_sinense","10","51.71",51.07,"fungi"
"85","2014_ZellerG","Dichomitus_squalens","1","66.82",54.02,"fungi"
"86","2014_ZellerG","Trametes_versicolor","6","51.92",57.54,"fungi"
"87","2014_ZellerG","Piloderma_croceum","10","48.36",48.69,"fungi"
"88","2014_ZellerG","Fibularhizoctonia_sp_CBS_109695","8","55.1",51.8,"fungi"
"89","2014_ZellerG","Paxillus_rubicundulus","1","45.4",51.49,"fungi"
"90","2014_ZellerG","Pisolithus_microcarpus","6","56.48",57.44,"fungi"
"91","2014_ZellerG","Coprinopsis_cinerea","5","55.62",57.54,"fungi"
"92","2014_ZellerG","Moniliophthora_perniciosa","2","41.37",47,"fungi"
"93","2014_ZellerG","Moniliophthora_roreri","4","53.39",50.56,"fungi"
"94","2014_ZellerG","Hypsizygus_marmoreus","7","43.71",53.93,"fungi"
"95","2014_ZellerG","Termitomyces_sp_J132","3","43.19",53.24,"fungi"
"96","2014_ZellerG","Gymnopus_luxurians","7","51.68",48.05,"fungi"
"97","2014_ZellerG","Lentinula_edodes","9","55.43",55.85,"fungi"
"98","2014_ZellerG","Armillaria_gallica","8","49.31",54.36,"fungi"
"99","2014_ZellerG","Hypholoma_sublateritium","2","47.6",53.35,"fungi"
"100","2014_ZellerG","Galerina_marginata","8","61.93",55.9,"fungi"
"101","2014_ZellerG","Leucoagaricus_sp_SymC_cos","8","41.3",55.07,"fungi"
"102","2014_ZellerG","Protomyces_lactucaedebilis","3","48.79",50.74,"fungi"
"103","2014_ZellerG","Saitoella_complicata","1","44.19",55.49,"fungi"
"104","2014_ZellerG","Schizosaccharomyces_pombe","2","49.76",43.65,"fungi"
"105","2014_ZellerG","Pneumocystis_murina","2","33.11",50.29,"fungi"
"106","2014_ZellerG","Pneumocystis_carinii","5","63.59",61.46,"fungi"
"107","2014_ZellerG","Yarrowia_lipolytica","8","53.32",49.79,"fungi"
"108","2014_ZellerG","Sugiyamaella_lignohabitans","5","52.68",49.26,"fungi"
"109","2014_ZellerG","Lipomyces_starkeyi","9","54.91",51.29,"fungi"
"110","2014_ZellerG","Candida_intermedia","2","48.77",47.82,"fungi"
"111","2014_ZellerG","Ascoidea_rubescens","4","58.94",58.03,"fungi"
"112","2014_ZellerG","Cyberlindnera_jadinii","5","49.38",51.88,"fungi"
"113","2014_ZellerG","Cyberlindnera_fabianii","1","49.31",52.75,"fungi"
"114","2014_ZellerG","Hanseniaspora_uvarum","2","42.65",46.98,"fungi"
"115","2014_ZellerG","Hanseniaspora_guilliermondii","4","55.98",55.19,"fungi"
"116","2014_ZellerG","Hanseniaspora_valbyensis","9","39.54",45.18,"fungi"
"117","2014_ZellerG","Candida_arabinofermentans","7","53.3",59.09,"fungi"
"118","2014_ZellerG","Pichia_kudriavzevii","6","52.89",53.96,"fungi"
"119","2014_ZellerG","Scheffersomyces_stipitis","8","54.86",52.19,"fungi"
"120","2014_ZellerG","Debaryomyces_hansenii","8","49.76",53.49,"fungi"
"121","2014_ZellerG","Candida_dubliniensis","4","49.67",52.28,"fungi"
"122","2014_ZellerG","Candida_maltosa","1","61.24",58.59,"fungi"
"123","2014_ZellerG","Candida_tropicalis","10","42.69",46.87,"fungi"
"124","2014_ZellerG","Candida_albicans","4","56.71",56.94,"fungi"
"125","2014_ZellerG","Candida_glabrata","3","53.2",51.3,"fungi"
"126","2014_ZellerG","Pachysolen_tannophilus","6","40.49",50.1,"fungi"
"127","2014_ZellerG","Naumovozyma_castellii","10","47.13",48.98,"fungi"
"128","2014_ZellerG","Naumovozyma_dairenensis","1","53.7",48.85,"fungi"
"129","2014_ZellerG","Zygosaccharomyces_rouxii","1","52.68",50.44,"fungi"
"130","2014_ZellerG","Vanderwaltozyma_polyspora","9","50.85",49.89,"fungi"
"131","2014_ZellerG","Lachancea_thermotolerans","10","48.93",48.21,"fungi"
"132","2014_ZellerG","Lachancea_fermentati","2","46.89",46.92,"fungi"
"133","2014_ZellerG","Kluyveromyces_marxianus","6","47.11",46.76,"fungi"
"134","2014_ZellerG","Kluyveromyces_dobzhanskii","1","42.91",52.18,"fungi"
"135","2014_ZellerG","Tetrapisispora_phaffii","1","51.97",47.28,"fungi"
"136","2014_ZellerG","Tetrapisispora_blattae","10","54.32",54.81,"fungi"
"137","2014_ZellerG","Saccharomyces_eubayanus","9","58.11",52.22,"fungi"
"138","2014_ZellerG","Saccharomyces_cerevisiae","3","51.42",57.95,"fungi"
"139","2014_ZellerG","Arthrobotrys_oligospora","10","60.15",59.99,"fungi"
"140","2014_ZellerG","Dactylellina_haptotyla","7","59.77",50.16,"fungi"
"141","2014_ZellerG","Tuber_borchii","7","46.61",49.6,"fungi"
"142","2014_ZellerG","Tuber_magnatum","10","45.94",44.26,"fungi"
"143","2014_ZellerG","Coniosporium_apollinis","2","49.07",51.51,"fungi"
"144","2014_ZellerG","Diplodia_seriata","5","52.25",52.24,"fungi"
"145","2014_ZellerG","Macrophomina_phaseolina","5","43.6",51.38,"fungi"
"146","2014_ZellerG","Neofusicoccum_parvum","4","53.32",47.48,"fungi"
"147","2014_ZellerG","Cenococcum_geophilum","9","59.44",53.24,"fungi"
"148","2014_ZellerG","Clohesyomyces_aquaticus","5","50.5",48.93,"fungi"
"149","2014_ZellerG","Corynespora_cassiicola","6","45.14",53.02,"fungi"
"150","2014_ZellerG","Periconia_macrospinosa","9","49.48",49.75,"fungi"
"151","2014_ZellerG","Epicoccum_nigrum","5","48.2",48.11,"fungi"
"152","2014_ZellerG","Ascochyta_rabiei","6","50.71",53.08,"fungi"
"153","2014_ZellerG","Exserohilum_turcicum","6","53.18",49.04,"fungi"
"154","2014_ZellerG","Stemphylium_lycopersici","2","51.64",51.37,"fungi"
"155","2014_ZellerG","Elsinoe_australis","9","52.16",43.62,"fungi"
"156","2014_ZellerG","Aureobasidium_namibiae","5","45.26",47.54,"fungi"
"157","2014_ZellerG","Aureobasidium_subglaciale","8","43.17",52.94,"fungi"
"158","2014_ZellerG","Rachicladosporium_antarcticum","3","50.43",51.46,"fungi"
"159","2014_ZellerG","Hortaea_werneckii","5","52.94",50.8,"fungi"
