"","p_values","adj_pvalue","mFC","AbsLog2FC"
"Puccinia graminis",0.337795587769666,0.558589351842577,0.955250565560904,0.066048888149465
"Schizopora paradoxa",0.438664400557786,0.669302384356209,1.04639007623838,0.0654207637720645
"Diaporthe helianthi",0.429486150506562,0.66559110235572,0.956150270258712,0.0646907223714344
"Laetiporus sulphureus",0.3582459974744,0.582641842046277,0.956537330722492,0.0641068212482645
"Pseudogymnoascus sp. WSF 3629",0.569091242807538,0.738820209960664,0.956657888834218,0.0639250012349402
"Cenococcum geophilum",0.302197253510749,0.508240835449896,0.956699092005456,0.0638628658243316
"Cadophora sp. DSE1049",0.346197567408601,0.566927024589676,0.957038375824903,0.0633513190765381
"Phaeoacremonium minimum",0.379624352132086,0.604133377586546,0.957927954789483,0.0620109391100832
"Aspergillus ellipticus",0.469495366158077,0.676308438979473,0.958749793922592,0.0607737323702385
"Choanephora cucurbitarum",0.453839966800474,0.674947652386131,0.958881737323164,0.0605752019571938
"Exophiala aquamarina",0.456799050447466,0.674947652386131,1.04286327081246,0.0605500193615457
"Rachicladosporium antarcticum",0.491982962476525,0.683694633300711,1.0427266258679,0.0603609726228072
"Colletotrichum tofieldiae",0.489477521779039,0.683421445502809,1.04238568249931,0.0598891732770381
"Pyrrhoderma noxium",0.504026085418612,0.693518316988433,0.959551298786177,0.059568158163327
"Aspergillus ustus",0.518998147870705,0.703908573473856,0.960209166165763,0.0585793868446437
"Blastomyces gilchristii",0.465647388827264,0.676308438979473,0.960604477237617,0.0579855621048182
"Mortierella elongata",0.434511301893109,0.667091395499758,0.962698220130232,0.0548444718485123
"Aspergillus steynii",0.447038660440106,0.674947652386131,1.03760216601532,0.0532533963602108
"Phaeomoniella chlamydospora",0.523175291095433,0.703908573473856,1.03752130073873,0.0531409558857506
"Pyricularia oryzae",0.503635179558412,0.693518316988433,1.03744521657528,0.0530351553878334
"Neurospora crassa",0.678462918005885,0.809778321490895,0.964168252122312,0.0526431690525747
"Pyricularia pennisetigena",0.530376061304943,0.707168081739924,1.03707887716981,0.0525256254665925
"Rhodotorula toruloides",0.568364125339663,0.738820209960664,1.03676020933588,0.0520822540301971
"Metarhizium acridum",0.548799646182222,0.722648098673518,0.964690961376842,0.0518612456622936
"Phlebia centrifuga",0.614262939147643,0.773709914841286,1.03604013035212,0.0510798859768781
"Pisolithus microcarpus",0.549310210140343,0.722648098673518,1.03556041561732,0.0504117242671827
"Exidia glandulosa",0.506080934018586,0.693518316988433,1.03467077326131,0.0491717828528215
"Termitomyces sp. J132",0.538637785910757,0.71496315977392,0.966809542927186,0.0486963815420591
"Scheffersomyces stipitis",0.605787237985348,0.766294967707962,0.966881202364201,0.0485894536739761
"Phytophthora parasitica",0.482766366708417,0.680470688312816,1.03357037052256,0.047636617837141
"Naumovozyma castellii",0.67678175863542,0.809778321490895,0.967531663810188,0.0476192186696584
"Polytolypa hystricis",0.592696244394116,0.759173885791954,0.968399427034211,0.0463258691390578
"Baudoinia panamericana",0.633657695996597,0.788485491968971,0.968522386409723,0.046142699245168
"Thermothelomyces thermophilus",0.619006117610448,0.77638055429107,0.969175412960228,0.0451702894071052
"Debaryomyces hansenii",0.707623049374283,0.835965639555844,0.969745623835915,0.0443217345554966
"Aphanomyces astaci",0.511779060232064,0.698094939302723,1.03102021900855,0.0440726252155738
"[Candida] glabrata",0.661724728873324,0.809778321490895,1.03049133756473,0.0433323774585046
"Syncephalastrum racemosum",0.665504303371118,0.809778321490895,0.970443881576678,0.0432833071023607
"Chaetomium thermophilum",0.638026987529031,0.790192419701226,0.971108997019189,0.0422948624417559
"Aspergillus nomius",0.595028180755856,0.759173885791954,0.971117016277003,0.0422829489534173
"Clohesyomyces aquaticus",0.583200431167646,0.753831125002722,0.971819331637957,0.0412399637484662
"Leucosporidium creatinivorum",0.674430869985869,0.809778321490895,0.972763893665415,0.0398384140052938
"Verticillium longisporum",0.633984956380457,0.788485491968971,0.972821464281434,0.0397530342074701
"Marssonina brunnea",0.668177371542173,0.809778321490895,1.02620108856712,0.037313461015729
"Erysiphe necator",0.650989371569573,0.802886891602473,1.02507380208453,0.0357277829681619
"Pyricularia grisea",0.673088921716596,0.809778321490895,0.975724803407831,0.0354537921223622
"Ustilago maydis",0.751353260819089,0.868752207822071,1.02400560290809,0.0342236091519781
"Rhynchosporium secalis",0.71950283477744,0.83705006044285,0.977599249355439,0.0326849174962695
"Phytophthora palmivora",0.593649709775538,0.759173885791954,1.02273255944714,0.0324289353059876
"Corynespora cassiicola",0.717212899218127,0.83705006044285,1.02215408844296,0.0316126971324399
"Lichtheimia ramosa",0.668734790423143,0.809778321490895,0.978761508468915,0.0309707288939832
"Gymnopus luxurians",0.708876268677422,0.835965639555844,0.97984303973812,0.0293774312998697
"Penicillium subrubescens",0.721107315584212,0.83705006044285,0.980019585885606,0.0291175128251515
"Malassezia restricta",0.846149425194,0.926020606380223,1.01938931651089,0.0277051385820145
"Hyaloscypha bicolor",0.714696889484253,0.83705006044285,0.981957831618826,0.0262670229142275
"Emmonsia crescens",0.698079363609475,0.82984534790524,1.01742699846563,0.0249252832090649
"Penicillium brasilianum",0.754609313089039,0.869122010406053,0.983235604024902,0.0243909366827419
"Colletotrichum salicis",0.789994406031102,0.892512764065672,0.983332740822539,0.0242484155476691
"Chaetomium globosum",0.765805744527154,0.878598838682316,1.01653980871009,0.0236667136618188
"Mucor ambiguus",0.787401023268039,0.892512764065672,0.984202646075329,0.0229726996602946
"Botryobasidium botryosum",0.778695269506098,0.886514614514635,1.01585759716416,0.0226981794093306
"Trichoderma guizhouense",0.773766412756201,0.884304471721373,0.985069187125964,0.021703037914172
"Hortaea werneckii",0.819145321628309,0.911530132338269,1.01507696025555,0.0215891126024914
"Pachysolen tannophilus",0.81379283279522,0.90899123965051,1.0148088979499,0.0212080742700208
"Ophiocordyceps australis",0.80370645239754,0.901125416324515,1.01336364331335,0.0191519749910149
"Paracoccidioides lutzii",0.802403508196445,0.901125416324515,0.987064991810252,0.0187830149924903
"Aspergillus calidoustus",0.828920276173926,0.915523887117471,0.987069041665466,0.0187770957327695
"Trametes versicolor",0.853831024425131,0.926020606380223,0.987615734694185,0.0179782732057374
"Aspergillus sydowii",0.860323198495139,0.926020606380223,1.01210288740831,0.0173559576297959
"Penicilliopsis zonata",0.855753618828756,0.926020606380223,1.01206085090924,0.0172960357493635
